target,label,subset,n,n_below,n_above,breakpoint_c,b0,slope_below,slope_change,slope_above,sse,linear_sse,sse_reduction_pct,aic_linear,aic_segmented,delta_aic_segmented_minus_linear
morning_bias_c,Morning bias,All_2000_2024,2865,2664,201,15.0,0.83,-0.1298,0.0393,-0.0905,4326.2528,4327.3522,0.0254,1185.4902,1188.7622,3.272
morning_bias_c,Morning bias,Calibration_2000_2016,2117,2053,64,15.3,0.621,-0.1034,0.3983,0.2949,2379.2178,2423.8268,1.8404,290.5309,255.2058,-35.325
morning_bias_c,Morning bias,Validation_2017_2024,748,694,54,16.5,0.9075,-0.1534,-0.2628,-0.4161,1787.9186,1797.9787,0.5595,660.0075,659.8105,-0.197
afternoon_bias_c,Afternoon bias,All_2000_2024,2864,2603,261,14.6,1.4512,0.0199,1.7138,1.7337,17932.0747,20454.4004,12.3315,5634.5632,5261.6407,-372.9226
afternoon_bias_c,Afternoon bias,Calibration_2000_2016,2116,2029,87,14.9,1.7946,-0.0154,2.5095,2.4941,11549.9067,13696.316,15.6714,3955.8403,3599.1691,-356.6712
afternoon_bias_c,Afternoon bias,Validation_2017_2024,748,558,190,13.9,0.1622,0.1363,0.9476,1.0839,6030.5104,6402.6504,5.8123,1610.0041,1569.2136,-40.7905
asymmetry_gap_c,Afternoon-minus-morning bias,All_2000_2024,2862,2590,272,14.5,0.6781,0.1438,1.6436,1.7874,17818.854,20244.9166,11.9836,5603.1683,5241.8437,-361.3246
asymmetry_gap_c,Afternoon-minus-morning bias,Calibration_2000_2016,2114,2019,95,14.8,1.192,0.0861,2.1016,2.1878,12160.8855,13742.1589,11.5067,3961.1681,3706.7449,-254.4232
asymmetry_gap_c,Afternoon-minus-morning bias,Validation_2017_2024,748,568,180,14.0,-0.9019,0.3036,1.023,1.3266,5344.0998,5768.5843,7.3586,1531.9987,1478.8264,-53.1723
daily_rmse_c,Daily RMSE,All_2000_2024,2867,2557,310,14.3,1.0975,0.0612,1.0435,1.1047,5972.5088,7039.6831,15.1594,2579.4174,2112.0938,-467.3236
daily_rmse_c,Daily RMSE,Calibration_2000_2016,2119,2011,108,14.7,1.3414,0.0366,1.4857,1.5223,4303.7871,5133.6041,16.1644,1879.0261,1509.4197,-369.6064
daily_rmse_c,Daily RMSE,Validation_2017_2024,748,520,228,13.5,0.0538,0.1542,0.5874,0.7416,1536.8478,1689.4472,9.0325,613.4357,546.6241,-66.8116
