dtr_bin,model,n,rmse,mae,mbe,r2
<10,M0_DSSAT_OFFICIAL,898,1.6874,1.1937,0.2746,0.9337
<10,M1_PL_XJ_BAL,898,1.619,1.1915,0.1287,0.9351
<10,M2_PHASE_COMPRESSION,898,1.6874,1.1937,0.2746,0.9337
<10,M3_COOLING_PULSE,898,1.6874,1.1937,0.2746,0.9337
10-<15,M0_DSSAT_OFFICIAL,4044,2.3979,1.6279,0.1385,0.8553
10-<15,M1_PL_XJ_BAL,4044,2.3166,1.6695,-0.0575,0.8559
10-<15,M2_PHASE_COMPRESSION,4044,2.3962,1.6274,0.1338,0.8554
10-<15,M3_COOLING_PULSE,4044,2.395,1.6267,0.1362,0.8555
15-<18,M0_DSSAT_OFFICIAL,856,4.8348,3.5154,1.1197,0.5957
15-<18,M1_PL_XJ_BAL,856,4.5717,3.4039,0.8552,0.605
15-<18,M2_PHASE_COMPRESSION,856,4.7076,3.4713,0.2163,0.604
15-<18,M3_COOLING_PULSE,856,4.6221,3.4348,0.7932,0.604
18-<20,M0_DSSAT_OFFICIAL,72,6.29,4.947,1.3515,0.3466
18-<20,M1_PL_XJ_BAL,72,5.8092,4.686,1.0095,0.3748
18-<20,M2_PHASE_COMPRESSION,72,6.3153,5.0821,-1.3045,0.3775
18-<20,M3_COOLING_PULSE,72,5.9119,4.7598,0.5054,0.3352
>=20,M0_DSSAT_OFFICIAL,47,7.6018,6.4208,2.7766,0.2119
>=20,M1_PL_XJ_BAL,47,7.0254,5.9825,2.4613,0.2361
>=20,M2_PHASE_COMPRESSION,47,6.7756,5.3948,-0.9622,0.3757
>=20,M3_COOLING_PULSE,47,6.7463,5.6047,1.6829,0.2365
