lambda,cal_all_rmse,cal_high_rmse,objective
0.0,2.43888,4.717401,3.57814
0.005,2.438751,4.716414,3.577583
0.01,2.438622,4.715429,3.577026
0.015,2.438493,4.714446,3.57647
0.02,2.438365,4.713464,3.575914
0.025,2.438237,4.712483,3.57536
0.03,2.438109,4.711504,3.574806
0.035,2.437981,4.710526,3.574254
0.04,2.437854,4.70955,3.573702
0.045,2.437727,4.708575,3.573151
0.05,2.437599,4.707602,3.572601
0.055,2.437473,4.70663,3.572052
0.06,2.437346,4.70566,3.571503
0.065,2.437219,4.704692,3.570956
0.07,2.437093,4.703724,3.570409
0.075,2.436967,4.702759,3.569863
0.08,2.436841,4.701794,3.569318
0.085,2.436716,4.700832,3.568774
0.09,2.436591,4.69987,3.56823
0.095,2.436465,4.69891,3.567688
0.1,2.43634,4.697952,3.567146
0.105,2.436216,4.696995,3.566606
0.11,2.436091,4.69604,3.566066
0.115,2.435967,4.695086,3.565527
0.12,2.435843,4.694134,3.564988
0.125,2.435719,4.693183,3.564451
0.13,2.435595,4.692234,3.563915
0.135,2.435472,4.691286,3.563379
0.14,2.435349,4.69034,3.562844
0.145,2.435226,4.689395,3.56231
0.15,2.435103,4.688452,3.561777
0.155,2.43498,4.68751,3.561245
0.16,2.434858,4.68657,3.560714
0.165,2.434736,4.685631,3.560184
0.17,2.434614,4.684694,3.559654
0.175,2.434492,4.683758,3.559125
0.18,2.434371,4.682824,3.558597
0.185,2.434249,4.681891,3.55807
0.19,2.434128,4.68096,3.557544
0.195,2.434007,4.680031,3.557019
0.2,2.433887,4.679102,3.556495
0.205,2.433766,4.678176,3.555971
0.21,2.433646,4.677251,3.555448
0.215,2.433526,4.676327,3.554927
0.22,2.433406,4.675405,3.554406
0.225,2.433287,4.674485,3.553886
0.23,2.433167,4.673566,3.553366
0.235,2.433048,4.672648,3.552848
0.24,2.432929,4.671732,3.552331
0.245,2.432811,4.670818,3.551814
0.25,2.432692,4.669905,3.551298
