lambda,cal_all_rmse,cal_high_rmse,objective
0.0,2.43888,4.717401,3.57814
0.01,2.438622,4.715429,3.577026
0.02,2.438365,4.713464,3.575914
0.03,2.438109,4.711504,3.574806
0.04,2.437854,4.70955,3.573702
0.05,2.437599,4.707602,3.572601
0.06,2.437346,4.70566,3.571503
0.07,2.437093,4.703724,3.570409
0.08,2.436841,4.701794,3.569318
0.09,2.436591,4.69987,3.56823
0.1,2.43634,4.697952,3.567146
0.11,2.436091,4.69604,3.566066
0.12,2.435843,4.694134,3.564988
0.13,2.435595,4.692234,3.563915
0.14,2.435349,4.69034,3.562844
0.15,2.435103,4.688452,3.561777
0.16,2.434858,4.68657,3.560714
0.17,2.434614,4.684694,3.559654
0.18,2.434371,4.682824,3.558597
0.19,2.434128,4.68096,3.557544
0.2,2.433887,4.679102,3.556495
0.21,2.433646,4.677251,3.555448
0.22,2.433406,4.675405,3.554406
0.23,2.433167,4.673566,3.553366
0.24,2.432929,4.671732,3.552331
0.25,2.432692,4.669905,3.551298
0.26,2.432456,4.668083,3.55027
0.27,2.43222,4.666268,3.549244
0.28,2.431986,4.664459,3.548222
0.29,2.431752,4.662656,3.547204
0.3,2.431519,4.660859,3.546189
0.31,2.431287,4.659069,3.545178
0.32,2.431056,4.657284,3.54417
0.33,2.430826,4.655506,3.543166
0.34,2.430596,4.653733,3.542165
0.35,2.430368,4.651967,3.541167
0.36,2.43014,4.650207,3.540174
0.37,2.429913,4.648454,3.539183
0.38,2.429687,4.646706,3.538197
0.39,2.429462,4.644965,3.537213
0.4,2.429238,4.643229,3.536234
0.41,2.429014,4.641501,3.535257
0.42,2.428792,4.639778,3.534285
0.43,2.42857,4.638061,3.533316
0.44,2.428349,4.636351,3.53235
0.45,2.428129,4.634647,3.531388
0.46,2.42791,4.632949,3.53043
0.47,2.427692,4.631258,3.529475
0.48,2.427475,4.629572,3.528524
0.49,2.427258,4.627893,3.527576
0.5,2.427043,4.62622,3.526632
0.51,2.426828,4.624554,3.525691
0.52,2.426614,4.622894,3.524754
0.53,2.426401,4.62124,3.52382
0.54,2.426189,4.619592,3.522891
0.55,2.425978,4.617951,3.521964
0.56,2.425767,4.616316,3.521042
0.57,2.425558,4.614687,3.520122
0.58,2.425349,4.613064,3.519207
0.59,2.425141,4.611448,3.518295
0.6,2.424935,4.609839,3.517387
0.61,2.424728,4.608235,3.516482
0.62,2.424523,4.606638,3.515581
0.63,2.424319,4.605048,3.514683
0.64,2.424116,4.603463,3.513789
0.65,2.423913,4.601885,3.512899
0.66,2.423711,4.600314,3.512012
0.67,2.42351,4.598748,3.511129
0.68,2.423311,4.59719,3.51025
0.69,2.423111,4.595637,3.509374
0.7,2.422913,4.594091,3.508502
0.71,2.422716,4.592552,3.507634
0.72,2.422519,4.591018,3.506769
0.73,2.422324,4.589492,3.505908
0.74,2.422129,4.587971,3.50505
0.75,2.421935,4.586457,3.504196
0.76,2.421742,4.58495,3.503346
0.77,2.42155,4.583449,3.502499
0.78,2.421359,4.581954,3.501657
0.79,2.421169,4.580466,3.500817
0.8,2.420979,4.578984,3.499982
0.81,2.420791,4.577509,3.49915
0.82,2.420603,4.57604,3.498322
0.83,2.420416,4.574578,3.497497
0.84,2.42023,4.573122,3.496676
0.85,2.420045,4.571673,3.495859
0.86,2.419861,4.57023,3.495046
0.87,2.419677,4.568794,3.494236
0.88,2.419495,4.567365,3.49343
0.89,2.419313,4.565941,3.492627
0.9,2.419132,4.564525,3.491829
0.91,2.418953,4.563115,3.491034
0.92,2.418774,4.561711,3.490242
0.93,2.418595,4.560314,3.489455
0.94,2.418418,4.558923,3.488671
0.95,2.418242,4.557539,3.487891
0.96,2.418066,4.556162,3.487114
0.97,2.417892,4.554791,3.486341
0.98,2.417718,4.553427,3.485572
0.99,2.417545,4.552069,3.484807
1.0,2.417373,4.550718,3.484046
1.01,2.417202,4.549374,3.483288
1.02,2.417032,4.548036,3.482534
1.03,2.416863,4.546704,3.481784
1.04,2.416694,4.54538,3.481037
1.05,2.416526,4.544062,3.480294
1.06,2.41636,4.54275,3.479555
1.07,2.416194,4.541445,3.47882
1.08,2.416029,4.540147,3.478088
1.09,2.415865,4.538856,3.47736
1.1,2.415702,4.537571,3.476636
1.11,2.415539,4.536293,3.475916
1.12,2.415378,4.535021,3.4752
1.13,2.415217,4.533756,3.474487
1.14,2.415058,4.532498,3.473778
1.15,2.414899,4.531246,3.473073
1.16,2.414741,4.530001,3.472371
1.17,2.414584,4.528763,3.471674
1.18,2.414428,4.527532,3.47098
1.19,2.414273,4.526307,3.47029
1.2,2.414118,4.525089,3.469603
1.21,2.413965,4.523877,3.468921
1.22,2.413812,4.522672,3.468242
1.23,2.41366,4.521474,3.467567
1.24,2.41351,4.520283,3.466896
1.25,2.41336,4.519098,3.466229
1.26,2.41321,4.517921,3.465566
1.27,2.413062,4.516749,3.464906
1.28,2.412915,4.515585,3.46425
1.29,2.412768,4.514428,3.463598
1.3,2.412623,4.513277,3.46295
1.31,2.412478,4.512133,3.462305
1.32,2.412334,4.510995,3.461665
1.33,2.412192,4.509865,3.461028
1.34,2.412049,4.508741,3.460395
1.35,2.411908,4.507624,3.459766
1.36,2.411768,4.506514,3.459141
1.37,2.411629,4.50541,3.458519
1.38,2.41149,4.504313,3.457902
1.39,2.411353,4.503224,3.457288
1.4,2.411216,4.502141,3.456678
1.41,2.41108,4.501064,3.456072
1.42,2.410945,4.499995,3.45547
1.43,2.410811,4.498932,3.454872
1.44,2.410678,4.497876,3.454277
1.45,2.410545,4.496827,3.453686
1.46,2.410414,4.495785,3.4531
1.47,2.410283,4.49475,3.452517
1.48,2.410154,4.493722,3.451938
1.49,2.410025,4.4927,3.451362
1.5,2.409897,4.491685,3.450791
1.51,2.40977,4.490677,3.450224
1.52,2.409644,4.489676,3.44966
1.53,2.409519,4.488682,3.4491
1.54,2.409395,4.487695,3.448545
1.55,2.409271,4.486714,3.447993
1.56,2.409149,4.485741,3.447445
1.57,2.409027,4.484774,3.4469
1.58,2.408906,4.483814,3.44636
1.59,2.408786,4.482861,3.445824
1.6,2.408667,4.481915,3.445291
1.61,2.408549,4.480976,3.444763
1.62,2.408432,4.480044,3.444238
1.63,2.408315,4.479119,3.443717
1.64,2.4082,4.4782,3.4432
1.65,2.408085,4.477289,3.442687
1.66,2.407972,4.476384,3.442178
1.67,2.407859,4.475487,3.441673
1.68,2.407747,4.474596,3.441171
1.69,2.407636,4.473712,3.440674
1.7,2.407526,4.472835,3.440181
1.71,2.407417,4.471966,3.439691
1.72,2.407308,4.471103,3.439205
1.73,2.407201,4.470247,3.438724
1.74,2.407094,4.469398,3.438246
1.75,2.406988,4.468556,3.437772
1.76,2.406884,4.467721,3.437302
1.77,2.40678,4.466892,3.436836
1.78,2.406677,4.466071,3.436374
1.79,2.406575,4.465257,3.435916
1.8,2.406473,4.46445,3.435462
1.81,2.406373,4.46365,3.435011
1.82,2.406273,4.462856,3.434565
1.83,2.406175,4.46207,3.434123
1.84,2.406077,4.461291,3.433684
1.85,2.40598,4.460519,3.43325
1.86,2.405884,4.459753,3.432819
1.87,2.405789,4.458995,3.432392
1.88,2.405695,4.458244,3.43197
1.89,2.405602,4.4575,3.431551
1.9,2.40551,4.456762,3.431136
1.91,2.405418,4.456032,3.430725
1.92,2.405328,4.455309,3.430318
1.93,2.405238,4.454593,3.429915
1.94,2.405149,4.453884,3.429517
1.95,2.405061,4.453182,3.429122
1.96,2.404974,4.452487,3.42873
1.97,2.404888,4.451799,3.428343
1.98,2.404803,4.451118,3.42796
1.99,2.404719,4.450444,3.427581
2.0,2.404635,4.449777,3.427206
2.01,2.404553,4.449117,3.426835
2.02,2.404471,4.448464,3.426468
2.03,2.40439,4.447818,3.426104
2.04,2.40431,4.44718,3.425745
2.05,2.404231,4.446548,3.42539
2.06,2.404153,4.445924,3.425039
2.07,2.404076,4.445306,3.424691
2.08,2.404,4.444696,3.424348
2.09,2.403924,4.444092,3.424008
2.1,2.40385,4.443496,3.423673
2.11,2.403776,4.442907,3.423342
2.12,2.403704,4.442325,3.423014
2.13,2.403632,4.44175,3.422691
2.14,2.403561,4.441182,3.422371
2.15,2.403491,4.440621,3.422056
2.16,2.403422,4.440068,3.421745
2.17,2.403353,4.439521,3.421437
2.18,2.403286,4.438981,3.421134
2.19,2.403219,4.438449,3.420834
2.2,2.403154,4.437924,3.420539
2.21,2.403089,4.437406,3.420247
2.22,2.403025,4.436894,3.41996
2.23,2.402962,4.43639,3.419676
2.24,2.4029,4.435894,3.419397
2.25,2.402839,4.435404,3.419122
2.26,2.402779,4.434921,3.41885
2.27,2.40272,4.434446,3.418583
2.28,2.402661,4.433977,3.418319
2.29,2.402604,4.433516,3.41806
2.3,2.402547,4.433062,3.417805
2.31,2.402491,4.432615,3.417553
2.32,2.402437,4.432175,3.417306
2.33,2.402383,4.431742,3.417062
2.34,2.402329,4.431317,3.416823
2.35,2.402277,4.430898,3.416588
2.36,2.402226,4.430487,3.416357
2.37,2.402176,4.430083,3.416129
2.38,2.402126,4.429686,3.415906
2.39,2.402078,4.429296,3.415687
2.4,2.40203,4.428913,3.415472
2.41,2.401983,4.428538,3.41526
2.42,2.401937,4.428169,3.415053
2.43,2.401892,4.427808,3.41485
2.44,2.401848,4.427454,3.414651
2.45,2.401805,4.427107,3.414456
2.46,2.401762,4.426767,3.414265
2.47,2.401721,4.426435,3.414078
2.48,2.40168,4.426109,3.413895
2.49,2.401641,4.425791,3.413716
2.5,2.401602,4.42548,3.413541
2.51,2.401564,4.425176,3.41337
2.52,2.401527,4.424879,3.413203
2.53,2.401491,4.424589,3.41304
2.54,2.401456,4.424307,3.412881
2.55,2.401422,4.424032,3.412727
2.56,2.401388,4.423764,3.412576
2.57,2.401356,4.423503,3.412429
2.58,2.401324,4.423249,3.412286
2.59,2.401293,4.423002,3.412148
2.6,2.401264,4.422763,3.412013
2.61,2.401235,4.422531,3.411883
2.62,2.401207,4.422306,3.411756
2.63,2.401179,4.422088,3.411634
2.64,2.401153,4.421877,3.411515
2.65,2.401128,4.421674,3.411401
2.66,2.401103,4.421477,3.41129
2.67,2.40108,4.421288,3.411184
2.68,2.401057,4.421106,3.411082
2.69,2.401036,4.420932,3.410984
2.7,2.401015,4.420764,3.410889
2.71,2.400995,4.420604,3.410799
2.72,2.400976,4.420451,3.410713
2.73,2.400957,4.420305,3.410631
2.74,2.40094,4.420166,3.410553
2.75,2.400917,4.419983,3.41045
2.76,2.400893,4.419785,3.410339
2.77,2.400869,4.419592,3.410231
2.78,2.400846,4.419406,3.410126
2.79,2.400823,4.419226,3.410025
2.8,2.400802,4.419052,3.409927
2.81,2.400781,4.418883,3.409832
2.82,2.40076,4.418719,3.40974
2.83,2.40074,4.41856,3.40965
2.84,2.400721,4.418406,3.409564
2.85,2.400703,4.418257,3.40948
2.86,2.400685,4.418112,3.409399
2.87,2.400667,4.417973,3.40932
2.88,2.400651,4.417839,3.409245
2.89,2.400634,4.417709,3.409172
2.9,2.400619,4.417584,3.409102
2.91,2.400604,4.417464,3.409034
2.92,2.40059,4.41735,3.40897
2.93,2.400576,4.41724,3.408908
2.94,2.400563,4.417134,3.408849
2.95,2.400551,4.417034,3.408792
2.96,2.400539,4.416939,3.408739
2.97,2.400527,4.416848,3.408688
2.98,2.400517,4.416763,3.40864
2.99,2.400507,4.416682,3.408594
3.0,2.400497,4.416607,3.408552
3.01,2.400489,4.416536,3.408512
3.02,2.40048,4.41647,3.408475
3.03,2.400473,4.416409,3.408441
3.04,2.400466,4.416353,3.408409
3.05,2.400459,4.416301,3.40838
3.06,2.400454,4.416255,3.408354
3.07,2.400448,4.416213,3.408331
3.08,2.400444,4.416177,3.40831
3.09,2.40044,4.416145,3.408293
3.1,2.400437,4.416119,3.408278
3.11,2.400434,4.416097,3.408265
3.12,2.400426,4.416031,3.408228
3.13,2.400414,4.415936,3.408175
3.14,2.400403,4.415846,3.408124
3.15,2.400392,4.415759,3.408076
3.16,2.400382,4.415677,3.408029
3.17,2.400372,4.415599,3.407986
3.18,2.400363,4.415526,3.407944
3.19,2.400354,4.415456,3.407905
3.2,2.400346,4.415391,3.407868
3.21,2.400338,4.415329,3.407834
3.22,2.400331,4.415272,3.407802
3.23,2.400325,4.41522,3.407772
3.24,2.400319,4.415171,3.407745
3.25,2.400313,4.415126,3.40772
3.26,2.400308,4.415086,3.407697
3.27,2.400304,4.41505,3.407677
3.28,2.4003,4.415018,3.407659
3.29,2.400296,4.41499,3.407643
3.3,2.400293,4.414966,3.40763
3.31,2.400291,4.414947,3.407619
3.32,2.400289,4.414932,3.40761
3.33,2.400288,4.414921,3.407604
3.34,2.400287,4.414914,3.4076
3.35,2.400286,4.414911,3.407599
3.36,2.400287,4.414912,3.407599
3.37,2.400287,4.414918,3.407603
3.38,2.400289,4.414928,3.407608
3.39,2.40029,4.414942,3.407616
3.4,2.400293,4.41496,3.407626
3.41,2.400295,4.414982,3.407639
3.42,2.400299,4.415009,3.407654
3.43,2.400302,4.415039,3.407671
3.44,2.400307,4.415074,3.40769
3.45,2.400312,4.415113,3.407712
3.46,2.400317,4.415156,3.407737
3.47,2.400323,4.415204,3.407763
3.48,2.400329,4.415255,3.407792
3.49,2.400336,4.415311,3.407824
3.5,2.400344,4.415371,3.407857
3.51,2.400352,4.415435,3.407893
3.52,2.40036,4.415503,3.407932
3.53,2.400369,4.415576,3.407972
3.54,2.400379,4.415652,3.408015
3.55,2.400389,4.415733,3.408061
3.56,2.400399,4.415818,3.408109
3.57,2.40041,4.415907,3.408159
3.58,2.400422,4.416,3.408211
3.59,2.400434,4.416098,3.408266
3.6,2.400447,4.416199,3.408323
3.61,2.40046,4.416305,3.408382
3.62,2.400474,4.416415,3.408444
3.63,2.400488,4.416529,3.408508
3.64,2.400502,4.416648,3.408575
3.65,2.400518,4.41677,3.408644
3.66,2.400533,4.416897,3.408715
3.67,2.40055,4.417027,3.408789
3.68,2.400566,4.417162,3.408864
3.69,2.400584,4.417302,3.408943
3.7,2.400602,4.417445,3.409023
3.71,2.40062,4.417592,3.409106
3.72,2.400639,4.417744,3.409191
3.73,2.400658,4.4179,3.409279
3.74,2.400678,4.41806,3.409369
3.75,2.400699,4.418224,3.409461
3.76,2.40072,4.418393,3.409556
3.77,2.400741,4.418565,3.409653
3.78,2.400763,4.418742,3.409752
3.79,2.400785,4.418923,3.409854
3.8,2.400804,4.419068,3.409936
3.81,2.400819,4.419194,3.410007
3.82,2.400835,4.419323,3.410079
