solar_hour,model,n,rmse,mae,mbe,r2
0,M0_DSSAT,22,1.9023,1.4153,-0.9936,0.8126
0,M1_PL_XJ,22,1.5864,1.2302,-0.1049,0.8245
0,M2_PHASE,22,2.1243,1.5546,-1.1491,0.772
0,M3_PULSE_1P,22,1.9023,1.4153,-0.9936,0.8126
0,M4_SHAPED_2P,22,1.9023,1.4153,-0.9936,0.8126
2,M0_DSSAT,719,2.22,1.507,-1.3438,0.8541
2,M1_PL_XJ,719,1.7821,1.2468,-0.5087,0.8631
2,M2_PHASE,719,2.3893,1.5908,-1.4427,0.8324
2,M3_PULSE_1P,719,2.22,1.507,-1.3438,0.8541
2,M4_SHAPED_2P,719,2.22,1.507,-1.3438,0.8541
3,M0_DSSAT,22,2.1756,1.6658,-1.5775,0.8208
3,M1_PL_XJ,22,1.5764,1.1852,-0.6513,0.8371
3,M2_PHASE,22,2.262,1.7338,-1.6455,0.8076
3,M3_PULSE_1P,22,2.1756,1.6658,-1.5775,0.8208
3,M4_SHAPED_2P,22,2.1756,1.6658,-1.5775,0.8208
5,M0_DSSAT,718,2.3554,1.6302,-1.5663,0.8538
5,M1_PL_XJ,718,2.4178,1.7086,-1.6019,0.8434
5,M2_PHASE,718,2.3616,1.6333,-1.5697,0.853
5,M3_PULSE_1P,718,2.3554,1.6302,-1.5663,0.8538
5,M4_SHAPED_2P,718,2.3554,1.6302,-1.5663,0.8538
6,M0_DSSAT,21,1.8193,1.4656,-1.4206,0.8908
6,M1_PL_XJ,21,1.3979,1.1207,-0.8865,0.9005
6,M2_PHASE,21,1.8387,1.4809,-1.4359,0.8886
6,M3_PULSE_1P,21,1.8193,1.4656,-1.4206,0.8908
6,M4_SHAPED_2P,21,1.8193,1.4656,-1.4206,0.8908
8,M0_DSSAT,719,2.2819,1.8052,-0.4639,0.8206
8,M1_PL_XJ,719,2.5279,2.1029,-1.0887,0.8127
8,M2_PHASE,719,2.2819,1.8052,-0.4639,0.8206
8,M3_PULSE_1P,719,2.2819,1.8052,-0.4639,0.8206
8,M4_SHAPED_2P,719,2.2819,1.8052,-0.4639,0.8206
9,M0_DSSAT,22,2.138,1.9207,-1.3828,0.8568
9,M1_PL_XJ,22,2.9724,2.5885,-2.4585,0.8556
9,M2_PHASE,22,2.138,1.9207,-1.3828,0.8568
9,M3_PULSE_1P,22,2.138,1.9207,-1.3828,0.8568
9,M4_SHAPED_2P,22,2.138,1.9207,-1.3828,0.8568
11,M0_DSSAT,722,3.2255,1.9063,1.5655,0.7469
11,M1_PL_XJ,722,3.3889,2.0462,1.8559,0.7441
11,M2_PHASE,722,3.2255,1.9063,1.5655,0.7469
11,M3_PULSE_1P,722,3.2255,1.9063,1.5655,0.7469
11,M4_SHAPED_2P,722,3.2255,1.9063,1.5655,0.7469
12,M0_DSSAT,22,3.2477,1.9336,1.2568,0.6759
12,M1_PL_XJ,22,3.3872,1.9968,1.528,0.6723
12,M2_PHASE,22,3.2477,1.9336,1.2568,0.6759
12,M3_PULSE_1P,22,3.2477,1.9336,1.2568,0.6759
12,M4_SHAPED_2P,22,3.2477,1.9336,1.2568,0.6759
14,M0_DSSAT,720,4.0302,2.4091,2.409,0.6742
14,M1_PL_XJ,720,3.9738,2.3251,2.3203,0.6754
14,M2_PHASE,720,4.0302,2.4091,2.409,0.6742
14,M3_PULSE_1P,720,4.0302,2.4091,2.409,0.6742
14,M4_SHAPED_2P,720,4.0302,2.4091,2.409,0.6742
15,M0_DSSAT,22,4.6812,2.7227,2.7227,0.5241
15,M1_PL_XJ,22,4.543,2.5182,2.5182,0.5262
15,M2_PHASE,22,4.6812,2.7227,2.7227,0.5241
15,M3_PULSE_1P,22,4.6594,2.7141,2.7141,0.5273
15,M4_SHAPED_2P,22,3.9174,2.4346,2.3834,0.6418
17,M0_DSSAT,717,3.9514,2.4243,2.2324,0.6632
17,M1_PL_XJ,717,3.1814,2.3305,0.4154,0.6842
17,M2_PHASE,717,3.4729,2.2644,1.6923,0.7077
17,M3_PULSE_1P,717,3.5361,2.2797,1.2968,0.6629
17,M4_SHAPED_2P,717,3.4884,2.2684,1.2376,0.6696
18,M0_DSSAT,21,4.5468,2.8171,2.8127,0.5081
18,M1_PL_XJ,21,3.3253,2.3664,0.654,0.5383
18,M2_PHASE,21,3.4319,2.3798,2.2533,0.6891
18,M3_PULSE_1P,21,4.5468,2.8171,2.8127,0.5081
18,M4_SHAPED_2P,21,4.5468,2.8171,2.8127,0.5081
20,M0_DSSAT,718,2.5086,1.7898,0.6892,0.7769
20,M1_PL_XJ,718,2.405,1.9253,-0.1742,0.7782
20,M2_PHASE,718,2.5116,1.7492,0.0406,0.7659
20,M3_PULSE_1P,718,2.5086,1.7898,0.6892,0.7769
20,M4_SHAPED_2P,718,2.5086,1.7898,0.6892,0.7769
21,M0_DSSAT,20,2.4601,1.766,0.9,0.7021
21,M1_PL_XJ,20,2.4799,1.7772,0.9567,0.7027
21,M2_PHASE,20,1.9424,1.5181,0.5713,0.7834
21,M3_PULSE_1P,20,2.4601,1.766,0.9,0.7021
21,M4_SHAPED_2P,20,2.4601,1.766,0.9,0.7021
23,M0_DSSAT,712,2.2394,1.8237,-0.8296,0.8077
23,M1_PL_XJ,712,2.1008,1.6789,-0.1596,0.8045
23,M2_PHASE,712,2.4055,1.8408,-1.1238,0.8027
23,M3_PULSE_1P,712,2.2394,1.8237,-0.8296,0.8077
23,M4_SHAPED_2P,712,2.2394,1.8237,-0.8296,0.8077
