lambda,p,cal_all_rmse,cal_high_rmse,objective
0.0,0.2,2.43888,4.717401,3.57814
0.05,0.2,2.437372,4.705863,3.571618
0.1,0.2,2.435893,4.694522,3.565208
0.15,0.2,2.434443,4.683379,3.558911
0.2,0.2,2.433021,4.672437,3.552729
0.25,0.2,2.431628,4.661697,3.546662
0.3,0.2,2.430263,4.65116,3.540711
0.35,0.2,2.428927,4.640826,3.534877
0.4,0.2,2.42762,4.630699,3.52916
0.45,0.2,2.426342,4.620779,3.52356
0.5,0.2,2.425092,4.611067,3.51808
0.55,0.2,2.423872,4.601565,3.512719
0.6,0.2,2.42268,4.592274,3.507477
0.65,0.2,2.421518,4.583196,3.502357
0.7,0.2,2.420384,4.57433,3.497357
0.75,0.2,2.41928,4.56568,3.49248
0.8,0.2,2.418204,4.557246,3.487725
0.85,0.2,2.417158,4.549029,3.483094
0.9,0.2,2.416141,4.541031,3.478586
0.95,0.2,2.415154,4.533252,3.474203
1.0,0.2,2.414195,4.525694,3.469945
1.05,0.2,2.413266,4.518358,3.465812
1.1,0.2,2.412366,4.511245,3.461805
1.15,0.2,2.411496,4.504356,3.457926
1.2,0.2,2.410654,4.497691,3.454173
1.25,0.2,2.409843,4.491253,3.450548
1.3,0.2,2.409061,4.485042,3.447051
1.35,0.2,2.408308,4.479059,3.443683
1.4,0.2,2.407585,4.473304,3.440445
1.45,0.2,2.406891,4.46778,3.437335
1.5,0.2,2.406227,4.462486,3.434356
1.55,0.2,2.405592,4.457423,3.431508
1.6,0.2,2.404988,4.452593,3.42879
1.65,0.2,2.404412,4.447995,3.426204
1.7,0.2,2.403867,4.443631,3.423749
1.75,0.2,2.403351,4.439502,3.421426
1.8,0.2,2.402865,4.435607,3.419236
1.85,0.2,2.402408,4.431949,3.417178
1.9,0.2,2.401982,4.428526,3.415254
1.95,0.2,2.401585,4.42534,3.413462
2.0,0.2,2.401217,4.422392,3.411805
2.05,0.2,2.40088,4.419681,3.41028
2.1,0.2,2.400572,4.417209,3.40889
2.15,0.2,2.400294,4.414975,3.407634
2.2,0.2,2.400046,4.41298,3.406513
2.25,0.2,2.399828,4.411224,3.405526
2.3,0.2,2.399629,4.409623,3.404626
2.35,0.2,2.399413,4.407882,3.403647
2.4,0.2,2.399221,4.406337,3.402779
2.45,0.2,2.39905,4.404962,3.402006
2.5,0.2,2.3989,4.403747,3.401323
