model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M9_DTR_KT_SHOULDER,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M9_DTR_KT_SHOULDER,10-<15,4044,2.396659676201143,1.6273178400729973,0.13782919011189054,0.8553669295649026
M9_DTR_KT_SHOULDER,15-<18,856,4.251924113899488,3.2562869511218047,0.4375100956438228,0.6331381419988893
M9_DTR_KT_SHOULDER,18-<20,72,5.228005770117759,4.407552591644603,-0.7677395188207552,0.36586746304304646
M9_DTR_KT_SHOULDER,>=20,47,6.496467091882316,5.393818921003145,-0.6488457412469626,0.1052594609465441
