model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M9_DTR_KT_SHOULDER,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M9_DTR_KT_SHOULDER,12,22,3.159460880114772,1.903720905950293,1.223295821409862,0.6905795427686583
M9_DTR_KT_SHOULDER,14,720,3.4727024888379714,2.211183742532992,1.7091509259231057,0.7136887581017499
M9_DTR_KT_SHOULDER,15,22,4.661254484070459,2.715140991306401,2.715140991306401,0.5270624361273071
M9_DTR_KT_SHOULDER,17,717,3.3510296858277218,2.1900231449618177,1.680791931583685,0.7315744630583877
M9_DTR_KT_SHOULDER,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M9_DTR_KT_SHOULDER,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M9_DTR_KT_SHOULDER,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
