gamma,cal_all_rmse,cal_high_rmse,objective
0.0,2.43888,4.717401,3.57814
0.001,2.43865,4.715642,3.577146
0.002,2.43842,4.713881,3.576151
0.003,2.438189,4.712118,3.575154
0.004,2.437959,4.710353,3.574156
0.005,2.437728,4.708586,3.573157
0.006,2.437497,4.706817,3.572157
0.007,2.437266,4.705046,3.571156
0.008,2.437035,4.703274,3.570154
0.009,2.436803,4.701501,3.569152
0.01,2.436572,4.699726,3.568149
0.011,2.43634,4.69795,3.567145
0.012,2.436109,4.696174,3.566141
0.013,2.435877,4.694396,3.565137
0.014,2.435645,4.692618,3.564132
0.015,2.435414,4.69084,3.563127
0.016,2.435182,4.689061,3.562122
0.017,2.434951,4.687282,3.561116
0.018,2.434719,4.685503,3.560111
0.019,2.434488,4.683724,3.559106
0.02,2.434256,4.681945,3.558101
0.021,2.434025,4.680167,3.557096
0.022,2.433794,4.678389,3.556092
0.023,2.433563,4.676612,3.555088
0.024,2.433332,4.674836,3.554084
0.025,2.433102,4.673061,3.553081
0.026,2.432872,4.671287,3.552079
0.027,2.432641,4.669514,3.551078
0.028,2.432412,4.667742,3.550077
0.029,2.432182,4.665973,3.549077
0.03,2.431953,4.664205,3.548079
0.031,2.431724,4.662438,3.547081
0.032,2.431495,4.660674,3.546085
0.033,2.431267,4.658912,3.545089
0.034,2.431039,4.657152,3.544096
0.035,2.430811,4.655395,3.543103
0.036,2.430584,4.65364,3.542112
0.037,2.430357,4.651888,3.541123
0.038,2.430131,4.650139,3.540135
0.039,2.429905,4.648393,3.539149
0.04,2.42968,4.646651,3.538165
0.041,2.429455,4.644911,3.537183
0.042,2.429231,4.643176,3.536203
0.043,2.429007,4.641443,3.535225
0.044,2.428784,4.639715,3.534249
0.045,2.428561,4.63799,3.533276
0.046,2.428339,4.63627,3.532305
0.047,2.428117,4.634554,3.531336
0.048,2.427897,4.632842,3.530369
0.049,2.427676,4.631135,3.529406
0.05,2.427457,4.629433,3.528445
0.051,2.427238,4.627735,3.527486
0.052,2.42702,4.626042,3.526531
0.053,2.426802,4.624355,3.525579
0.054,2.426586,4.622672,3.524629
0.055,2.42637,4.620995,3.523683
0.056,2.426155,4.619324,3.522739
0.057,2.42594,4.617658,3.521799
0.058,2.425727,4.615999,3.520863
0.059,2.425514,4.614345,3.519929
0.06,2.425302,4.612697,3.519
0.061,2.425091,4.611056,3.518073
0.062,2.424881,4.609421,3.517151
0.063,2.424672,4.607792,3.516232
0.064,2.424463,4.606171,3.515317
0.065,2.424256,4.604556,3.514406
