gamma,cal_all_rmse,cal_high_rmse,objective
0.0,2.43888,4.717401,3.57814
0.002,2.43842,4.713881,3.576151
0.004,2.437959,4.710353,3.574156
0.006,2.437497,4.706817,3.572157
0.008,2.437035,4.703274,3.570154
0.01,2.436572,4.699726,3.568149
0.012,2.436109,4.696174,3.566141
0.014,2.435645,4.692618,3.564132
0.016,2.435182,4.689061,3.562122
0.018,2.434719,4.685503,3.560111
0.02,2.434256,4.681945,3.558101
0.022,2.433794,4.678389,3.556092
0.024,2.433332,4.674836,3.554084
0.026,2.432872,4.671287,3.552079
0.028,2.432412,4.667742,3.550077
0.03,2.431953,4.664205,3.548079
0.032,2.431495,4.660674,3.546085
0.034,2.431039,4.657152,3.544096
0.036,2.430584,4.65364,3.542112
0.038,2.430131,4.650139,3.540135
0.04,2.42968,4.646651,3.538165
0.042,2.429231,4.643176,3.536203
0.044,2.428784,4.639715,3.534249
0.046,2.428339,4.63627,3.532305
0.048,2.427897,4.632842,3.530369
0.05,2.427457,4.629433,3.528445
0.052,2.42702,4.626042,3.526531
0.054,2.426586,4.622672,3.524629
0.056,2.426155,4.619324,3.522739
0.058,2.425727,4.615999,3.520863
0.06,2.425302,4.612697,3.519
0.062,2.424881,4.609421,3.517151
0.064,2.424463,4.606171,3.515317
0.066,2.424049,4.602948,3.513499
0.068,2.423639,4.599754,3.511697
0.07,2.423233,4.596589,3.509911
0.072,2.422832,4.593455,3.508143
0.074,2.422434,4.590353,3.506393
0.076,2.422041,4.587283,3.504662
0.078,2.421652,4.584248,3.50295
0.08,2.421269,4.581247,3.501258
0.082,2.420889,4.578283,3.499586
0.084,2.420515,4.575355,3.497935
0.086,2.420146,4.572466,3.496306
0.088,2.419782,4.569616,3.494699
0.09,2.419423,4.566805,3.493114
0.092,2.41907,4.564036,3.491553
0.094,2.418722,4.561309,3.490016
0.096,2.41838,4.558625,3.488502
0.098,2.418044,4.555984,3.487014
0.1,2.417713,4.553388,3.485551
0.102,2.417388,4.550838,3.484113
0.104,2.41707,4.548334,3.482702
0.106,2.416757,4.545878,3.481318
0.108,2.416451,4.54347,3.479961
0.11,2.416151,4.541111,3.478631
0.112,2.415858,4.538801,3.47733
0.114,2.415571,4.536542,3.476057
0.116,2.415291,4.534335,3.474813
0.118,2.415017,4.532179,3.473598
0.12,2.414751,4.530076,3.472413
0.122,2.414491,4.528027,3.471259
0.124,2.414217,4.525864,3.47004
0.126,2.41394,4.523679,3.46881
0.128,2.413669,4.521539,3.467604
0.13,2.413403,4.519442,3.466423
0.132,2.413143,4.517391,3.465267
0.134,2.41289,4.515385,3.464137
0.136,2.412636,4.513378,3.463007
0.138,2.412382,4.511369,3.461876
0.14,2.412133,4.509399,3.460766
0.142,2.411888,4.507466,3.459677
0.144,2.411649,4.505573,3.458611
0.146,2.411415,4.503719,3.457567
0.148,2.411186,4.501905,3.456545
0.15,2.410962,4.500131,3.455546
0.152,2.410744,4.498398,3.454571
0.154,2.41053,4.496707,3.453618
0.156,2.410322,4.495057,3.45269
0.158,2.41012,4.49345,3.451785
0.16,2.409923,4.491886,3.450904
0.162,2.409731,4.490366,3.450048
0.164,2.409529,4.488761,3.449145
0.166,2.409321,4.487112,3.448217
0.168,2.409119,4.485503,3.447311
0.17,2.408921,4.483934,3.446427
0.172,2.408729,4.482405,3.445567
0.174,2.408541,4.480917,3.444729
0.176,2.40836,4.47947,3.443915
0.178,2.408183,4.478064,3.443124
0.18,2.408011,4.476701,3.442356
0.182,2.407845,4.47538,3.441613
0.184,2.407685,4.474102,3.440894
0.186,2.40753,4.472868,3.440199
0.188,2.40738,4.471677,3.439528
0.19,2.407236,4.47053,3.438883
0.192,2.407098,4.469427,3.438262
0.194,2.406965,4.468369,3.437667
0.196,2.406838,4.467356,3.437097
0.198,2.406716,4.466388,3.436552
0.2,2.406601,4.465466,3.436033
0.202,2.406491,4.46459,3.43554
0.204,2.406387,4.46376,3.435074
0.206,2.406289,4.462977,3.434633
0.208,2.406196,4.462241,3.434218
0.21,2.40611,4.461551,3.433831
0.212,2.406029,4.460909,3.433469
0.214,2.405955,4.460315,3.433135
0.216,2.405885,4.459759,3.432822
0.218,2.405787,4.458979,3.432383
0.22,2.405678,4.458106,3.431892
0.222,2.405573,4.457266,3.431419
0.224,2.405472,4.456458,3.430965
0.226,2.405374,4.455683,3.430529
0.228,2.405282,4.454941,3.430111
0.23,2.405193,4.454232,3.429712
0.232,2.405108,4.453557,3.429332
0.234,2.405028,4.452915,3.428972
0.236,2.404952,4.452307,3.42863
0.238,2.40488,4.451734,3.428307
0.24,2.404813,4.451194,3.428003
0.242,2.404749,4.450689,3.427719
0.244,2.404692,4.450229,3.42746
0.246,2.404639,4.449803,3.427221
0.248,2.404589,4.449404,3.426997
0.25,2.404542,4.449032,3.426787
0.252,2.404499,4.448686,3.426593
0.254,2.404459,4.448368,3.426413
0.256,2.404422,4.448076,3.426249
0.258,2.404389,4.447811,3.4261
0.26,2.40436,4.447574,3.425967
0.262,2.404334,4.447365,3.425849
