alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
0.0,0.0,0.362628,2.378185,4.53268,3.455432
0.0,0.1,0.362628,2.383282,4.572108,3.477695
0.0,0.2,0.362628,2.386938,4.600234,3.493586
0.0,0.3,0.362628,2.389618,4.620764,3.505191
0.0,0.4,0.362628,2.391645,4.636253,3.513949
0.0,0.5,0.362628,2.393227,4.648312,3.520769
0.0,0.6,0.362628,2.394495,4.65796,3.526228
0.0,0.7,0.362628,2.395535,4.665862,3.530699
0.0,0.8,0.362628,2.396405,4.672463,3.534434
0.0,0.9,0.362628,2.397144,4.678071,3.537608
0.0,1.0,0.362628,2.397782,4.682904,3.540343
0.0,1.1,0.362628,2.398339,4.68712,3.54273
0.0,1.2,0.362628,2.39883,4.690838,3.544834
0.0,1.3,0.362628,2.399268,4.694147,3.546707
0.0,1.4,0.362628,2.399661,4.697115,3.548388
0.0,1.5,0.362628,2.400015,4.699796,3.549906
0.0,1.6,0.362628,2.400338,4.702232,3.551285
0.0,1.7,0.362628,2.400633,4.704459,3.552546
0.0,1.8,0.362628,2.400904,4.706504,3.553704
0.0,1.9,0.362628,2.401154,4.70839,3.554772
0.0,2.0,0.362628,2.401386,4.710138,3.555762
0.0,2.1,0.362628,2.401601,4.711762,3.556681
0.0,2.2,0.362628,2.401802,4.713276,3.557539
0.0,2.3,0.362628,2.40199,4.714693,3.558342
0.0,2.4,0.362628,2.402166,4.716023,3.559095
0.0,2.5,0.362628,2.402332,4.717273,3.559803
0.0,2.6,0.362628,2.402489,4.718452,3.56047
0.0,2.7,0.362628,2.402637,4.719566,3.561101
0.0,2.8,0.362628,2.402777,4.720621,3.561699
0.0,2.9,0.362628,2.40291,4.721622,3.562266
0.0,3.0,0.362628,2.403036,4.722574,3.562805
0.1,0.0,0.362628,2.377044,4.523822,3.450433
0.1,0.1,0.362628,2.382144,4.563328,3.472736
0.1,0.2,0.362628,2.385802,4.591507,3.488654
0.1,0.3,0.362628,2.388483,4.612076,3.500279
0.1,0.4,0.362628,2.390511,4.627594,3.509052
0.1,0.5,0.362628,2.392094,4.639675,3.515884
0.1,0.6,0.362628,2.393362,4.649341,3.521352
0.1,0.7,0.362628,2.394403,4.657258,3.52583
0.1,0.8,0.362628,2.395273,4.663871,3.529572
0.1,0.9,0.362628,2.396013,4.669489,3.532751
0.1,1.0,0.362628,2.396651,4.674331,3.535491
0.1,1.1,0.362628,2.397208,4.678555,3.537882
0.1,1.2,0.362628,2.3977,4.68228,3.53999
0.1,1.3,0.362628,2.398137,4.685595,3.541866
0.1,1.4,0.362628,2.39853,4.688568,3.543549
0.1,1.5,0.362628,2.398885,4.691254,3.545069
0.1,1.6,0.362628,2.399208,4.693695,3.546451
0.1,1.7,0.362628,2.399503,4.695925,3.547714
0.1,1.8,0.362628,2.399774,4.697974,3.548874
0.1,1.9,0.362628,2.400024,4.699864,3.549944
0.1,2.0,0.362628,2.400256,4.701614,3.550935
0.1,2.1,0.362628,2.400472,4.703241,3.551857
0.1,2.2,0.362628,2.400673,4.704759,3.552716
0.1,2.3,0.362628,2.400861,4.706178,3.55352
0.1,2.4,0.362628,2.401037,4.70751,3.554274
0.1,2.5,0.362628,2.401203,4.708763,3.554983
0.1,2.6,0.362628,2.40136,4.709944,3.555652
0.1,2.7,0.362628,2.401508,4.71106,3.556284
0.1,2.8,0.362628,2.401648,4.712117,3.556882
0.1,2.9,0.362628,2.401781,4.71312,3.55745
0.1,3.0,0.362628,2.401908,4.714073,3.55799
0.2,0.0,0.362628,2.376101,4.516482,3.446291
0.2,0.1,0.362628,2.381202,4.556051,3.468626
0.2,0.2,0.362628,2.384862,4.584275,3.484568
0.2,0.3,0.362628,2.387543,4.604876,3.49621
0.2,0.4,0.362628,2.389573,4.620418,3.504995
0.2,0.5,0.362628,2.391156,4.632518,3.511837
0.2,0.6,0.362628,2.392425,4.6422,3.517312
0.2,0.7,0.362628,2.393466,4.650128,3.521797
0.2,0.8,0.362628,2.394336,4.656752,3.525544
0.2,0.9,0.362628,2.395076,4.662378,3.528727
0.2,1.0,0.362628,2.395715,4.667227,3.531471
0.2,1.1,0.362628,2.396272,4.671458,3.533865
0.2,1.2,0.362628,2.396764,4.675188,3.535976
0.2,1.3,0.362628,2.397202,4.678508,3.537855
0.2,1.4,0.362628,2.397595,4.681486,3.53954
0.2,1.5,0.362628,2.39795,4.684176,3.541063
0.2,1.6,0.362628,2.398273,4.68662,3.542447
0.2,1.7,0.362628,2.398568,4.688855,3.543711
0.2,1.8,0.362628,2.398839,4.690906,3.544873
0.2,1.9,0.362628,2.39909,4.692799,3.545944
0.2,2.0,0.362628,2.399321,4.694552,3.546937
0.2,2.1,0.362628,2.399537,4.696181,3.547859
0.2,2.2,0.362628,2.399738,4.697701,3.54872
0.2,2.3,0.362628,2.399926,4.699123,3.549525
0.2,2.4,0.362628,2.400103,4.700457,3.55028
0.2,2.5,0.362628,2.400269,4.701711,3.55099
0.2,2.6,0.362628,2.400426,4.702894,3.55166
0.2,2.7,0.362628,2.400574,4.704012,3.552293
0.2,2.8,0.362628,2.400714,4.70507,3.552892
0.2,2.9,0.362628,2.400847,4.706074,3.553461
0.2,3.0,0.362628,2.400974,4.707029,3.554001
0.3,0.0,0.362628,2.375333,4.510508,3.442921
0.3,0.1,0.362628,2.380437,4.550129,3.465283
0.3,0.2,0.362628,2.384097,4.578389,3.481243
0.3,0.3,0.362628,2.38678,4.599017,3.492898
0.3,0.4,0.362628,2.38881,4.614579,3.501694
0.3,0.5,0.362628,2.390393,4.626694,3.508544
0.3,0.6,0.362628,2.391663,4.636388,3.514025
0.3,0.7,0.362628,2.392704,4.644326,3.518515
0.3,0.8,0.362628,2.393575,4.650958,3.522266
0.3,0.9,0.362628,2.394315,4.656592,3.525453
0.3,1.0,0.362628,2.394954,4.661447,3.5282
0.3,1.1,0.362628,2.395511,4.665682,3.530597
0.3,1.2,0.362628,2.396003,4.669418,3.53271
0.3,1.3,0.362628,2.396441,4.672741,3.534591
0.3,1.4,0.362628,2.396834,4.675723,3.536279
0.3,1.5,0.362628,2.39719,4.678416,3.537803
0.3,1.6,0.362628,2.397513,4.680864,3.539188
0.3,1.7,0.362628,2.397808,4.6831,3.540454
0.3,1.8,0.362628,2.398079,4.685155,3.541617
0.3,1.9,0.362628,2.39833,4.68705,3.54269
0.3,2.0,0.362628,2.398562,4.688805,3.543683
0.3,2.1,0.362628,2.398777,4.690436,3.544607
0.3,2.2,0.362628,2.398978,4.691958,3.545468
0.3,2.3,0.362628,2.399167,4.693381,3.546274
0.3,2.4,0.362628,2.399343,4.694717,3.54703
0.3,2.5,0.362628,2.399509,4.695973,3.547741
0.3,2.6,0.362628,2.399666,4.697157,3.548412
0.3,2.7,0.362628,2.399814,4.698276,3.549045
0.3,2.8,0.362628,2.399955,4.699336,3.549645
0.3,2.9,0.362628,2.400088,4.700341,3.550215
0.3,3.0,0.362628,2.400214,4.701297,3.550756
0.4,0.0,0.362628,2.374698,4.505555,3.440126
0.4,0.1,0.362628,2.379802,4.545219,3.462511
0.4,0.2,0.362628,2.383464,4.57351,3.478487
0.4,0.3,0.362628,2.386147,4.59416,3.490154
0.4,0.4,0.362628,2.388178,4.609738,3.498958
0.4,0.5,0.362628,2.389762,4.621866,3.505814
0.4,0.6,0.362628,2.391032,4.63157,3.511301
0.4,0.7,0.362628,2.392073,4.639517,3.515795
0.4,0.8,0.362628,2.392944,4.646155,3.519549
0.4,0.9,0.362628,2.393685,4.651794,3.522739
0.4,1.0,0.362628,2.394323,4.656654,3.525489
0.4,1.1,0.362628,2.394881,4.660895,3.527888
0.4,1.2,0.362628,2.395373,4.664634,3.530003
0.4,1.3,0.362628,2.395811,4.667961,3.531886
0.4,1.4,0.362628,2.396205,4.670945,3.533575
0.4,1.5,0.362628,2.39656,4.673641,3.5351
0.4,1.6,0.362628,2.396883,4.676091,3.536487
0.4,1.7,0.362628,2.397178,4.67833,3.537754
0.4,1.8,0.362628,2.39745,4.680387,3.538918
0.4,1.9,0.362628,2.3977,4.682284,3.539992
0.4,2.0,0.362628,2.397932,4.684041,3.540986
0.4,2.1,0.362628,2.398148,4.685674,3.541911
0.4,2.2,0.362628,2.398349,4.687197,3.542773
0.4,2.3,0.362628,2.398537,4.688622,3.54358
0.4,2.4,0.362628,2.398714,4.689959,3.544336
0.4,2.5,0.362628,2.39888,4.691216,3.545048
0.4,2.6,0.362628,2.399037,4.692401,3.545719
0.4,2.7,0.362628,2.399185,4.693522,3.546353
0.4,2.8,0.362628,2.399326,4.694582,3.546954
0.4,2.9,0.362628,2.399459,4.695589,3.547524
0.4,3.0,0.362628,2.399585,4.696546,3.548066
0.5,0.0,0.362628,2.374161,4.50137,3.437766
0.5,0.1,0.362628,2.379267,4.541071,3.460169
0.5,0.2,0.362628,2.382929,4.569388,3.476158
0.5,0.3,0.362628,2.385613,4.590056,3.487835
0.5,0.4,0.362628,2.387644,4.605648,3.496646
0.5,0.5,0.362628,2.389229,4.617786,3.503507
0.5,0.6,0.362628,2.390499,4.627499,3.508999
0.5,0.7,0.362628,2.39154,4.635453,3.513496
0.5,0.8,0.362628,2.392411,4.642097,3.517254
0.5,0.9,0.362628,2.393152,4.647741,3.520447
0.5,1.0,0.362628,2.393791,4.652605,3.523198
0.5,1.1,0.362628,2.394349,4.656849,3.525599
0.5,1.2,0.362628,2.394841,4.660592,3.527716
0.5,1.3,0.362628,2.395279,4.663922,3.529601
0.5,1.4,0.362628,2.395673,4.666909,3.531291
0.5,1.5,0.362628,2.396028,4.669607,3.532818
0.5,1.6,0.362628,2.396351,4.672059,3.534205
0.5,1.7,0.362628,2.396647,4.6743,3.535474
0.5,1.8,0.362628,2.396918,4.676359,3.536638
