model,group,n,rmse,mae,mbe,r2
M0_OFFICIAL,May-Sep,5917,2.9468904701547634,1.913531961917118,0.3368236326328955,0.8028958791267552
M0_OFFICIAL,DTR>=15,975,5.121515444491758,3.761192991004218,1.2166832020710436,0.5559361545060153
M0_OFFICIAL,DTR>=18,119,6.838208606934243,5.52909250868209,1.9143614742016453,0.31913433408817155
M1_DYNAMIC_A,May-Sep,5917,2.890319649714982,1.8963162328506804,0.1999525687379733,0.8097110548492189
M1_DYNAMIC_A,DTR>=15,975,4.924925342229667,3.6594740126201195,0.39576794334562654,0.5796321467683624
M1_DYNAMIC_A,DTR>=18,119,6.113674134738131,4.9291666305432305,-0.06835765506682934,0.43241037312038777
M2_POSTPEAK,May-Sep,5917,2.8714724217354366,1.8927716474260992,0.2371322684808997,0.8086633506793338
M2_POSTPEAK,DTR>=15,975,4.862945903892563,3.641949180712653,0.6260075284946084,0.5596726821280846
M2_POSTPEAK,DTR>=18,119,6.410649410743118,5.191239583091281,0.5251479482690496,0.3096502955630106
M3_DYNAMIC_A_POSTPEAK,May-Sep,5917,2.8689816075290553,1.8971478034526768,0.049826442171946136,0.8086488850458722
M3_DYNAMIC_A_POSTPEAK,DTR>=15,975,4.855820884407943,3.6701410534721113,-0.5022153816282303,0.56392546719402
M3_DYNAMIC_A_POSTPEAK,DTR>=18,119,6.461602091645242,5.168545502377268,-2.403663432138311,0.37079344458197905
