solar_date,month,season,n_points,formal_dtr_c,daily_rmse_c,daily_mae_c,daily_mbe_c
2000-01-01,1,Other,7,10.8,5.3659,4.9486,1.3472
2000-01-02,1,Other,8,13.1,4.9355,4.2046,-2.8392
2000-01-03,1,Other,9,7.1,3.5196,3.3024,1.658
2000-01-04,1,Other,8,10.2,5.7779,5.5559,1.592
2000-01-06,1,Other,6,7.6,2.3258,1.811,-1.2809
2000-01-07,1,Other,8,8.9,6.5145,4.6138,-2.9112
2000-01-08,1,Other,8,15.7,9.6556,8.8169,0.5139
2000-01-09,1,Other,7,13.9,7.2029,5.864,-5.2413
2000-01-10,1,Other,9,4.3,2.5462,2.2027,0.668
2000-01-11,1,Other,8,6.1,1.033,0.7398,0.1266
2000-01-12,1,Other,8,12.3,2.3607,2.0278,0.4887
2000-01-13,1,Other,8,10.9,3.1462,2.2374,-1.2007
2000-01-14,1,Other,7,7.0,2.8337,2.3024,1.9431
2000-01-15,1,Other,8,11.0,1.6208,1.3518,0.1023
2000-01-16,1,Other,8,7.9,2.2524,1.7314,-1.3653
2000-01-17,1,Other,8,8.4,4.0301,3.2061,2.3061
2000-01-18,1,Other,8,8.5,1.6815,1.1629,0.5165
2000-01-19,1,Other,8,11.8,3.9143,3.0048,-2.7893
2000-01-20,1,Other,8,7.1,3.5202,3.0427,2.2515
2000-01-21,1,Other,8,6.2,0.7614,0.6443,0.1368
2000-01-22,1,Other,8,7.5,2.9833,2.2444,2.0973
2000-01-23,1,Other,8,8.8,2.6511,2.0808,0.4344
2000-01-24,1,Other,8,5.3,1.0128,0.8539,-0.3849
2000-01-25,1,Other,9,4.3,0.9049,0.7504,-0.0485
2000-01-26,1,Other,8,5.6,1.0671,0.9248,-0.6335
2000-01-27,1,Other,8,7.9,1.5565,1.2239,0.6723
2000-01-28,1,Other,8,5.1,1.3431,1.0956,-0.7844
2000-01-29,1,Other,8,8.6,2.482,2.0434,1.2177
2000-01-30,1,Other,8,6.7,2.0315,1.8327,0.2442
2000-01-31,1,Other,8,7.8,2.7188,2.0888,-1.6003
2000-02-01,2,Other,8,9.8,3.3039,2.6319,1.657
2000-02-02,2,Other,8,5.3,1.2281,1.02,-0.3273
2000-02-03,2,Other,8,5.7,1.0823,0.9029,0.1426
2000-02-04,2,Other,8,6.7,2.1731,1.809,-0.7938
2000-02-05,2,Other,8,6.6,1.8344,1.6874,0.0166
2000-02-06,2,Other,8,5.8,2.1887,1.8935,1.413
2000-02-07,2,Other,8,6.6,0.9406,0.7693,-0.3106
2000-02-08,2,Other,8,6.7,1.9342,1.5819,-0.1104
2000-02-09,2,Other,8,7.7,2.4729,2.0632,1.2331
2000-02-10,2,Other,8,11.9,2.4039,2.159,-1.0643
2000-02-11,2,Other,8,3.8,1.8032,1.5212,1.2689
2000-02-12,2,Other,8,8.4,1.7556,1.5223,0.1815
2000-02-13,2,Other,8,11.6,4.1267,3.1847,2.1286
2000-02-14,2,Other,8,7.3,1.196,1.039,0.3951
2000-02-15,2,Other,8,9.1,2.3663,1.9813,-0.9663
2000-02-16,2,Other,8,10.0,1.7885,1.526,-0.8229
2000-02-17,2,Other,8,4.2,2.2974,2.1098,1.2456
2000-02-18,2,Other,7,7.1,1.992,1.5535,0.9213
2000-02-19,2,Other,6,7.8,1.4083,0.9739,0.773
