group,n_points,n_days,rmse_c,mae_c,mbe_c,r2,pearson_r
solar_hour_00,1270,1270,1.7429,1.1564,-0.3959,0.942,0.9706
solar_hour_01,2,2,3.3173,2.4406,-2.4406,,
solar_hour_02,5680,5680,1.9291,1.1664,-0.8647,0.9851,0.9925
solar_hour_03,1276,1276,1.8357,1.0727,-0.7743,0.9399,0.9695
solar_hour_04,0,0,,,,,
solar_hour_05,5703,5703,2.0821,1.2448,-1.1861,0.9856,0.9928
solar_hour_06,1277,1277,1.8571,1.0245,-0.943,0.9431,0.9711
solar_hour_07,1,1,0.3813,0.3813,-0.3813,,
solar_hour_08,5686,5686,2.6213,1.9659,-1.1748,0.9809,0.9904
solar_hour_09,1280,1280,2.3265,1.8021,-1.5682,0.9489,0.9741
solar_hour_10,1,1,1.4662,1.4662,-1.4662,,
solar_hour_11,5693,5693,2.5962,1.5777,0.7736,0.9759,0.9879
solar_hour_12,1278,1278,2.0309,1.3015,0.1782,0.9389,0.969
solar_hour_13,0,0,,,,,
solar_hour_14,5703,5703,3.6103,2.2896,2.2893,0.9703,0.985
solar_hour_15,1280,1280,3.1002,1.9603,1.9601,0.9209,0.9596
solar_hour_16,2,2,5.8254,5.8207,0.235,,
solar_hour_17,5696,5696,3.6152,2.4626,2.3297,0.9724,0.9861
solar_hour_18,1279,1279,3.0341,2.2905,2.2407,0.935,0.967
solar_hour_19,0,0,,,,,
solar_hour_20,5683,5683,2.5333,1.838,0.6687,0.9742,0.987
solar_hour_21,1277,1277,1.976,1.411,0.721,0.9369,0.9679
solar_hour_22,0,0,,,,,
solar_hour_23,5689,5689,2.6362,2.0,-0.5596,0.9685,0.9841
