branch,k,n,cal_rmse
pre,0.0,95,8.104671211084966
pre,0.01,95,8.10457948259255
pre,0.02,95,8.104487896718378
pre,0.03,95,8.104396448357058
pre,0.04,95,8.104305132623754
pre,0.05,95,8.104213944844606
pre,0.06,95,8.104122880547527
pre,0.07,95,8.104031935453424
pre,0.08,95,8.103941105467804
pre,0.09,95,8.10385038667275
pre,0.1,95,8.103759775319245
pre,0.11,95,8.103669267819832
pre,0.12,95,8.103578860741603
pre,0.13,95,8.103488550799486
pre,0.14,95,8.103398334849844
pre,0.15,95,8.103308209884311
pre,0.16,95,8.103218173023954
pre,0.17,95,8.10312822151366
pre,0.18,95,8.103038352716755
pre,0.19,95,8.102948564109875
pre,0.2,95,8.102858853278088
pre,0.21,95,8.102769217910154
pre,0.22,95,8.102679655794075
pre,0.23,95,8.102590164812778
pre,0.24,95,8.102500742940025
pre,0.25,95,8.102411388236462
pre,0.26,95,8.102322098845887
pre,0.27,95,8.102232872991642
pre,0.28,95,8.10214370897317
pre,0.29,95,8.102054605162738
pre,0.3,95,8.101965560002288
pre,0.31,95,8.10187657200041
pre,0.32,95,8.1017876397295
pre,0.33,95,8.10169876182296
pre,0.34,95,8.101609936972602
pre,0.35000000000000003,95,8.1015211639261
pre,0.36,95,8.1014324414846
pre,0.37,95,8.101343768500396
pre,0.38,95,8.10125514387472
pre,0.39,95,8.101166566555657
pre,0.4,95,8.101078035536093
pre,0.41000000000000003,95,8.100989549851796
pre,0.42,95,8.100901108579572
pre,0.43,95,8.100812710835482
pre,0.44,95,8.100724355773163
pre,0.45,95,8.100636042582195
pre,0.46,95,8.10054777048656
pre,0.47000000000000003,95,8.100459538743161
pre,0.48,95,8.100371346640388
pre,0.49,95,8.100283193496784
pre,0.5,95,8.100195078659725
pre,0.51,95,8.100107001504185
pre,0.52,95,8.100018961431546
pre,0.53,95,8.099930957868475
pre,0.54,95,8.099842990265808
pre,0.55,95,8.099755058097523
pre,0.56,95,8.099667160859743
pre,0.5700000000000001,95,8.099579298069788
pre,0.58,95,8.099491469265255
pre,0.59,95,8.099403674003124
pre,0.6,95,8.099315911858977
pre,0.61,95,8.099228182426144
pre,0.62,95,8.099140485314962
pre,0.63,95,8.09905282015204
pre,0.64,95,8.098965186579568
pre,0.65,95,8.098877584254618
pre,0.66,95,8.098790012848541
pre,0.67,95,8.098702472046321
pre,0.68,95,8.098614961546007
pre,0.6900000000000001,95,8.098527481058138
pre,0.7000000000000001,95,8.09844003030522
pre,0.71,95,8.098352609021198
pre,0.72,95,8.098265216950967
