solar_date,year,rise_monotonic,fall_monotonic,below_tmin_c,above_tmax_c
2000-05-06,2000,YES,YES,0.0,0.0
2000-05-09,2000,YES,YES,0.0,0.0
2000-05-17,2000,YES,YES,0.0,0.0
2000-05-18,2000,YES,YES,0.0,0.0
2000-05-22,2000,YES,YES,0.0,0.0
2000-06-06,2000,YES,YES,0.0,0.0
2000-08-24,2000,YES,YES,0.0,0.0
2000-09-04,2000,YES,YES,0.0,0.0
2000-09-20,2000,YES,YES,0.0,0.0
2000-09-26,2000,YES,YES,0.0,0.0
2001-05-14,2001,YES,YES,0.0,0.0
2001-05-25,2001,YES,YES,0.0,0.0
2001-06-03,2001,YES,YES,0.0,0.0
2001-06-08,2001,YES,YES,0.0,0.0
2001-06-11,2001,YES,YES,0.0,0.0
2001-06-12,2001,YES,YES,0.0,0.0
2001-06-20,2001,YES,YES,0.0,0.0
2001-08-12,2001,YES,YES,0.0,0.0
2002-09-07,2002,YES,YES,0.0,0.0
2002-09-14,2002,YES,YES,0.0,0.0
2003-06-23,2003,YES,YES,0.0,0.0
2004-05-03,2004,YES,YES,0.0,0.0
2004-05-17,2004,YES,YES,0.0,0.0
2004-07-05,2004,YES,YES,0.0,0.0
2004-07-08,2004,YES,YES,0.0,0.0
2004-07-12,2004,YES,YES,0.0,0.0
2004-07-13,2004,YES,YES,0.0,0.0
2004-07-14,2004,YES,YES,0.0,0.0
2004-07-28,2004,YES,YES,0.0,0.0
2004-08-23,2004,YES,YES,0.0,0.0
2004-09-07,2004,YES,YES,0.0,0.0
2004-09-08,2004,YES,YES,0.0,0.0
2005-05-04,2005,YES,YES,0.0,0.0
2005-05-05,2005,YES,YES,0.0,0.0
2005-05-30,2005,YES,YES,0.0,0.0
2005-06-20,2005,YES,YES,0.0,0.0
2005-06-25,2005,YES,YES,0.0,0.0
2005-07-22,2005,YES,YES,0.0,0.0
2005-08-23,2005,YES,YES,0.0,0.0
2005-09-07,2005,YES,YES,0.0,0.0
2006-05-18,2006,YES,YES,0.0,0.0
2006-05-20,2006,YES,YES,0.0,0.0
2006-05-25,2006,YES,YES,0.0,0.0
2006-06-15,2006,YES,YES,0.0,0.0
2006-07-07,2006,YES,YES,0.0,0.0
2006-07-30,2006,YES,YES,0.0,0.0
2006-07-31,2006,YES,YES,0.0,0.0
2006-08-17,2006,YES,YES,0.0,0.0
2006-09-13,2006,YES,YES,0.0,0.0
2006-09-24,2006,YES,YES,0.0,0.0
2007-05-02,2007,YES,YES,0.0,0.0
2007-05-06,2007,YES,YES,0.0,0.0
2007-05-07,2007,YES,YES,0.0,0.0
2007-05-23,2007,YES,YES,0.0,0.0
2007-05-28,2007,YES,YES,0.0,0.0
2007-06-29,2007,YES,YES,0.0,0.0
2007-08-11,2007,YES,YES,0.0,0.0
2007-08-12,2007,YES,YES,0.0,0.0
2007-09-16,2007,YES,YES,0.0,0.0
2008-05-08,2008,YES,YES,0.0,0.0
2008-06-10,2008,YES,YES,0.0,0.0
2008-06-11,2008,YES,YES,0.0,0.0
2008-06-15,2008,YES,YES,0.0,0.0
2008-06-22,2008,YES,YES,0.0,0.0
2008-08-07,2008,YES,YES,0.0,0.0
2009-05-18,2009,YES,YES,0.0,0.0
2009-05-19,2009,YES,YES,0.0,0.0
2009-05-27,2009,YES,YES,0.0,0.0
2009-06-03,2009,YES,YES,0.0,0.0
2009-07-12,2009,YES,YES,0.0,0.0
2009-08-08,2009,YES,YES,0.0,0.0
2009-08-09,2009,YES,YES,0.0,0.0
2009-08-25,2009,YES,YES,0.0,0.0
2009-08-29,2009,YES,YES,0.0,0.0
2009-09-02,2009,YES,YES,0.0,0.0
2010-05-14,2010,YES,YES,0.0,0.0
2010-05-17,2010,YES,YES,0.0,0.0
2010-05-18,2010,YES,YES,0.0,0.0
2010-07-14,2010,YES,YES,0.0,0.0
2010-08-11,2010,YES,YES,0.0,0.0
2010-08-24,2010,YES,YES,0.0,0.0
2010-09-11,2010,YES,YES,0.0,0.0
2010-09-12,2010,YES,YES,0.0,0.0
2011-05-17,2011,YES,YES,0.0,0.0
2012-05-14,2012,YES,YES,0.0,0.0
2012-08-22,2012,YES,YES,0.0,0.0
2012-08-25,2012,YES,YES,0.0,0.0
2012-09-01,2012,YES,YES,0.0,0.0
2014-05-18,2014,YES,YES,0.0,0.0
2014-07-11,2014,YES,YES,0.0,0.0
2014-07-20,2014,YES,YES,0.0,0.0
2014-09-01,2014,YES,YES,0.0,0.0
2014-09-06,2014,YES,YES,0.0,0.0
2014-09-15,2014,YES,YES,0.0,0.0
2014-09-18,2014,YES,YES,0.0,0.0
2020-05-01,2020,YES,YES,0.0,0.0
2020-05-03,2020,YES,YES,0.0,0.0
2020-05-05,2020,YES,YES,0.0,0.0
2020-05-06,2020,YES,YES,0.0,0.0
2020-05-08,2020,YES,YES,0.0,0.0
2020-05-09,2020,YES,YES,0.0,0.0
2020-05-28,2020,YES,YES,0.0,0.0
2020-06-05,2020,YES,YES,0.0,0.0
2020-06-06,2020,YES,YES,0.0,0.0
2020-06-17,2020,YES,YES,0.0,0.0
2020-06-20,2020,YES,YES,0.0,0.0
2020-06-21,2020,YES,YES,0.0,0.0
2020-06-28,2020,YES,YES,0.0,0.0
2020-07-01,2020,YES,YES,0.0,0.0
2020-07-02,2020,YES,YES,0.0,0.0
2020-07-27,2020,YES,YES,0.0,0.0
2020-07-28,2020,YES,YES,0.0,0.0
2020-07-29,2020,YES,YES,0.0,0.0
2020-07-30,2020,YES,YES,0.0,0.0
2020-08-14,2020,YES,YES,0.0,0.0
2020-08-18,2020,YES,YES,0.0,0.0
2020-08-19,2020,YES,YES,0.0,0.0
2020-08-25,2020,YES,YES,0.0,0.0
2020-09-06,2020,YES,YES,0.0,0.0
2020-09-17,2020,YES,YES,0.0,0.0
2020-09-18,2020,YES,YES,0.0,0.0
2021-05-01,2021,YES,YES,0.0,0.0
2021-05-02,2021,YES,YES,0.0,0.0
2021-05-04,2021,YES,YES,0.0,0.0
2021-05-05,2021,YES,YES,0.0,0.0
2021-05-06,2021,YES,YES,0.0,0.0
2021-05-07,2021,YES,YES,0.0,0.0
2021-05-08,2021,YES,YES,0.0,0.0
2021-05-11,2021,YES,YES,0.0,0.0
2021-05-20,2021,YES,YES,0.0,0.0
2021-05-21,2021,YES,YES,0.0,0.0
2021-05-23,2021,YES,YES,0.0,0.0
2021-05-24,2021,YES,YES,0.0,0.0
2021-06-05,2021,YES,YES,0.0,0.0
2021-06-06,2021,YES,YES,0.0,0.0
2021-06-08,2021,YES,YES,0.0,0.0
2021-06-20,2021,YES,YES,0.0,0.0
2021-06-21,2021,YES,YES,0.0,0.0
2021-06-24,2021,YES,YES,0.0,0.0
2021-06-25,2021,YES,YES,0.0,0.0
2021-06-29,2021,YES,YES,0.0,0.0
2021-07-05,2021,YES,YES,0.0,0.0
2021-07-10,2021,YES,YES,0.0,0.0
2021-07-11,2021,YES,YES,0.0,0.0
2021-07-16,2021,YES,YES,0.0,0.0
2021-07-17,2021,YES,YES,0.0,0.0
2021-07-30,2021,YES,YES,0.0,0.0
2021-07-31,2021,YES,YES,0.0,0.0
2021-08-03,2021,YES,YES,0.0,0.0
2021-08-12,2021,YES,YES,0.0,0.0
2021-08-13,2021,YES,YES,0.0,0.0
2021-09-01,2021,YES,YES,0.0,0.0
2021-09-08,2021,YES,YES,0.0,0.0
2021-09-10,2021,YES,YES,0.0,0.0
2021-09-19,2021,YES,YES,0.0,0.0
2021-09-27,2021,YES,YES,0.0,0.0
2022-05-04,2022,YES,YES,0.0,0.0
2022-05-25,2022,YES,YES,0.0,0.0
2022-05-26,2022,YES,YES,0.0,0.0
2022-06-14,2022,YES,YES,0.0,0.0
2022-06-16,2022,YES,YES,0.0,0.0
2022-06-23,2022,YES,YES,0.0,0.0
2022-06-24,2022,YES,YES,0.0,0.0
2022-06-28,2022,YES,YES,0.0,0.0
2022-06-29,2022,YES,YES,0.0,0.0
2022-06-30,2022,YES,YES,0.0,0.0
2022-07-01,2022,YES,YES,0.0,0.0
2022-07-04,2022,YES,YES,0.0,0.0
2022-07-05,2022,YES,YES,0.0,0.0
2022-07-19,2022,YES,YES,0.0,0.0
2022-07-22,2022,YES,YES,0.0,0.0
2022-07-24,2022,YES,YES,0.0,0.0
2022-09-06,2022,YES,YES,0.0,0.0
2022-09-08,2022,YES,YES,0.0,0.0
2022-09-09,2022,YES,YES,0.0,0.0
2022-09-28,2022,YES,YES,0.0,0.0
2023-05-01,2023,YES,YES,0.0,0.0
2023-05-09,2023,YES,YES,0.0,0.0
2023-05-10,2023,YES,YES,0.0,0.0
2023-05-11,2023,YES,YES,0.0,0.0
2023-05-12,2023,YES,YES,0.0,0.0
2023-06-12,2023,YES,YES,0.0,0.0
2023-06-26,2023,YES,YES,0.0,0.0
2023-06-27,2023,YES,YES,0.0,0.0
2023-06-28,2023,YES,YES,0.0,0.0
2023-06-29,2023,YES,YES,0.0,0.0
2023-07-03,2023,YES,YES,0.0,0.0
2023-07-13,2023,YES,YES,0.0,0.0
2023-07-14,2023,YES,YES,0.0,0.0
2023-07-15,2023,YES,YES,0.0,0.0
2023-07-20,2023,YES,YES,0.0,0.0
2023-07-21,2023,YES,YES,0.0,0.0
2023-07-28,2023,YES,YES,0.0,0.0
2023-08-08,2023,YES,YES,0.0,0.0
2023-08-11,2023,YES,YES,0.0,0.0
2023-08-12,2023,YES,YES,0.0,0.0
2023-08-13,2023,YES,YES,0.0,0.0
