model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M15_DENSE_TRANSFER_TS,<10,898,1.6874119081653243,1.1936853503136229,0.27456226325953326,0.9337151096037355
M15_DENSE_TRANSFER_TS,10-<15,4044,2.3970633791028577,1.6274735737121648,0.13784164361205964,0.8553489569427336
M15_DENSE_TRANSFER_TS,15-<18,856,4.455076023708645,3.2000458539614223,0.49386706988447704,0.6459400173917564
M15_DENSE_TRANSFER_TS,18-<20,72,5.542573380959222,4.377893481552851,-0.5567895583807188,0.5006853135296688
M15_DENSE_TRANSFER_TS,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
