model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,2,719,2.2200261455971435,1.5070084840055633,-1.3438215577190542,0.8540792668090867
M0_OFFICIAL,5,718,2.3553510134795546,1.6302352367688022,-1.566342479108635,0.8538247931125211
M0_OFFICIAL,8,719,2.2818980741219583,1.8051809457579973,-0.46389109874826145,0.8205548812477439
M0_OFFICIAL,9,22,2.137992522948062,1.9207454545454548,-1.3828272727272728,0.8568507481371749
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M15_DENSE_TRANSFER_TS,2,719,2.3636443300209584,1.5724139415001999,-1.4156874092156526,0.8341895031761981
M15_DENSE_TRANSFER_TS,5,718,2.3607128989495085,1.633093303910235,-1.5692721982068796,0.8531515105775858
M15_DENSE_TRANSFER_TS,8,719,2.2818945646418856,1.8051770873619104,-0.46389032537484914,0.8205554477144401
M15_DENSE_TRANSFER_TS,9,22,2.1379924277431184,1.9207477351724607,-1.3828009378971327,0.856846540622717
M15_DENSE_TRANSFER_TS,11,722,3.225542878302282,1.9062837928037735,1.565533951455389,0.7469026286893983
M15_DENSE_TRANSFER_TS,12,22,3.247695984638788,1.9336257002726147,1.2568248950849152,0.6759022604579957
M15_DENSE_TRANSFER_TS,14,720,4.030171262136239,2.409146052773646,2.4089965953172485,0.6742493767617236
M15_DENSE_TRANSFER_TS,15,22,4.681204164820064,2.7226639776705737,2.7226639776705737,0.5240880065858562
M15_DENSE_TRANSFER_TS,17,717,3.347927151766326,2.161941267449754,1.9004955729990174,0.7569713521506949
M15_DENSE_TRANSFER_TS,18,21,2.923538784608671,1.9738096324467616,1.9333953556854273,0.7714766591283816
M15_DENSE_TRANSFER_TS,20,718,2.136082982776661,1.5775893850665061,0.2170931744634899,0.828750567100937
M15_DENSE_TRANSFER_TS,23,712,2.2123903853599676,1.756841216390286,-1.0445721327743966,0.8322761094224217
