model,year,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,2020,25,199,5.182119073570513,3.7923165829145726,1.276932663316583,0.4768964246543459
M0_OFFICIAL,2021,33,264,5.097851384559286,3.6838397727272727,1.196560227272727,0.5304997273605806
M0_OFFICIAL,2022,19,149,4.7959503444513425,3.506634899328859,1.0771409395973155,0.49881617158080493
M0_OFFICIAL,2023,22,173,4.976798818976559,3.681283815028902,1.3334942196531794,0.5839108848819053
M0_OFFICIAL,2024,24,190,5.456593539398965,4.108453684210526,1.1846263157894736,0.5131997362127826
M15_DENSE_TRANSFER_TS,2020,25,199,4.721505992336168,3.372892352961822,0.40670563487689676,0.5574301408718183
M15_DENSE_TRANSFER_TS,2021,33,264,4.564037889919542,3.2804095168867793,0.41585986346116827,0.6060692239476813
M15_DENSE_TRANSFER_TS,2022,19,149,4.507153887223483,3.353937683793837,0.3647305260294691,0.556052302812977
M15_DENSE_TRANSFER_TS,2023,22,173,4.626126817738641,3.3966102185430382,0.5000410956723145,0.6304582670867934
M15_DENSE_TRANSFER_TS,2024,24,190,4.960157070156847,3.6097840542395847,0.19283117941431616,0.5915878910585617
