model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M16_CV_CLOUD_HINGE_TS,<10,898,1.6874119081653243,1.1936853503136229,0.27456226325953326,0.9337151096037355
M16_CV_CLOUD_HINGE_TS,10-<15,4044,2.3970224682622745,1.6274505354790572,0.1378285580563247,0.8553536972476374
M16_CV_CLOUD_HINGE_TS,15-<18,856,4.443969023405482,3.186020019896664,0.4883760115251766,0.648248011432958
M16_CV_CLOUD_HINGE_TS,18-<20,72,5.52994612539416,4.358308261328252,-0.5524213217925833,0.5038846657550199
M16_CV_CLOUD_HINGE_TS,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
