model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,2,719,2.2200261455971435,1.5070084840055633,-1.3438215577190542,0.8540792668090867
M0_OFFICIAL,5,718,2.3553510134795546,1.6302352367688022,-1.566342479108635,0.8538247931125211
M0_OFFICIAL,8,719,2.2818980741219583,1.8051809457579973,-0.46389109874826145,0.8205548812477439
M0_OFFICIAL,9,22,2.137992522948062,1.9207454545454548,-1.3828272727272728,0.8568507481371749
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M16_CV_CLOUD_HINGE_TS,2,719,2.36522616222243,1.57318630519284,-1.4159137294780755,0.8338903102340708
M16_CV_CLOUD_HINGE_TS,5,718,2.360701054941359,1.6331150906979641,-1.5692801057941288,0.8531553833128289
M16_CV_CLOUD_HINGE_TS,8,719,2.2818945646418856,1.8051770873619104,-0.46389032537484914,0.8205554477144401
M16_CV_CLOUD_HINGE_TS,9,22,2.1379924277431184,1.9207477351724607,-1.3828009378971327,0.856846540622717
M16_CV_CLOUD_HINGE_TS,11,722,3.225542878302282,1.9062837928037735,1.565533951455389,0.7469026286893983
M16_CV_CLOUD_HINGE_TS,12,22,3.247695984638788,1.9336257002726147,1.2568248950849152,0.6759022604579957
M16_CV_CLOUD_HINGE_TS,14,720,4.030171262136239,2.409146052773646,2.4089965953172485,0.6742493767617236
M16_CV_CLOUD_HINGE_TS,15,22,4.681203253175001,2.7226636641786195,2.7226636641786195,0.5240881460995338
M16_CV_CLOUD_HINGE_TS,17,717,3.336113144874169,2.1539649059707795,1.8995380722195239,0.7593756534661845
M16_CV_CLOUD_HINGE_TS,18,21,2.893884892286971,1.9337148956773753,1.899755257028329,0.7737802126120249
M16_CV_CLOUD_HINGE_TS,20,718,2.128267444748935,1.5710019019116925,0.21501888436491387,0.8301140621622544
M16_CV_CLOUD_HINGE_TS,23,712,2.206211793626055,1.7530875723830202,-1.0455241083645588,0.833562174496612
