model,year,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,2020,25,199,5.182119073570513,3.7923165829145726,1.276932663316583,0.4768964246543459
M0_OFFICIAL,2021,33,264,5.097851384559286,3.6838397727272727,1.196560227272727,0.5304997273605806
M0_OFFICIAL,2022,19,149,4.7959503444513425,3.506634899328859,1.0771409395973155,0.49881617158080493
M0_OFFICIAL,2023,22,173,4.976798818976559,3.681283815028902,1.3334942196531794,0.5839108848819053
M0_OFFICIAL,2024,24,190,5.456593539398965,4.108453684210526,1.1846263157894736,0.5131997362127826
M16_CV_CLOUD_HINGE_TS,2020,25,199,4.716660005493168,3.366913135757816,0.4032435801061013,0.5589867271283678
M16_CV_CLOUD_HINGE_TS,2021,33,264,4.5550912554153085,3.2671074125384747,0.41336001395151684,0.6078494384773154
M16_CV_CLOUD_HINGE_TS,2022,19,149,4.50245492399303,3.343383804224426,0.3607531353275261,0.5586238376978171
M16_CV_CLOUD_HINGE_TS,2023,22,173,4.6093243499638925,3.3753544088317637,0.48759255277432745,0.633904866513454
M16_CV_CLOUD_HINGE_TS,2024,24,190,4.943746193119131,3.5915480178808403,0.19130120775464324,0.5950743280920319
