solar_date,year,sunset_reduction_c,ts_capped_at_tmin,rise_monotonic,postpeak_to_midnight_monotonic,midnight_to_tmin_monotonic,below_tmin_c,above_tmax_c
2000-05-06,2000,18.376324774765067,YES,YES,YES,YES,0.0,0.0
2000-05-09,2000,2.9519333210936978,NO,YES,YES,YES,0.0,0.0
2000-05-17,2000,0.5371069629687497,NO,YES,YES,YES,0.0,0.0
2000-05-18,2000,0.44855213378400194,NO,YES,YES,YES,0.0,0.0
2000-05-22,2000,13.573201161226201,YES,YES,YES,YES,0.0,0.0
2000-06-06,2000,0.9395523394857612,NO,YES,YES,YES,0.0,0.0
2000-08-24,2000,6.987274245765818,NO,YES,YES,YES,0.0,0.0
2000-09-04,2000,0.0,NO,YES,YES,YES,0.0,0.0
2000-09-20,2000,1.9089389819114686,NO,YES,YES,YES,0.0,0.0
2000-09-26,2000,6.234790713695677,NO,YES,YES,YES,0.0,0.0
2001-05-14,2001,0.121069605286376,NO,YES,YES,YES,0.0,0.0
2001-05-25,2001,0.01850134308882545,NO,YES,YES,YES,0.0,0.0
2001-06-03,2001,15.473328658001545,YES,YES,YES,YES,0.0,0.0
2001-06-08,2001,13.298952840335195,YES,YES,YES,YES,0.0,0.0
2001-06-11,2001,1.1406540796359614,NO,YES,YES,YES,0.0,0.0
2001-06-12,2001,13.489930048605242,YES,YES,YES,YES,0.0,0.0
2001-06-20,2001,1.490137548761517,NO,YES,YES,YES,0.0,0.0
2001-08-12,2001,0.6681730055036752,NO,YES,YES,YES,0.0,0.0
2002-09-07,2002,14.532778743454546,NO,YES,YES,YES,0.0,0.0
2002-09-14,2002,0.2861441044612292,NO,YES,YES,YES,0.0,0.0
2003-06-23,2003,6.849071580695615,NO,YES,YES,YES,0.0,0.0
2004-05-03,2004,0.04237087723413069,NO,YES,YES,YES,0.0,0.0
2004-05-17,2004,0.0490467764117426,NO,YES,YES,YES,0.0,0.0
2004-07-05,2004,2.671943330418646,NO,YES,YES,YES,0.0,0.0
2004-07-08,2004,0.12589368018244684,NO,YES,YES,YES,0.0,0.0
2004-07-12,2004,0.473606403707727,NO,YES,YES,YES,0.0,0.0
2004-07-13,2004,0.7414957765772883,NO,YES,YES,YES,0.0,0.0
2004-07-14,2004,0.45840266915271854,NO,YES,YES,YES,0.0,0.0
2004-07-28,2004,0.1888363481745543,NO,YES,YES,YES,0.0,0.0
2004-08-23,2004,5.747492712152042,NO,YES,YES,YES,0.0,0.0
2004-09-07,2004,0.39532734107260836,NO,YES,YES,YES,0.0,0.0
2004-09-08,2004,6.951433890055537,NO,YES,YES,YES,0.0,0.0
2005-05-04,2005,0.0,NO,YES,YES,YES,0.0,0.0
2005-05-05,2005,0.26130313833746044,NO,YES,YES,YES,0.0,0.0
2005-05-30,2005,0.5401321587724119,NO,YES,YES,YES,0.0,0.0
2005-06-20,2005,1.5417553254472551,NO,YES,YES,YES,0.0,0.0
2005-06-25,2005,1.322856434455904,NO,YES,YES,YES,0.0,0.0
2005-07-22,2005,0.25873853175255235,NO,YES,YES,YES,0.0,0.0
2005-08-23,2005,1.6862774312770767,NO,YES,YES,YES,0.0,0.0
2005-09-07,2005,0.471412653348267,NO,YES,YES,YES,0.0,0.0
2006-05-18,2006,14.707755074300852,YES,YES,YES,YES,0.0,0.0
2006-05-20,2006,0.5596291339188006,NO,YES,YES,YES,0.0,0.0
2006-05-25,2006,0.06601902137652615,NO,YES,YES,YES,0.0,0.0
2006-06-15,2006,10.10547167288516,NO,YES,YES,YES,0.0,0.0
2006-07-07,2006,10.155799704640181,NO,YES,YES,YES,0.0,0.0
2006-07-30,2006,0.10299388858071978,NO,YES,YES,YES,0.0,0.0
2006-07-31,2006,0.6982108079110532,NO,YES,YES,YES,0.0,0.0
2006-08-17,2006,10.07549090664981,NO,YES,YES,YES,0.0,0.0
2006-09-13,2006,0.03204312373134499,NO,YES,YES,YES,0.0,0.0
2006-09-24,2006,0.05682521446581035,NO,YES,YES,YES,0.0,0.0
2007-05-02,2007,0.0,NO,YES,YES,YES,0.0,0.0
2007-05-06,2007,0.027629111679889462,NO,YES,YES,YES,0.0,0.0
2007-05-07,2007,6.062889178208593,NO,YES,YES,YES,0.0,0.0
2007-05-23,2007,0.9323286120697247,NO,YES,YES,YES,0.0,0.0
