date,year,dtr,dtrplus,tmax,tmin,srad,clear_srad,clearness,daily_rmse,daily_bias,afternoon_rmse,afternoon_bias
2000-05-01,2000,9.6,0,21.8,12.2,25.1,26.58,0.9443190368698271,0.6458,-0.0228,0.1974,0.0009
2000-05-02,2000,10.9,0,25.0,14.1,18.97,26.39,0.7188328912466843,4.336,0.0225,4.8219,4.7221
2000-05-03,2000,8.6,0,21.7,13.1,15.46,26.07,0.5930187955504411,1.2255,-0.6941,0.6359,0.4671
2000-05-04,2000,13.0,0,25.1,12.1,23.88,27.0,0.8844444444444444,1.9197,-1.2735,0.1007,-0.0028
2000-05-05,2000,11.6,0,29.5,17.9,27.34,28.34,0.9647141848976711,2.9235,0.9899,0.7116,0.6863
2000-05-06,2000,24.2,9.399999999999999,27.1,2.9,7.43,26.24,0.28315548780487804,12.3934,8.743,18.403,18.3167
2000-05-07,2000,13.1,0,17.0,3.9,26.3,27.85,0.9443447037701974,2.2726,-0.8996,0.2219,0.1
2000-05-08,2000,13.0,0,21.2,8.2,18.96,27.67,0.6852186483556197,1.6423,-0.5891,1.4596,1.4591
2000-05-09,2000,16.2,1.3999999999999986,27.6,11.4,22.18,28.31,0.7834687389614977,1.1348,-0.4542,0.7713,0.7681
2000-05-10,2000,11.6,0,25.2,13.6,27.93,28.75,0.9714782608695652,0.9777,-0.2539,0.2539,-0.0504
2000-05-11,2000,12.5,0,28.0,15.5,18.23,28.39,0.6421275096865093,2.8152,1.0637,0.7365,0.6481
2000-05-12,2000,11.9,0,25.2,13.3,15.91,28.78,0.5528144544822794,5.103,3.3518,8.5877,8.487
2000-05-13,2000,9.1,0,20.0,10.9,23.91,29.03,0.8236307268343093,1.3573,-0.0904,0.3108,0.1069
2000-05-14,2000,9.3,0,20.6,11.3,16.32,28.5,0.5726315789473684,2.2203,0.4688,0.3169,0.0972
2000-05-15,2000,9.3,0,21.4,12.1,27.65,29.52,0.9366531165311652,0.6123,0.0631,0.7098,0.4494
2000-05-16,2000,13.0,0,26.1,13.1,28.02,29.13,0.9618949536560247,1.3503,-0.8449,0.5217,0.0834
2000-05-17,2000,15.3,0.5,30.5,15.2,26.75,29.04,0.9211432506887053,1.4657,-0.9294,0.499,0.4013
2000-05-18,2000,15.7,0.8999999999999986,34.2,18.5,28.98,29.73,0.9747729566094854,1.5231,-0.7507,0.7151,0.6816
2000-05-19,2000,10.0,0,31.9,21.9,26.91,29.01,0.9276111685625645,2.2357,1.5871,3.4222,3.4174
2000-05-20,2000,9.2,0,29.5,20.3,20.85,29.16,0.7150205761316872,0.8442,0.0186,0.3534,0.2661
2000-05-21,2000,13.8,0,33.4,19.6,23.77,30.09,0.7899634430043203,1.6277,-0.3883,0.6633,0.1524
2000-05-22,2000,18.3,3.5,32.3,14.0,12.69,29.11,0.4359326691858468,8.621,5.8335,11.8494,11.8467
2000-05-23,2000,5.7,0,18.5,12.8,6.42,29.23,0.2196373588778652,0.8901,-0.063,0.8543,0.6733
2000-05-24,2000,10.8,0,23.1,12.3,28.33,31.06,0.912105602060528,1.0308,-0.7052,0.566,0.0333
2000-05-25,2000,13.4,0,27.1,13.7,26.88,29.85,0.900502512562814,1.7887,-1.0633,0.1106,-0.012
2000-05-26,2000,7.4,0,25.7,18.3,17.48,29.57,0.5911396685830234,2.4926,2.0541,3.082,3.0809
2000-05-27,2000,9.3,0,25.3,16.0,19.64,29.67,0.661948095719582,3.253,2.1533,1.2777,1.2754
2000-05-28,2000,12.3,0,22.7,10.4,26.87,31.32,0.8579182630906769,1.6018,0.448,2.0937,1.959
2000-05-29,2000,12.8,0,25.1,12.3,21.74,30.72,0.7076822916666666,2.1155,-1.0233,1.537,1.3337
2000-05-30,2000,8.7,0,25.6,16.9,18.42,30.66,0.6007827788649707,0.6631,-0.254,0.6784,0.6652
2000-05-31,2000,10.9,0,27.7,16.8,24.72,31.64,0.7812895069532237,0.9264,-0.4277,0.5717,0.1449
2000-06-01,2000,10.5,0,27.1,16.6,20.67,30.46,0.6785948785292187,2.8885,1.6431,3.0275,3.0194
2000-06-02,2000,8.9,0,22.7,13.8,14.57,31.06,0.4690920798454604,4.1431,0.8365,7.3201,7.2598
2000-06-03,2000,7.5,0,19.9,12.4,21.66,30.57,0.7085377821393523,1.3275,0.3206,1.0503,0.2884
2000-06-04,2000,10.0,0,19.8,9.8,7.97,31.04,0.25676546391752575,3.0203,1.881,3.416,3.4032
2000-06-05,2000,8.0,0,20.2,12.2,19.73,31.33,0.6297478455154805,0.4396,-0.2126,0.4639,0.1643
2000-06-06,2000,16.1,1.3000000000000007,28.4,12.3,29.56,31.11,0.9501767920282868,1.7631,-0.8426,0.5886,0.2762
2000-06-07,2000,14.8,0,31.2,16.4,30.16,31.99,0.9427946233197875,1.3518,-0.8316,0.563,0.3997
2000-06-08,2000,14.5,0,33.9,19.4,30.6,31.85,0.9607535321821036,1.9514,-0.96,1.1558,0.4188
2000-06-09,2000,9.8,0,33.2,23.4,14.94,29.77,0.5018474974806852,4.8494,3.9997,5.8151,5.7237
2000-06-10,2000,10.0,0,25.7,15.7,10.63,30.25,0.35140495867768595,5.0731,3.3854,8.1077,8.0648
2000-06-11,2000,6.7,0,17.6,10.9,6.18,30.21,0.2045680238331678,3.7045,2.4174,5.8146,5.7927
2000-06-12,2000,7.4,0,15.8,8.4,8.78,30.17,0.29101756711965526,1.6706,-0.5637,0.591,0.0066
2000-06-13,2000,12.9,0,24.2,11.3,29.37,31.95,0.9192488262910798,1.6071,-0.9357,0.4939,0.3164
2000-06-14,2000,11.0,0,26.4,15.4,30.2,31.32,0.9642401021711366,0.8192,-0.3949,0.3345,0.0688
2000-06-15,2000,7.9,0,25.8,17.9,28.89,31.98,0.9033771106941839,0.8884,-0.2854,0.4137,-0.0162
2000-06-16,2000,10.7,0,29.0,18.3,30.28,31.54,0.9600507292327204,0.9848,-0.4128,0.4596,0.0379
2000-06-17,2000,8.1,0,28.6,20.5,24.53,31.56,0.7772496831432193,0.7845,0.4335,1.4777,1.4756
2000-06-18,2000,9.7,0,26.4,16.7,12.94,30.19,0.42861874792977805,3.6269,1.7751,3.9366,3.8431
2000-06-19,2000,11.4,0,27.9,16.5,31.08,32.32,0.9616336633663366,1.6225,-0.5309,0.4917,0.3558
2000-06-20,2000,10.2,0,29.6,19.4,21.08,31.07,0.6784679755391052,0.9639,-0.1119,1.1265,1.1196
2000-06-21,2000,9.2,0,29.2,20.0,24.16,31.22,0.7738629083920564,0.7502,-0.2255,0.6463,0.6227
2000-06-22,2000,7.7,0,28.0,20.3,17.18,31.1,0.5524115755627009,1.2521,0.0911,0.4981,0.4014
2000-06-23,2000,10.1,0,27.1,17.0,13.44,31.05,0.4328502415458937,1.6937,0.309,2.1927,2.0282
2000-06-24,2000,11.8,0,29.1,17.3,28.84,31.92,0.9035087719298245,1.3566,-0.6236,0.7281,0.1915
2000-06-25,2000,10.0,0,29.5,19.5,23.5,31.21,0.7529637936558795,0.9504,-0.4833,0.7054,0.5353
2000-06-26,2000,12.9,0,33.4,20.5,26.95,31.1,0.8665594855305465,1.4924,-0.249,1.7612,1.687
2000-06-27,2000,12.3,0,34.4,22.1,27.9,30.26,0.9220092531394579,0.947,-0.4788,0.5693,0.5687
2000-06-28,2000,13.4,0,35.8,22.4,29.59,31.04,0.9532860824742269,0.8849,-0.1913,0.99,0.9632
2000-06-29,2000,9.6,0,34.0,24.4,12.39,30.01,0.41286237920693103,4.2873,3.3621,5.6589,5.6585
2000-06-30,2000,9.9,0,27.4,17.5,14.21,30.5,0.4659016393442623,2.6984,0.5296,1.2768,0.7937
2000-07-01,2000,10.3,0,29.8,19.5,24.4,29.61,0.8240459304289092,0.7615,0.0617,1.0452,0.9736
2000-07-02,2000,10.3,0,30.3,20.0,25.56,30.09,0.8494516450648055,3.9434,2.1587,1.8886,1.4739
2000-07-03,2000,11.3,0,26.4,15.1,17.88,29.91,0.5977933801404213,3.2883,2.3417,4.4688,4.3733
2000-07-04,2000,9.1,0,23.7,14.6,25.98,30.29,0.8577088147903599,1.0644,-0.3257,0.3494,0.2356
2000-07-05,2000,10.8,0,27.1,16.3,28.04,30.46,0.9205515430072225,1.0189,-0.4167,0.5641,0.349
2000-07-06,2000,12.9,0,30.8,17.9,30.28,30.7,0.9863192182410424,0.6332,-0.2467,0.1347,0.0919
2000-07-07,2000,14.1,0,33.4,19.3,27.85,30.23,0.9212702613298048,1.1325,-0.5877,0.3191,0.0805
2000-07-08,2000,10.6,0,34.4,23.8,23.25,29.86,0.7786336235766912,0.6153,0.1803,0.5669,0.4589
2000-07-09,2000,12.0,0,36.0,24.0,31.18,30.71,1.0153044610875936,0.5817,-0.2821,0.379,0.1372
2000-07-10,2000,14.7,0,38.8,24.1,31.14,30.7,1.0143322475570034,0.8915,-0.0563,0.3537,0.2987
2000-07-11,2000,11.7,0,37.3,25.6,27.03,28.12,0.9612375533428165,1.564,0.8205,2.7863,2.7515
2000-07-12,2000,10.5,0,33.7,23.2,26.29,27.71,0.9487549621075424,1.927,-0.2402,1.7706,1.7624
2000-07-13,2000,9.4,0,30.5,21.1,18.74,29.58,0.6335361730899256,2.0118,1.3317,3.4673,3.3681
2000-07-14,2000,11.6,0,32.1,20.5,22.81,26.9,0.8479553903345725,0.8655,-0.3071,0.4912,0.3045
2000-07-15,2000,10.2,0,31.2,21.0,9.21,29.36,0.3136920980926431,5.7553,3.4179,8.6594,8.6255
2000-07-16,2000,9.7,0,28.2,18.5,25.8,29.17,0.8844703462461433,1.4032,-0.0401,0.8228,0.8003
2000-07-17,2000,6.1,0,26.7,20.6,8.25,29.26,0.2819548872180451,2.9665,2.1365,4.2962,4.2851
2000-07-18,2000,6.6,0,22.4,15.8,18.14,29.2,0.6212328767123289,1.6606,0.396,1.2696,0.8586
2000-07-19,2000,9.3,0,26.9,17.6,23.74,28.67,0.8280432507847924,1.0241,0.0095,0.7795,0.4677
2000-07-20,2000,9.4,0,29.8,20.4,28.5,28.92,0.9854771784232365,1.1372,-0.245,0.3012,0.1113
2000-07-21,2000,9.6,0,31.5,21.9,22.06,29.05,0.759380378657487,0.9939,-0.3859,0.6002,0.5495
2000-07-22,2000,8.4,0,30.4,22.0,15.75,28.8,0.546875,1.8465,0.9505,3.0149,2.9607
2000-07-23,2000,6.8,0,26.0,19.2,14.86,28.7,0.5177700348432056,1.6949,0.0266,1.9251,1.7933
