response,model,features,coefficients,val_rmse,val_mae,val_r2,highdtr_rmse,highdtr_mae,highdtr_r2
daily_rmse,DTR,dtrplus,1.733433;1.612554,1.5809,1.0984,0.241,2.6093,2.0581,-0.1292
daily_rmse,DTR+SRAD,dtrplus+srad_c,1.745215;1.426521;-0.122421,1.2932,0.9433,0.4921,2.0742,1.6569,0.2864
daily_rmse,DTR+CLEAR,dtrplus+clear_c,1.749320;1.361704;-4.194418,1.217,0.8602,0.5502,1.9331,1.5412,0.3802
daily_rmse,DTR+SRAD+INT,dtrplus+srad_c+dtr_srad,1.753007;1.172631;-0.119981;-0.026830,1.249,0.9112,0.5263,1.9042,1.4718,0.3986
daily_rmse,DTR+CLEAR+INT,dtrplus+clear_c+dtr_clear,1.755483;1.151330;-4.139316;-0.589031,1.1787,0.8382,0.5781,1.7842,1.4075,0.472
daily_rmse,FULL,dtrplus+srad_c+clear_c+dtr_srad+dtr_clear,1.755022;1.201460;-0.021001;-3.588172;-0.083066;1.744828,1.1927,0.8356,0.568,1.8558,1.3977,0.4287
afternoon_rmse,DTR,dtrplus,1.775172;2.399805,2.9372,2.108,0.1172,5.0723,4.2187,-0.1127
afternoon_rmse,DTR+SRAD,dtrplus+srad_c,1.795516;2.062469;-0.222197,2.3203,1.6442,0.4491,4.0123,3.2734,0.3038
afternoon_rmse,DTR+CLEAR,dtrplus+clear_c,1.801768;1.959056;-7.376547,2.1993,1.4682,0.505,3.8347,3.1399,0.364
afternoon_rmse,DTR+SRAD+INT,dtrplus+srad_c+dtr_srad,1.813766;1.469508;-0.216489;-0.062661,2.1805,1.5749,0.5135,3.4985,2.8589,0.4707
afternoon_rmse,DTR+CLEAR+INT,dtrplus+clear_c+dtr_clear,1.817355;1.428597;-7.237437;-1.485230,2.0766,1.4148,0.5587,3.3873,2.7863,0.5038
afternoon_rmse,FULL,dtrplus+srad_c+clear_c+dtr_srad+dtr_clear,1.816171;1.541902;-0.060177;-5.659703;-0.177801;3.525080,2.0792,1.4117,0.5576,3.4451,2.7313,0.4867
afternoon_bias,DTR,dtrplus,1.624584;2.399619,2.9979,2.1581,0.1044,5.2142,4.3654,-0.1078
afternoon_bias,DTR+SRAD,dtrplus+srad_c,1.645356;2.055205;-0.226859,2.351,1.6519,0.4492,4.1089,3.3715,0.3121
afternoon_bias,DTR+CLEAR,dtrplus+clear_c,1.651330;1.956396;-7.417948,2.2548,1.517,0.4934,3.9567,3.2737,0.3621
afternoon_bias,DTR+SRAD+INT,dtrplus+srad_c+dtr_srad,1.664592;1.430199;-0.220843;-0.066048,2.1988,1.5767,0.5182,3.5541,2.9188,0.4853
afternoon_bias,DTR+CLEAR+INT,dtrplus+clear_c+dtr_clear,1.668109;1.385363;-7.268197;-1.598832,2.1198,1.4588,0.5522,3.4671,2.8888,0.5102
afternoon_bias,FULL,dtrplus+srad_c+clear_c+dtr_srad+dtr_clear,1.666751;1.505676;-0.072640;-5.364539;-0.181955;3.539207,2.1131,1.4339,0.555,3.5134,2.8085,0.497
