gamma,cal_all_rmse,cal_high_rmse,objective
0.0,2.378185,4.53268,3.455432
0.002,2.378002,4.531259,3.45463
0.004,2.37782,4.52985,3.453835
0.006,2.377641,4.528454,3.453047
0.008,2.377462,4.527069,3.452266
0.01,2.377286,4.525696,3.451491
0.012,2.37711,4.524333,3.450721
0.014,2.376936,4.52298,3.449958
0.016,2.376763,4.521637,3.4492
0.018,2.376592,4.520303,3.448447
0.02,2.376421,4.518978,3.4477
0.022,2.376252,4.517663,3.446957
0.024,2.376084,4.516355,3.44622
0.026,2.375917,4.515056,3.445487
0.028,2.375751,4.513764,3.444758
0.03,2.375587,4.51248,3.444033
0.032,2.375423,4.511204,3.443313
0.034,2.37526,4.509935,3.442597
0.036,2.375098,4.508673,3.441885
0.038,2.374937,4.507417,3.441177
0.04,2.374776,4.506168,3.440472
0.042,2.374617,4.504926,3.439772
0.044,2.374459,4.50369,3.439074
0.046,2.374301,4.502461,3.438381
0.048,2.374144,4.501237,3.43769
0.05,2.373988,4.500019,3.437004
0.052,2.373833,4.498807,3.43632
0.054,2.373678,4.497601,3.43564
0.056,2.373524,4.496401,3.434963
0.058,2.373371,4.495206,3.434289
0.06,2.373219,4.494016,3.433618
0.062,2.373067,4.492832,3.43295
0.064,2.372917,4.491653,3.432285
0.066,2.372766,4.49048,3.431623
0.068,2.372617,4.489311,3.430964
0.07,2.372468,4.488148,3.430308
0.072,2.37232,4.48699,3.429655
0.074,2.372173,4.485836,3.429004
0.076,2.372026,4.484688,3.428357
0.078,2.37188,4.483544,3.427712
0.08,2.371734,4.482405,3.42707
0.082,2.371589,4.481271,3.42643
0.084,2.371445,4.480142,3.425793
0.086,2.371301,4.479017,3.425159
0.088,2.371158,4.477898,3.424528
0.09,2.371016,4.476782,3.423899
0.092,2.370874,4.475671,3.423273
0.094,2.370733,4.474565,3.422649
0.096,2.370592,4.473463,3.422028
0.098,2.370452,4.472366,3.421409
0.1,2.370313,4.471273,3.420793
0.102,2.370174,4.470185,3.420179
0.104,2.370036,4.469101,3.419568
0.106,2.369898,4.468021,3.41896
0.108,2.369761,4.466945,3.418353
0.11,2.369625,4.465874,3.41775
0.112,2.369489,4.464807,3.417148
0.114,2.369353,4.463745,3.416549
0.116,2.369219,4.462686,3.415953
0.118,2.369084,4.461632,3.415358
0.12,2.368951,4.460582,3.414766
0.122,2.368818,4.459536,3.414177
0.124,2.368685,4.458494,3.41359
0.126,2.368553,4.457457,3.413005
0.128,2.368421,4.456423,3.412422
0.13,2.368291,4.455393,3.411842
0.132,2.36816,4.454368,3.411264
0.134,2.36803,4.453346,3.410688
0.136,2.367901,4.452329,3.410115
0.138,2.367772,4.451315,3.409544
0.14,2.367644,4.450306,3.408975
0.142,2.367516,4.4493,3.408408
0.144,2.367389,4.448298,3.407844
0.146,2.367262,4.447301,3.407281
0.148,2.367136,4.446307,3.406721
0.15,2.36701,4.445317,3.406163
0.152,2.366885,4.44433,3.405608
0.154,2.36676,4.443348,3.405054
0.156,2.366636,4.442369,3.404502
0.158,2.366512,4.441394,3.403953
0.16,2.366389,4.440423,3.403406
0.162,2.366266,4.439456,3.402861
0.164,2.366144,4.438492,3.402318
0.166,2.366022,4.437532,3.401777
0.168,2.365901,4.436576,3.401239
0.17,2.36578,4.435623,3.400702
0.172,2.36566,4.434675,3.400167
0.174,2.36554,4.433729,3.399635
0.176,2.365421,4.432788,3.399104
0.178,2.365302,4.43185,3.398576
0.18,2.365184,4.430915,3.39805
0.182,2.365066,4.429984,3.397525
0.184,2.364948,4.429057,3.397003
0.186,2.364831,4.428133,3.396482
0.188,2.364715,4.427213,3.395964
0.19,2.364599,4.426296,3.395448
0.192,2.364483,4.425383,3.394933
0.194,2.364368,4.424473,3.394421
0.196,2.364254,4.423567,3.39391
0.198,2.364139,4.422664,3.393402
0.2,2.364026,4.421764,3.392895
0.202,2.363912,4.420868,3.39239
0.204,2.3638,4.419976,3.391888
0.206,2.363687,4.419086,3.391387
0.208,2.363575,4.4182,3.390888
0.21,2.363464,4.417318,3.390391
0.212,2.363352,4.416438,3.389895
0.214,2.363242,4.415562,3.389402
