gamma,cal_all_rmse,cal_high_rmse,objective
0.0,2.378185,4.53268,3.455432
0.01,2.377286,4.525696,3.451491
0.02,2.376421,4.518978,3.4477
0.03,2.375587,4.51248,3.444033
0.04,2.374776,4.506168,3.440472
0.05,2.373988,4.500019,3.437004
0.06,2.373219,4.494016,3.433618
0.07,2.372468,4.488148,3.430308
0.08,2.371734,4.482405,3.42707
0.09,2.371016,4.476782,3.423899
0.1,2.370313,4.471273,3.420793
0.11,2.369625,4.465874,3.41775
0.12,2.368951,4.460582,3.414766
0.13,2.368291,4.455393,3.411842
0.14,2.367644,4.450306,3.408975
0.15,2.36701,4.445317,3.406163
0.16,2.366389,4.440423,3.403406
0.17,2.36578,4.435623,3.400702
0.18,2.365184,4.430915,3.39805
0.19,2.364599,4.426296,3.395448
0.2,2.364026,4.421764,3.392895
0.21,2.363464,4.417318,3.390391
0.22,2.362912,4.412954,3.387933
0.23,2.362372,4.408671,3.385522
0.24,2.361842,4.404468,3.383155
0.25,2.361322,4.400341,3.380831
0.26,2.360811,4.39629,3.378551
0.27,2.360311,4.392313,3.376312
0.28,2.35982,4.388407,3.374113
0.29,2.359337,4.384571,3.371954
0.3,2.358864,4.380803,3.369834
0.31,2.3584,4.377102,3.367751
0.32,2.357944,4.373466,3.365705
0.33,2.357496,4.369893,3.363694
0.34,2.357056,4.366382,3.361719
0.35,2.356624,4.362932,3.359778
0.36,2.3562,4.359541,3.35787
0.37,2.355783,4.356207,3.355995
0.38,2.355373,4.35293,3.354151
0.39,2.354971,4.349707,3.352339
0.4,2.354575,4.346539,3.350557
0.41,2.354186,4.343423,3.348804
0.42,2.353804,4.340358,3.347081
0.43,2.353428,4.337343,3.345386
0.44,2.353059,4.334377,3.343718
0.45,2.352696,4.331459,3.342077
0.46,2.352338,4.328587,3.340463
0.47,2.351987,4.325762,3.338874
0.48,2.351641,4.322981,3.337311
0.49,2.351301,4.320244,3.335773
0.5,2.350967,4.31755,3.334258
0.51,2.350637,4.314898,3.332768
0.52,2.350313,4.312287,3.3313
0.53,2.349994,4.309716,3.329855
0.54,2.349681,4.307184,3.328432
0.55,2.349372,4.304691,3.327031
0.56,2.349068,4.302235,3.325651
0.57,2.348768,4.299816,3.324292
0.58,2.348473,4.297434,3.322954
0.59,2.348183,4.295087,3.321635
0.6,2.347897,4.292774,3.320336
0.61,2.347616,4.290496,3.319056
0.62,2.347338,4.288251,3.317795
0.63,2.347065,4.286039,3.316552
0.64,2.346796,4.283858,3.315327
0.65,2.346531,4.281709,3.31412
0.66,2.34627,4.279591,3.31293
0.67,2.346012,4.277503,3.311758
0.68,2.345758,4.275445,3.310602
0.69,2.345508,4.273416,3.309462
0.7,2.345262,4.271415,3.308339
0.71,2.345019,4.269443,3.307231
0.72,2.34478,4.267498,3.306139
0.73,2.344544,4.265579,3.305062
0.74,2.344311,4.263688,3.303999
0.75,2.344082,4.261822,3.302952
0.76,2.343856,4.259982,3.301919
0.77,2.343633,4.258167,3.3009
0.78,2.343413,4.256376,3.299894
0.79,2.343196,4.25461,3.298903
0.8,2.342982,4.252867,3.297925
0.81,2.342771,4.251148,3.29696
0.82,2.342563,4.249452,3.296007
0.83,2.342358,4.247778,3.295068
0.84,2.342155,4.246127,3.294141
0.85,2.341956,4.244497,3.293226
0.86,2.341759,4.242888,3.292323
0.87,2.341564,4.241301,3.291433
0.88,2.341372,4.239734,3.290553
0.89,2.341183,4.238188,3.289686
0.9,2.340996,4.236662,3.288829
0.91,2.340812,4.235155,3.287984
0.92,2.34063,4.233668,3.287149
0.93,2.340451,4.232199,3.286325
0.94,2.340273,4.23075,3.285512
0.95,2.340098,4.229319,3.284709
0.96,2.339926,4.227906,3.283916
0.97,2.339755,4.226511,3.283133
0.98,2.339587,4.225133,3.28236
0.99,2.339421,4.223773,3.281597
1.0,2.339257,4.222429,3.280843
1.01,2.339095,4.221103,3.280099
1.02,2.338936,4.219793,3.279364
1.03,2.338778,4.218499,3.278638
1.04,2.338622,4.217221,3.277921
1.05,2.338468,4.215959,3.277213
1.06,2.338316,4.214712,3.276514
1.07,2.338166,4.213481,3.275823
1.08,2.338018,4.212264,3.275141
1.09,2.337872,4.211063,3.274467
1.1,2.337727,4.209876,3.273801
1.11,2.337584,4.208703,3.273144
1.12,2.337443,4.207544,3.272494
1.13,2.337304,4.2064,3.271852
1.14,2.337166,4.205269,3.271218
1.15,2.337031,4.204152,3.270591
1.16,2.336896,4.203048,3.269972
1.17,2.336764,4.201957,3.26936
1.18,2.336633,4.200879,3.268756
1.19,2.336503,4.199814,3.268159
1.2,2.336375,4.198761,3.267568
1.21,2.336249,4.197721,3.266985
1.22,2.336124,4.196693,3.266409
1.23,2.336001,4.195677,3.265839
1.24,2.335879,4.194674,3.265276
1.25,2.335758,4.193681,3.26472
1.26,2.335639,4.192701,3.26417
1.27,2.335522,4.191731,3.263627
1.28,2.335405,4.190773,3.263089
1.29,2.335291,4.189827,3.262559
1.3,2.335177,4.188891,3.262034
1.31,2.335065,4.187965,3.261515
1.32,2.334954,4.187051,3.261002
1.33,2.334844,4.186147,3.260496
1.34,2.334736,4.185253,3.259995
1.35,2.334629,4.18437,3.259499
1.36,2.334523,4.183496,3.25901
1.37,2.334419,4.182633,3.258526
1.38,2.334315,4.181779,3.258047
1.39,2.334213,4.180935,3.257574
1.4,2.334112,4.180101,3.257106
1.41,2.334012,4.179276,3.256644
1.42,2.333913,4.17846,3.256187
1.43,2.333816,4.177654,3.255735
1.44,2.333719,4.176857,3.255288
1.45,2.333624,4.176068,3.254846
1.46,2.33353,4.175289,3.254409
1.47,2.333436,4.174518,3.253977
1.48,2.333344,4.173756,3.25355
1.49,2.333253,4.173002,3.253128
1.5,2.333163,4.172257,3.25271
1.51,2.333074,4.17152,3.252297
1.52,2.332986,4.170791,3.251888
1.53,2.332899,4.17007,3.251484
1.54,2.332813,4.169357,3.251085
1.55,2.332727,4.168652,3.25069
1.56,2.332643,4.167955,3.250299
1.57,2.33256,4.167266,3.249913
1.58,2.332478,4.166584,3.249531
1.59,2.332396,4.16591,3.249153
1.6,2.332316,4.165243,3.248779
1.61,2.332236,4.164583,3.24841
1.62,2.332157,4.163931,3.248044
1.63,2.332079,4.163286,3.247683
1.64,2.332002,4.162648,3.247325
1.65,2.331926,4.162016,3.246971
1.66,2.331851,4.161392,3.246621
1.67,2.331776,4.160775,3.246276
1.68,2.331703,4.160164,3.245933
1.69,2.33163,4.15956,3.245595
1.7,2.331558,4.158962,3.24526
