objective,rank,A,B,C,cal_rmse_all,cal_rmse_dtr_ge15,balanced_ratio_objective
ALL,1,1.0,0.75,1.25,2.3732,5.5601,0.971215
ALL,2,1.0,1.0,1.25,2.3739,5.5631,0.97161
ALL,3,1.0,0.5,1.0,2.3741,5.5433,0.969932
ALL,4,0.75,0.75,1.5,2.3743,5.5204,0.967983
ALL,5,1.25,1.0,1.0,2.3747,5.5948,0.974539
ALL,6,1.25,0.75,1.0,2.3755,5.5936,0.974602
ALL,7,0.75,0.5,1.5,2.3757,5.5183,0.968074
ALL,8,1.0,0.5,1.25,2.3767,5.5604,0.971948
ALL,9,0.75,1.0,1.5,2.3768,5.5257,0.968954
ALL,10,1.0,0.75,1.0,2.3772,5.5485,0.971017
ALL,11,1.25,1.25,1.0,2.3779,5.5992,0.97559
ALL,12,0.5,0.5,1.75,2.3782,5.4681,0.964218
ALL,13,1.0,1.25,1.25,2.3784,5.5691,0.973067
ALL,14,0.75,0.5,1.25,2.3786,5.5123,0.968147
ALL,15,0.5,0.75,1.75,2.3792,5.4732,0.964867
ALL,16,1.25,0.5,1.0,2.3806,5.5959,0.975845
ALL,17,1.25,0.5,0.75,2.3812,5.5847,0.974996
ALL,18,1.25,0.75,0.75,2.3827,5.5879,0.97559
ALL,19,0.75,1.25,1.5,2.383,5.5338,0.970919
ALL,20,0.75,0.75,1.25,2.3834,5.5196,0.969783
ALL,21,1.0,1.0,1.0,2.3837,5.5565,0.973052
ALL,22,0.5,1.0,1.75,2.3838,5.481,0.9665
ALL,23,1.5,1.0,0.75,2.3848,5.6347,0.980097
ALL,24,1.25,1.5,1.0,2.3849,5.6065,0.977665
ALL,25,1.0,1.25,1.5,2.3858,5.5782,0.975373
ALL,26,1.0,1.5,1.25,2.3865,5.578,0.975497
ALL,27,1.25,1.25,1.25,2.3866,5.6153,0.97876
ALL,28,0.75,1.0,1.75,2.3867,5.529,0.971261
ALL,29,1.5,0.75,0.75,2.3868,5.6352,0.98054
ALL,30,0.75,1.25,1.75,2.387,5.5324,0.971627
HIGH,1,0.0,0.5,2.25,2.4326,5.4034,0.969722
HIGH,2,0.0,0.75,2.25,2.4385,5.414,0.971861
HIGH,3,0.0,0.5,2.0,2.4465,5.415,0.97358
HIGH,4,0.0,1.0,2.25,2.4473,5.4269,0.974796
HIGH,5,0.25,0.5,2.0,2.3958,5.4285,0.964379
HIGH,6,0.0,0.75,2.0,2.4576,5.4298,0.977153
HIGH,7,0.0,0.5,2.5,2.468,5.4304,0.979346
HIGH,8,0.0,0.75,2.5,2.4672,5.4353,0.97961
HIGH,9,0.25,0.75,2.0,2.3993,5.4364,0.965778
HIGH,10,0.25,0.5,1.75,2.4079,5.4386,0.967742
HIGH,11,0.0,1.25,2.25,2.4588,5.4419,0.978458
HIGH,12,0.0,1.0,2.5,2.47,5.4431,0.980865
HIGH,13,0.0,1.0,2.0,2.4709,5.4464,0.981332
HIGH,14,0.25,1.0,2.0,2.4061,5.4468,0.968072
HIGH,15,0.25,0.75,1.75,2.4171,5.451,0.970698
HIGH,16,0.25,0.5,2.25,2.4278,5.4516,0.972941
HIGH,17,0.25,0.75,2.25,2.4243,5.4535,0.972393
HIGH,18,0.0,1.25,2.5,2.4762,5.4537,0.983044
HIGH,19,0.0,1.5,2.25,2.4727,5.4586,0.982765
HIGH,20,0.25,1.0,2.25,2.4247,5.4587,0.972931
HIGH,21,0.25,1.25,2.0,2.4159,5.4596,0.971192
HIGH,22,0.0,1.25,2.0,2.4862,5.4644,0.986049
HIGH,23,0.0,0.5,1.75,2.5087,5.4647,0.99068
HIGH,24,0.25,1.0,1.75,2.4288,5.4654,0.97436
HIGH,25,0.0,1.5,2.5,2.4854,5.4666,0.986064
HIGH,26,0.25,1.25,2.25,2.4288,5.4668,0.974491
HIGH,27,0.5,0.5,1.75,2.3782,5.4681,0.964218
HIGH,28,0.5,0.75,1.75,2.3792,5.4732,0.964867
HIGH,29,0.25,1.5,2.0,2.4284,5.4744,0.975053
HIGH,30,0.0,1.75,2.25,2.4886,5.4769,0.987626
BAL,1,0.5,0.5,1.75,2.3782,5.4681,0.964218
BAL,2,0.25,0.5,2.0,2.3958,5.4285,0.964379
BAL,3,0.5,0.75,1.75,2.3792,5.4732,0.964867
BAL,4,0.25,0.75,2.0,2.3993,5.4364,0.965778
BAL,5,0.5,1.0,1.75,2.3838,5.481,0.9665
BAL,6,0.5,0.5,1.5,2.3895,5.4776,0.967356
BAL,7,0.25,0.5,1.75,2.4079,5.4386,0.967742
BAL,8,0.75,0.75,1.5,2.3743,5.5204,0.967983
BAL,9,0.25,1.0,2.0,2.4061,5.4468,0.968072
BAL,10,0.75,0.5,1.5,2.3757,5.5183,0.968074
BAL,11,0.75,0.5,1.25,2.3786,5.5123,0.968147
BAL,12,0.75,1.0,1.5,2.3768,5.5257,0.968954
BAL,13,0.5,1.25,1.75,2.3918,5.4915,0.969047
BAL,14,0.5,0.75,1.5,2.3964,5.4874,0.969631
BAL,15,0.0,0.5,2.25,2.4326,5.4034,0.969722
BAL,16,0.75,0.75,1.25,2.3834,5.5196,0.969783
BAL,17,1.0,0.5,1.0,2.3741,5.5433,0.969932
BAL,18,0.5,1.0,2.0,2.3981,5.4886,0.970088
BAL,19,0.5,0.75,2.0,2.4,5.486,0.970243
BAL,20,0.25,0.75,1.75,2.4171,5.451,0.970698
BAL,21,0.75,1.25,1.5,2.383,5.5338,0.970919
BAL,22,1.0,0.75,1.0,2.3772,5.5485,0.971017
BAL,23,0.5,1.25,2.0,2.4003,5.4943,0.971039
BAL,24,0.25,1.25,2.0,2.4159,5.4596,0.971192
BAL,25,1.0,0.75,1.25,2.3732,5.5601,0.971215
BAL,26,0.75,1.0,1.75,2.3867,5.529,0.971261
