parameter,value,A,B,C,cal_rmse_all,cal_rmse_dtr_ge15
A,0.0,0.0,2.2,1.0,3.0228,5.8992
A,0.25,0.25,2.2,1.0,2.7947,5.7524
A,0.5,0.5,2.2,1.0,2.6301,5.6682
A,0.75,0.75,2.2,1.0,2.5199,5.6303
A,1.0,1.0,2.2,1.0,2.4536,5.6246
A,1.25,1.25,2.2,1.0,2.421,5.6399
A,1.5,1.5,2.2,1.0,2.4126,5.6675
A,1.75,1.75,2.2,1.0,2.4206,5.701
A,2.0,2.0,2.2,1.0,2.4389,5.7359
A,2.25,2.25,2.2,1.0,2.4629,5.7692
A,2.5,2.5,2.2,1.0,2.4895,5.7989
A,2.75,2.75,2.2,1.0,2.5165,5.824
A,3.0,3.0,2.2,1.0,2.5424,5.8438
A,3.25,3.25,2.2,1.0,2.5664,5.8581
A,3.5,3.5,2.2,1.0,2.588,5.867
A,3.75,3.75,2.2,1.0,2.607,5.8708
A,4.0,4.0,2.2,1.0,2.6236,5.8698
B,0.5,2.0,0.5,1.0,2.5277,5.8133
B,0.75,2.0,0.75,1.0,2.4982,5.788
B,1.0,2.0,1.0,1.0,2.4746,5.7679
B,1.25,2.0,1.25,1.0,2.457,5.7528
B,1.5,2.0,1.5,1.0,2.445,5.7425
B,1.75,2.0,1.75,1.0,2.4385,5.7366
B,2.0,2.0,2.0,1.0,2.4369,5.7347
B,2.25,2.0,2.25,1.0,2.4398,5.7365
B,2.5,2.0,2.5,1.0,2.4465,5.7414
B,2.75,2.0,2.75,1.0,2.4564,5.7489
B,3.0,2.0,3.0,1.0,2.4691,5.7586
B,3.25,2.0,3.25,1.0,2.484,5.7701
B,3.5,2.0,3.5,1.0,2.5006,5.7831
B,3.75,2.0,3.75,1.0,2.5185,5.7971
B,4.0,2.0,4.0,1.0,2.5373,5.8118
B,4.25,2.0,4.25,1.0,2.5566,5.8271
B,4.5,2.0,4.5,1.0,2.5763,5.8427
B,4.75,2.0,4.75,1.0,2.5962,5.8585
B,5.0,2.0,5.0,1.0,2.6159,5.8743
C,0.0,2.0,2.2,0.0,2.5242,5.7869
C,0.25,2.0,2.2,0.25,2.4715,5.756
C,0.5,2.0,2.2,0.5,2.4396,5.7383
C,0.75,2.0,2.2,0.75,2.429,5.7321
C,1.0,2.0,2.2,1.0,2.4389,5.7359
C,1.25,2.0,2.2,1.25,2.4663,5.7516
C,1.5,2.0,2.2,1.5,2.5043,5.7662
C,1.75,2.0,2.2,1.75,2.5511,5.7778
C,2.0,2.0,2.2,2.0,2.613,5.7989
C,2.25,2.0,2.2,2.25,2.6893,5.83
C,2.5,2.0,2.2,2.5,2.7791,5.8715
