lambda,p,cal_all_rmse,cal_high_rmse,objective
0.0,0.05,2.378185,4.53268,3.455432
0.05,0.05,2.375364,4.510745,3.443054
0.1,0.05,2.372601,4.489187,3.430894
0.15,0.05,2.369897,4.468011,3.418954
0.2,0.05,2.367252,4.447222,3.407237
0.25,0.05,2.364666,4.426826,3.395746
0.3,0.05,2.362139,4.406829,3.384484
0.35,0.05,2.359672,4.387235,3.373454
0.4,0.05,2.357265,4.368051,3.362658
0.45,0.05,2.354917,4.349281,3.352099
0.5,0.05,2.35263,4.330931,3.34178
0.55,0.05,2.350403,4.313007,3.331705
0.6,0.05,2.348236,4.295513,3.321874
0.65,0.05,2.346129,4.278455,3.312292
0.7,0.05,2.344084,4.261839,3.302961
0.75,0.05,2.342099,4.245669,3.293884
0.8,0.05,2.340176,4.22995,3.285063
0.85,0.05,2.338313,4.214688,3.276501
0.9,0.05,2.336512,4.199888,3.2682
0.95,0.05,2.334773,4.185554,3.260163
1.0,0.05,2.333095,4.171691,3.252393
1.05,0.05,2.331478,4.158305,3.244892
1.1,0.05,2.329924,4.145399,3.237661
1.15,0.05,2.328432,4.132978,3.230705
1.2,0.05,2.327002,4.121046,3.224024
1.25,0.05,2.325634,4.109608,3.217621
1.3,0.05,2.324328,4.098669,3.211498
1.35,0.05,2.323085,4.088231,3.205658
1.4,0.05,2.321904,4.078298,3.200101
1.45,0.05,2.320786,4.068876,3.194831
1.5,0.05,2.319731,4.059966,3.189849
1.55,0.05,2.318739,4.051572,3.185156
1.6,0.05,2.31781,4.043699,3.180754
1.65,0.05,2.316943,4.036347,3.176645
1.7,0.05,2.31614,4.029521,3.172831
1.75,0.05,2.315399,4.023224,3.169312
1.8,0.05,2.314722,4.017457,3.16609
1.85,0.05,2.314109,4.012223,3.163166
1.9,0.05,2.3135,4.007025,3.160262
1.95,0.05,2.312946,4.002297,3.157621
2.0,0.05,2.312448,3.998034,3.155241
2.05,0.05,2.312002,3.994217,3.153109
2.1,0.05,2.311608,3.990845,3.151227
2.15,0.05,2.311267,3.987921,3.149594
2.2,0.05,2.310978,3.985445,3.148212
2.25,0.05,2.310742,3.983419,3.14708
2.3,0.05,2.310558,3.981842,3.1462
2.35,0.05,2.310427,3.980715,3.145571
2.4,0.05,2.310348,3.980039,3.145194
2.45,0.05,2.310322,3.979814,3.145068
2.5,0.05,2.31029,3.979538,3.144914
2.55,0.05,2.310307,3.979688,3.144998
2.6,0.05,2.31036,3.980145,3.145253
2.65,0.05,2.310424,3.980691,3.145558
2.7,0.05,2.310532,3.981618,3.146075
2.75,0.05,2.310682,3.982908,3.146795
2.8,0.05,2.310871,3.984531,3.147701
2.85,0.05,2.3111,3.986492,3.148796
2.9,0.05,2.31135,3.988632,3.149991
2.95,0.05,2.311637,3.991092,3.151364
3.0,0.05,2.311962,3.993874,3.152918
3.05,0.05,2.312324,3.996977,3.15465
3.1,0.05,2.312689,4.000098,3.156393
3.15,0.05,2.313082,4.003454,3.158268
3.2,0.05,2.31351,4.007117,3.160314
3.25,0.05,2.313975,4.011085,3.16253
3.3,0.05,2.314476,4.015358,3.164917
3.35,0.05,2.315004,4.019858,3.167431
3.4,0.05,2.315524,4.024286,3.169905
3.45,0.05,2.316077,4.028988,3.172532
3.5,0.05,2.316662,4.033962,3.175312
3.55,0.05,2.31728,4.039208,3.178244
3.6,0.05,2.317929,4.04471,3.181319
3.65,0.05,2.318587,4.050285,3.184436
3.7,0.05,2.319229,4.055715,3.187472
3.75,0.05,2.319884,4.061258,3.190571
3.8,0.05,2.320559,4.066956,3.193758
3.85,0.05,2.32125,4.072785,3.197017
3.9,0.05,2.321968,4.078834,3.200401
3.95,0.05,2.322703,4.085019,3.203861
4.0,0.05,2.323439,4.091209,3.207324
0.0,0.1,2.378185,4.53268,3.455432
0.05,0.1,2.375463,4.511521,3.443492
0.1,0.1,2.372797,4.490716,3.431756
0.15,0.1,2.370185,4.47027,3.420228
0.2,0.1,2.367629,4.450188,3.408908
0.25,0.1,2.365128,4.430474,3.397801
0.3,0.1,2.362683,4.411133,3.386908
0.35,0.1,2.360293,4.392172,3.376232
0.4,0.1,2.35796,4.373593,3.365776
0.45,0.1,2.355682,4.355403,3.355543
0.5,0.1,2.353461,4.337606,3.345534
0.55,0.1,2.351297,4.320207,3.335752
0.6,0.1,2.349188,4.303211,3.3262
0.65,0.1,2.347137,4.286623,3.31688
0.7,0.1,2.345143,4.270447,3.307795
0.75,0.1,2.343206,4.254689,3.298947
0.8,0.1,2.341326,4.239352,3.290339
0.85,0.1,2.339503,4.224441,3.281972
0.9,0.1,2.337738,4.209962,3.27385
0.95,0.1,2.33603,4.195917,3.265974
1.0,0.1,2.33438,4.182313,3.258346
1.05,0.1,2.332788,4.169153,3.25097
1.1,0.1,2.331254,4.15644,3.243847
1.15,0.1,2.329778,4.144181,3.236979
1.2,0.1,2.32836,4.132377,3.230369
1.25,0.1,2.327,4.121035,3.224017
1.3,0.1,2.325699,4.110156,3.217927
1.35,0.1,2.324456,4.099745,3.212101
1.4,0.1,2.323272,4.089805,3.206539
1.45,0.1,2.322147,4.080341,3.201244
1.5,0.1,2.32108,4.071354,3.196217
1.55,0.1,2.320073,4.062849,3.191461
1.6,0.1,2.319124,4.054829,3.186976
1.65,0.1,2.318234,4.047295,3.182765
1.7,0.1,2.317403,4.040252,3.178828
1.75,0.1,2.316632,4.033701,3.175166
1.8,0.1,2.315919,4.027645,3.171782
1.85,0.1,2.315266,4.022087,3.168676
1.9,0.1,2.314654,4.016875,3.165764
1.95,0.1,2.314058,4.011795,3.162926
2.0,0.1,2.313516,4.007165,3.160341
2.05,0.1,2.313023,4.002957,3.15799
2.1,0.1,2.31258,3.999163,3.155872
2.15,0.1,2.312185,3.995784,3.153985
2.2,0.1,2.311839,3.992821,3.15233
2.25,0.1,2.311542,3.990275,3.150908
2.3,0.1,2.311293,3.988147,3.14972
2.35,0.1,2.311094,3.986437,3.148766
2.4,0.1,2.310943,3.985147,3.148045
2.45,0.1,2.310842,3.984275,3.147558
2.5,0.1,2.310757,3.98355,3.147154
2.55,0.1,2.310694,3.983007,3.14685
2.6,0.1,2.310677,3.98286,3.146768
2.65,0.1,2.310706,3.983109,3.146908
2.7,0.1,2.310781,3.983756,3.147268
2.75,0.1,2.310858,3.984416,3.147637
2.8,0.1,2.310972,3.985392,3.148182
2.85,0.1,2.311127,3.986721,3.148924
2.9,0.1,2.311317,3.988354,3.149836
