date,year,dtr_c,dtr_bin,solar_hour,q_actual,q_bin,obs_c,plxj_c,plxj_sunset_c,status,q_eff_obs,phase_advance,split
2000-05-06,2000,24.2,>=20,14.8994,0.13368,0-<0.2,7.0,26.8828,15.9139,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-05-06,2000,24.2,>=20,17.8994,0.75121,0.6-<0.8,7.6,20.5494,15.9139,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-05-09,2000,16.2,15-<18,14.9022,0.13258,0-<0.2,26.9,27.4557,20.0505,MAPPABLE,0.29285,0.16026,Calibration
2000-05-09,2000,16.2,15-<18,17.9022,0.7425,0.6-<0.8,24.8,23.2747,20.0505,MAPPABLE,0.59232,-0.15018,Calibration
2000-05-17,2000,15.3,15-<18,14.9025,0.12875,0-<0.2,29.8,30.3687,23.2307,MAPPABLE,0.29823,0.16948,Calibration
2000-05-17,2000,15.3,15-<18,17.9025,0.72075,0.6-<0.8,28.6,26.5615,23.2307,MAPPABLE,0.49466,-0.2261,Calibration
2000-05-18,2000,15.7,15-<18,14.9017,0.12817,0-<0.2,33.3,34.0662,26.7243,MAPPABLE,0.33375,0.20558,Calibration
2000-05-18,2000,15.7,15-<18,17.9017,0.71817,0.6-<0.8,31.9,30.1769,26.7243,MAPPABLE,0.53767,-0.1805,Calibration
2000-05-22,2000,18.3,18-<20,14.8975,0.12574,0-<0.2,20.2,32.1485,23.5164,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-05-22,2000,18.3,18-<20,17.8975,0.70837,0.6-<0.8,18.6,27.6937,23.5164,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-06-06,2000,16.1,15-<18,14.8639,0.11523,0-<0.2,27.6,28.2854,20.5053,MAPPABLE,0.30556,0.19033,Calibration
2000-06-06,2000,16.1,15-<18,17.8639,0.67834,0.6-<0.8,26.9,24.5852,20.5053,MAPPABLE,0.41996,-0.25837,Calibration
2000-06-07,2000,14.8,14.5-<15,14.8608,0.11448,0-<0.2,30.4,31.0959,23.9361,MAPPABLE,0.31865,0.20417,Calibration
2000-06-07,2000,14.8,14.5-<15,17.8608,0.67675,0.6-<0.8,29.6,27.7055,23.9361,MAPPABLE,0.45274,-0.22401,Calibration
2000-06-08,2000,14.5,14.5-<15,14.8575,0.11371,0-<0.2,32.4,33.7993,26.7771,MAPPABLE,0.44248,0.32877,Calibration
2000-06-08,2000,14.5,14.5-<15,17.8575,0.6752,0.6-<0.8,33.0,30.4882,26.7771,MAPPABLE,0.34153,-0.33367,Calibration
2000-07-10,2000,14.7,14.5-<15,14.7558,0.09579,0-<0.2,38.3,38.7281,31.6317,MAPPABLE,0.25324,0.15745,Calibration
2000-07-10,2000,14.7,14.5-<15,17.7558,0.66395,0.6-<0.8,37.2,35.4768,31.6317,MAPPABLE,0.45592,-0.20803,Calibration
2000-08-24,2000,15.9,15-<18,14.8125,0.12707,0-<0.2,14.7,29.5797,22.8027,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-08-24,2000,15.9,15-<18,17.8125,0.80476,0.8-1.0,16.8,25.1066,22.8027,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-09-04,2000,15.5,15-<18,14.8717,0.14967,0-<0.2,23.9,24.5452,18.2783,MAPPABLE,0.34144,0.19178,Calibration
2000-09-04,2000,15.5,15-<18,17.8717,0.87194,0.8-1.0,23.1,19.7286,18.2783,MAPPABLE,0.48502,-0.38692,Calibration
2000-09-20,2000,15.3,15-<18,14.9694,0.19218,0-<0.2,12.4,25.9689,20.3435,OBS_BELOW_PLXJ_SUNSET,,,Calibration
2000-09-20,2000,15.3,15-<18,17.9694,0.99354,0.8-1.0,11.2,20.4138,20.3435,OBS_BELOW_PLXJ_SUNSET,,,Calibration
