split,dtr_bin,q_bin,n_points,n_mappable,pct_below_plxj_sunset,pct_above_tmax,median_phase_advance,mean_phase_advance,median_q_actual,median_q_eff
All,14.5-<15,0-<0.2,81,76,6.17,0.0,0.1587,0.2051,0.1225,0.2755
All,14.5-<15,0.2-<0.4,1,1,0.0,0.0,0.0837,0.0837,0.2104,0.2941
All,14.5-<15,0.6-<0.8,65,58,10.77,0.0,-0.2066,-0.1574,0.7038,0.5075
All,14.5-<15,0.8-1.0,15,12,20.0,0.0,-0.2241,-0.2319,0.9293,0.6986
All,15-<18,0-<0.2,178,121,32.02,0.0,0.154,0.2012,0.1221,0.2813
All,15-<18,0.2-<0.4,5,2,60.0,0.0,0.1184,0.1184,0.2104,0.3241
All,15-<18,0.6-<0.8,143,89,37.76,0.0,-0.2261,-0.2027,0.6984,0.4825
All,15-<18,0.8-1.0,34,22,35.29,0.0,-0.1888,-0.1576,0.8891,0.7027
All,18-<20,0-<0.2,18,6,66.67,0.0,0.4029,0.4553,0.1145,0.5091
All,18-<20,0.6-<0.8,15,4,73.33,0.0,-0.1563,-0.0787,0.6767,0.5116
All,18-<20,0.8-1.0,3,0,100.0,0.0,,,0.8926,
All,>=20,0-<0.2,9,2,77.78,0.0,0.6083,0.6083,0.1159,0.7388
All,>=20,0.6-<0.8,7,1,85.71,0.0,0.2361,0.2361,0.7426,0.9786
All,>=20,0.8-1.0,1,0,100.0,0.0,,,0.8588,
Calibration,14.5-<15,0-<0.2,55,52,5.45,0.0,0.1391,0.1415,0.1245,0.2598
Calibration,14.5-<15,0.2-<0.4,1,1,0.0,0.0,0.0837,0.0837,0.2104,0.2941
Calibration,14.5-<15,0.6-<0.8,45,42,6.67,0.0,-0.2186,-0.1896,0.706,0.4706
Calibration,14.5-<15,0.8-1.0,10,9,10.0,0.0,-0.2262,-0.2389,0.9293,0.69
Calibration,15-<18,0-<0.2,73,53,27.4,0.0,0.154,0.1557,0.1271,0.2815
Calibration,15-<18,0.2-<0.4,2,1,50.0,0.0,0.1607,0.1607,0.2058,0.3619
Calibration,15-<18,0.6-<0.8,53,38,28.3,0.0,-0.219,-0.216,0.7038,0.5052
Calibration,15-<18,0.8-1.0,19,13,31.58,0.0,-0.1906,-0.1627,0.8856,0.702
Calibration,18-<20,0-<0.2,9,0,100.0,0.0,,,0.1225,
Calibration,18-<20,0.6-<0.8,8,0,100.0,0.0,,,0.7027,
Calibration,18-<20,0.8-1.0,1,0,100.0,0.0,,,0.8856,
Calibration,>=20,0-<0.2,3,0,100.0,0.0,,,0.1181,
Calibration,>=20,0.6-<0.8,3,0,100.0,0.0,,,0.7426,
Validation,14.5-<15,0-<0.2,26,24,7.69,0.0,0.2026,0.3428,0.1152,0.3019
Validation,14.5-<15,0.6-<0.8,20,16,20.0,0.0,-0.0982,-0.0727,0.6993,0.6121
Validation,14.5-<15,0.8-1.0,5,3,40.0,0.0,-0.2089,-0.2112,0.8719,0.7598
Validation,15-<18,0-<0.2,105,68,35.24,0.0,0.1541,0.2367,0.1167,0.2807
Validation,15-<18,0.2-<0.4,3,1,66.67,0.0,0.076,0.076,0.2104,0.2864
Validation,15-<18,0.6-<0.8,90,51,43.33,0.0,-0.2335,-0.1927,0.6964,0.4527
Validation,15-<18,0.8-1.0,15,9,40.0,0.0,-0.187,-0.1502,0.8926,0.7056
Validation,18-<20,0-<0.2,9,6,33.33,0.0,0.4029,0.4553,0.101,0.5091
Validation,18-<20,0.6-<0.8,7,4,42.86,0.0,-0.1563,-0.0787,0.664,0.5116
Validation,18-<20,0.8-1.0,2,0,100.0,0.0,,,0.8998,
Validation,>=20,0-<0.2,6,2,66.67,0.0,0.6083,0.6083,0.1156,0.7388
Validation,>=20,0.6-<0.8,4,1,75.0,0.0,0.2361,0.2361,0.7104,0.9786
Validation,>=20,0.8-1.0,1,0,100.0,0.0,,,0.8588,
