lambda,k,peak_q,cal_all_rmse,cal_high_rmse,objective
0.0,1.0,0.5,2.378185,4.53268,3.455432
0.1,1.0,0.5,2.374906,4.507178,3.441042
0.2,1.0,0.5,2.371727,4.482354,3.427041
0.3,1.0,0.5,2.36865,4.458219,3.413435
0.4,1.0,0.5,2.365674,4.434785,3.400229
0.5,1.0,0.5,2.3628,4.412062,3.387431
0.6,1.0,0.5,2.360028,4.390062,3.375045
0.7,1.0,0.5,2.357358,4.368795,3.363076
0.8,1.0,0.5,2.354791,4.348272,3.351532
0.9,1.0,0.5,2.352328,4.328504,3.340416
1.0,1.0,0.5,2.349968,4.309501,3.329735
1.1,1.0,0.5,2.347712,4.291274,3.319493
1.2,1.0,0.5,2.34556,4.273832,3.309696
1.3,1.0,0.5,2.343512,4.257185,3.300349
1.4,1.0,0.5,2.341569,4.241342,3.291456
1.5,1.0,0.5,2.339731,4.226313,3.283022
1.6,1.0,0.5,2.337999,4.212106,3.275052
1.7,1.0,0.5,2.336371,4.198729,3.26755
1.8,1.0,0.5,2.33485,4.18619,3.26052
1.9,1.0,0.5,2.333434,4.174498,3.253966
2.0,1.0,0.5,2.332124,4.163658,3.247891
2.1,1.0,0.5,2.330921,4.153678,3.242299
2.2,1.0,0.5,2.329824,4.144564,3.237194
2.3,1.0,0.5,2.328833,4.136322,3.232578
2.4,1.0,0.5,2.327949,4.128957,3.228453
2.5,1.0,0.5,2.327112,4.121967,3.22454
2.6,1.0,0.5,2.326334,4.115467,3.220901
2.7,1.0,0.5,2.325637,4.109639,3.217638
2.8,1.0,0.5,2.325022,4.104484,3.214753
2.9,1.0,0.5,2.324399,4.099267,3.211833
3.0,1.0,0.5,2.323836,4.094539,3.209187
3.1,1.0,0.5,2.323345,4.09042,3.206883
3.2,1.0,0.5,2.322928,4.086912,3.20492
3.3,1.0,0.5,2.322584,4.084016,3.2033
3.4,1.0,0.5,2.322313,4.081735,3.202024
3.5,1.0,0.5,2.322065,4.079653,3.200859
3.6,1.0,0.5,2.321827,4.077647,3.199737
3.7,1.0,0.5,2.321653,4.076179,3.198916
3.8,1.0,0.5,2.321542,4.075248,3.198395
3.9,1.0,0.5,2.321496,4.074856,3.198176
