lambda,eta,asymptotic_effective_excess,cal_all_rmse,cal_high_rmse,objective
0.0,0.0,INF,2.378185,4.53268,3.455432
0.1,0.0,INF,2.375026,4.508113,3.44157
0.2,0.0,INF,2.371936,4.483982,3.427959
0.3,0.0,INF,2.368914,4.460294,3.414604
0.4,0.0,INF,2.365962,4.437055,3.401508
0.5,0.0,INF,2.363079,4.414272,3.388675
0.6,0.0,INF,2.360266,4.391953,3.376109
0.7,0.0,INF,2.357522,4.370104,3.363813
0.8,0.0,INF,2.354849,4.348734,3.351791
0.9,0.0,INF,2.352246,4.327848,3.340047
1.0,0.0,INF,2.349714,4.307455,3.328584
1.1,0.0,INF,2.347253,4.28756,3.317406
1.2,0.0,INF,2.344863,4.268171,3.306517
1.3,0.0,INF,2.342544,4.249295,3.29592
1.4,0.0,INF,2.340296,4.230939,3.285618
1.5,0.0,INF,2.338121,4.213109,3.275615
1.6,0.0,INF,2.336017,4.195813,3.265915
1.7,0.0,INF,2.333986,4.179056,3.256521
1.8,0.0,INF,2.332026,4.162846,3.247436
1.9,0.0,INF,2.330139,4.147189,3.238664
2.0,0.0,INF,2.328325,4.132091,3.230208
2.1,0.0,INF,2.326584,4.117558,3.222071
2.2,0.0,INF,2.324916,4.103596,3.214256
2.3,0.0,INF,2.323321,4.090211,3.206766
2.4,0.0,INF,2.321799,4.077409,3.199604
2.5,0.0,INF,2.32035,4.065196,3.192773
2.6,0.0,INF,2.318976,4.053575,3.186276
2.7,0.0,INF,2.317675,4.042554,3.180114
2.8,0.0,INF,2.316447,4.032136,3.174292
2.9,0.0,INF,2.315294,4.022327,3.16881
3.0,0.0,INF,2.314215,4.01313,3.163673
3.1,0.0,INF,2.31321,4.00455,3.15888
3.2,0.0,INF,2.312279,3.996592,3.154435
3.3,0.0,INF,2.311423,3.989258,3.15034
3.4,0.0,INF,2.310641,3.982552,3.146596
3.5,0.0,INF,2.309933,3.976477,3.143205
3.6,0.0,INF,2.309301,3.971037,3.140169
3.7,0.0,INF,2.308707,3.965928,3.137318
3.8,0.0,INF,2.308143,3.96107,3.134607
3.9,0.0,INF,2.307643,3.956756,3.132199
4.0,0.0,INF,2.307206,3.952987,3.130097
4.1,0.0,INF,2.306833,3.949765,3.128299
4.2,0.0,INF,2.306524,3.947092,3.126808
4.3,0.0,INF,2.306278,3.944969,3.125623
4.4,0.0,INF,2.306096,3.943396,3.124746
4.5,0.0,INF,2.305975,3.942348,3.124161
4.6,0.0,INF,2.30591,3.941784,3.123847
4.7,0.0,INF,2.305901,3.94171,3.123806
4.8,0.0,INF,2.305949,3.942125,3.124037
4.9,0.0,INF,2.306054,3.943029,3.124542
5.0,0.0,INF,2.306215,3.944423,3.125319
