date,dtr_c,n_steps,increasing_steps,any_postpeak_increase,max_5min_increase_c,raw_below_tmin_steps,tmin_clipping,post_min_rebound_c,rebound_gt_0.5c
2000-05-06,24.2,59,15,YES,1.4196,36,YES,13.351,YES
2000-05-09,16.2,60,24,YES,0.1368,0,NO,2.4437,YES
2000-05-17,15.3,61,0,NO,-0.013,0,NO,0,NO
2000-05-18,15.7,62,16,YES,0.0491,0,NO,0,NO
2000-05-22,18.3,62,30,YES,0.4612,10,YES,10.0576,YES
2000-06-06,16.1,64,24,YES,0.1031,0,NO,1.8626,YES
2000-06-07,14.8,65,0,NO,-0.0786,0,NO,0,NO
2000-06-08,14.5,65,0,NO,-0.0019,0,NO,0,NO
2000-07-10,14.7,64,0,NO,-0.0799,0,NO,0,NO
2000-08-24,15.9,54,20,YES,0.1091,0,NO,1.6404,YES
2000-09-04,15.5,50,12,YES,0.0457,0,NO,0,NO
2000-09-20,15.3,45,2,YES,0.0212,0,NO,0,NO
2000-09-26,16.5,44,22,YES,0.3041,0,NO,4.623,YES
2001-05-11,14.5,60,0,NO,-0.0021,0,NO,0,NO
2001-05-14,15.6,60,12,YES,0.0357,0,NO,0,NO
2001-05-25,14.9,63,0,NO,-0.0696,0,NO,0,NO
2001-06-03,21.1,64,19,YES,0.8799,33,YES,11.2143,YES
2001-06-08,18.2,65,32,YES,0.4257,8,YES,9.8433,YES
2001-06-11,15.6,65,9,YES,0.0268,0,NO,0,NO
2001-06-12,18.5,65,28,YES,0.4692,15,YES,9.9465,YES
2001-06-20,16.9,65,32,YES,0.2221,0,NO,4.8635,YES
2001-06-26,14.5,65,0,NO,-0.0019,0,NO,0,NO
2001-06-28,14.8,65,0,NO,-0.0785,0,NO,0,NO
2001-08-12,15.3,57,0,NO,-0.0069,0,NO,0,NO
2002-06-22,14.6,65,0,NO,-0.0495,0,NO,0,NO
2002-08-10,14.7,58,0,NO,-0.0831,0,NO,0,NO
2002-09-07,18.4,50,24,YES,0.633,9,YES,11.2438,YES
2002-09-13,14.5,48,0,NO,-0.0028,0,NO,0,NO
2002-09-14,15.7,48,17,YES,0.0971,0,NO,1.2399,YES
2002-09-16,14.8,47,0,NO,-0.0779,0,NO,0,NO
