model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M4_TWO_SIDED_SHOULDER,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M4_TWO_SIDED_SHOULDER,12,22,3.1465987782319207,1.9010606262177945,1.216184063063578,0.6925176568375552
M4_TWO_SIDED_SHOULDER,14,720,3.674198709646601,2.3297060256436013,1.410183618186193,0.6455878663184841
M4_TWO_SIDED_SHOULDER,15,22,4.6577171047064,2.713377057734036,2.713377057734036,0.5275041854782907
M4_TWO_SIDED_SHOULDER,17,717,3.464000261435588,2.2532665828159693,1.410015774705909,0.6839890467492951
M4_TWO_SIDED_SHOULDER,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M4_TWO_SIDED_SHOULDER,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M4_TWO_SIDED_SHOULDER,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
