date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2000-01-02,2000,1,23,-5.0,-16.0,11.0,10-<14.5,23.75,,,,,,,3.164323654026613,-0.2437157798760379
2000-01-03,2000,1,22,-5.0,-14.0,9.0,<10,2.75,1.0,1.0,2.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,5.04429382459068,-2.642659855085575
2000-01-04,2000,1,22,-11.0,-24.0,13.0,10-<14.5,2.7333333333333334,1.0,3.0,3.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,7.092904799759455,-1.2858527909783037
2000-01-05,2000,1,23,-20.0,-28.0,8.0,<10,11.733333333333333,1.0,1.0,1.0,0.125,0.125,0.125,2.9584264783474454,0.2010919882201118
2000-01-07,2000,1,23,-12.0,-24.0,12.0,10-<14.5,12.716666666666667,1.0,2.0,3.0,0.08333333333333333,0.16666666666666666,0.25,3.169354007842539,-1.9872020727860544
2000-01-08,2000,1,23,-14.0,-19.0,5.0,<10,12.716666666666667,1.0,1.0,2.0,0.2,0.2,0.4,2.1618219391647315,-0.21715934411247595
2000-01-09,2000,1,22,-4.0,-10.0,6.0,<10,12.2,0.0,1.0,,0.0,0.16666666666666666,,1.4746162761051393,-0.18280314682354337
2000-01-10,2000,1,22,-6.0,-17.0,11.0,10-<14.5,10.7,3.0,2.0,2.0,0.2727272727272727,0.18181818181818182,0.18181818181818182,5.189364457059227,0.0760900992912184
2000-01-11,2000,1,23,-8.0,-22.0,14.0,10-<14.5,13.2,1.0,0.0,6.0,0.07142857142857142,0.0,0.42857142857142855,2.5896984284415168,-0.16020397039116374
2000-01-12,2000,1,24,-10.0,-22.0,12.0,10-<14.5,12.183333333333334,0.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,4.233149580800168,-0.7743455272660912
2000-01-13,2000,1,24,-10.0,-23.0,13.0,10-<14.5,14.183333333333334,0.0,2.0,5.0,0.0,0.15384615384615385,0.38461538461538464,2.9911936805820085,-1.3308469735779285
2000-01-14,2000,1,24,-8.0,-22.0,14.0,10-<14.5,10.666666666666666,1.0,3.0,3.0,0.07142857142857142,0.21428571428571427,0.21428571428571427,4.526994556203904,-0.2198093292469078
2000-01-15,2000,1,24,-9.0,-24.0,15.0,14.5-<18,13.666666666666666,3.0,5.0,8.0,0.2,0.3333333333333333,0.5333333333333333,3.825320306940943,0.1838415325707059
2000-01-16,2000,1,23,-11.0,-22.0,11.0,10-<14.5,13.666666666666666,0.0,2.0,4.0,0.0,0.18181818181818182,0.36363636363636365,2.110879872801667,0.6645842437173524
2000-01-17,2000,1,22,-11.0,-22.0,11.0,10-<14.5,10.65,2.0,2.0,2.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,3.461814559079476,0.21588865914570532
2000-01-18,2000,1,24,-14.0,-23.0,9.0,<10,14.15,0.0,1.0,5.0,0.0,0.1111111111111111,0.5555555555555556,2.1524540262503904,0.13792609511427675
2000-01-19,2000,1,22,-5.0,-20.0,15.0,14.5-<18,18.65,,,8.0,,,0.5333333333333333,2.7338097987481302,-0.6663415251966027
2000-01-20,2000,1,23,-8.0,-13.0,5.0,<10,3.1333333333333333,0.0,1.0,2.0,0.0,0.2,0.4,2.46116863135861,-0.17687113577591548
