split,dtr_bin,solar_hour_bin,n_points,rmse,mae,bias
All,<10,0,1416,2.3291,1.6943,-1.1581
All,<10,1,1417,2.1443,1.5114,-1.0734
All,<10,2,1421,1.9749,1.3449,-1.0143
All,<10,3,1427,1.802,1.2131,-0.8945
All,<10,4,1417,1.6808,1.0483,-0.8194
All,<10,5,1421,1.6762,1.0698,-0.9607
All,<10,6,1423,1.7134,1.2418,-0.9614
All,<10,7,1425,1.7385,1.3625,-0.751
All,<10,8,1425,1.7011,1.3554,-0.3441
All,<10,9,1431,1.6617,1.2962,0.1091
All,<10,10,1428,1.703,1.2683,0.447
All,<10,11,1431,1.7089,1.1944,0.6755
All,<10,12,1431,1.7137,1.1521,0.8461
All,<10,13,1429,1.7516,1.1336,0.9357
All,<10,14,1428,1.7694,1.022,0.9832
All,<10,15,1425,1.8838,1.0379,1.0079
All,<10,16,1428,1.9155,1.1893,0.9832
All,<10,17,1428,1.9959,1.3295,1.0245
All,<10,18,1428,1.9697,1.3904,1.1293
All,<10,19,1423,1.9018,1.4183,1.2435
All,<10,20,1428,1.6366,1.2659,0.9238
All,<10,21,1421,1.4331,1.1302,0.5064
All,<10,22,1420,1.359,1.0992,0.2729
All,<10,23,1417,1.3662,1.1266,0.1246
All,10-<14.5,0,2171,1.9536,1.2976,-0.2407
All,10-<14.5,1,2174,1.8582,1.1996,-0.3599
All,10-<14.5,2,2175,1.7551,1.0527,-0.425
All,10-<14.5,3,2177,1.6684,0.9834,-0.4021
All,10-<14.5,4,2179,1.5646,0.848,-0.4087
All,10-<14.5,5,2173,1.8048,1.1559,-1.0175
All,10-<14.5,6,2179,2.3232,1.8414,-1.74
All,10-<14.5,7,2176,2.4575,2.0667,-1.8771
All,10-<14.5,8,2175,2.2026,1.8439,-1.5159
All,10-<14.5,9,2179,1.7907,1.4195,-0.9141
All,10-<14.5,10,2176,1.459,1.0978,-0.3367
All,10-<14.5,11,2180,1.266,0.8963,0.1298
All,10-<14.5,12,2170,1.1927,0.7874,0.3751
All,10-<14.5,13,2177,1.172,0.7493,0.4529
All,10-<14.5,14,2179,1.2535,0.6035,0.5403
All,10-<14.5,15,2168,1.4562,0.6385,0.5684
All,10-<14.5,16,2175,1.6948,0.9174,0.5517
All,10-<14.5,17,2176,1.8665,1.0294,0.5772
All,10-<14.5,18,2172,2.0266,1.2945,0.8696
All,10-<14.5,19,2168,2.0596,1.4049,1.0698
All,10-<14.5,20,2175,1.8212,1.2882,0.5505
All,10-<14.5,21,2165,1.7937,1.3879,-0.1574
All,10-<14.5,22,2162,1.9041,1.5476,-0.586
All,10-<14.5,23,2170,2.0907,1.754,-0.9505
All,14.5-<18,0,150,3.113,2.0692,-0.8787
All,14.5-<18,1,150,3.3103,2.13,-1.3313
All,14.5-<18,2,150,3.4513,2.1423,-1.5309
All,14.5-<18,3,151,3.4636,2.1604,-1.6573
All,14.5-<18,4,150,3.4621,2.1572,-1.7828
All,14.5-<18,5,150,3.9005,2.8478,-2.7673
All,14.5-<18,6,149,4.254,3.4851,-3.4757
All,14.5-<18,7,149,4.03,3.4008,-3.3811
