split,dtr_bin,n_days,mean_dtr,median_tmax_solar_h,mean_htemp_rmse,mean_htemp_bias,median_norm_drop_1h,median_norm_drop_2h,median_norm_drop_3h
All,<10,1434,7.439,14.767,1.5294,0.1365,0.0,0.125,0.2222
All,10-<14.5,2190,11.595,15.217,1.5396,-0.2185,0.0,0.0833,0.1667
All,14.5-<18,151,15.523,14.883,2.669,-0.4505,0.0,0.0667,0.1875
All,18-<20,9,18.444,14.383,3.6017,-0.952,0.0526,0.0556,0.1667
All,>=20,6,20.333,13.858,5.4995,-1.0055,0.05,0.1,0.15
Calibration,<10,936,7.466,14.8,1.5572,0.1564,0.0,0.125,0.25
Calibration,10-<14.5,1532,11.642,15.217,1.5758,-0.2197,0.0,0.0833,0.1667
Calibration,14.5-<18,96,15.521,15.092,2.7685,-0.5653,0.0,0.0667,0.1875
Calibration,18-<20,8,18.375,14.883,3.2239,-0.9315,0.0541,0.0556,0.1667
Calibration,>=20,2,20.5,11.592,7.5922,-1.0167,0.144,0.169,0.1679
Validation,<10,498,7.388,14.733,1.4772,0.0992,0.0,0.125,0.2222
Validation,10-<14.5,658,11.485,15.217,1.4554,-0.2155,0.0,0.0909,0.1538
Validation,14.5-<18,55,15.527,14.783,2.4953,-0.2503,0.0625,0.0667,0.1333
Validation,18-<20,1,19.0,13.217,6.6241,-1.116,0.0526,0.3158,0.4211
Validation,>=20,4,20.25,14.375,4.4531,-0.9998,0.05,0.0976,0.15
