date,year,dtr_c,srad,clouds,sclear,sndn_h,obs_sunset_h,obs_gap_h,tmax_c,tmin_c,official_ts_c,observed_near_sunset_c,sunset_error_c,dtr_cloud_x
2000-05-01,2000,10.0,25.1,0.13665342652121282,29.07291320895793,19.005936936675834,18.88222222222222,0.12363601027777778,24.0,14.0,21.656757651963424,22.0,-0.3432423480365756,0.0
2000-05-02,2000,7.0,18.97,0.35111455344833986,29.234744130587814,19.027818064467443,18.884166666666665,0.14362532305555556,23.0,16.0,21.350201180615763,20.0,1.3502011806157626,0.0
2000-05-03,2000,9.0,15.46,0.4740417052090592,29.393965554141666,19.04946936932894,18.885833333333334,0.16354547583333334,24.0,15.0,21.86673526028446,21.0,0.8667352602844609,0.0
2000-05-04,2000,13.0,23.88,0.1918928943593763,29.550538330026466,19.070882578827508,18.88722222222222,0.18338924888888888,27.0,14.0,23.901379470141435,25.0,-1.0986205298585645,0.0
2000-05-05,2000,16.0,27.34,0.0795983879423261,29.704424288086567,19.09204928366328,18.88888888888889,0.20314906638888888,32.0,16.0,28.16538956699253,28.0,0.1653895669925305,0.09551806553079126
2000-05-06,2000,9.0,7.43,0.7511353505375596,29.85558622347191,19.11296094235434,18.89,0.2228169988888889,14.0,5.0,11.831430481678694,10.0,1.8314304816786944,0.0
2000-05-07,2000,14.0,26.3,0.12344985262593411,30.00398788225465,19.1336088865708,18.891111111111112,0.24238476805555553,19.0,5.0,15.6088913718608,17.0,-1.3911086281392002,0.0
2000-05-08,2000,14.0,18.96,0.371135809212084,30.149593946897586,19.153984327134236,18.891944444444444,0.26184375277777777,23.0,9.0,19.591387143880663,19.0,0.591387143880663,0.0
2000-05-09,2000,19.0,22.18,0.2678024207373193,30.292370021675225,19.17407836069709,18.892777777777777,0.28118499722222223,31.0,12.0,26.350649877291882,25.0,1.3506498772918825,1.124770167096741
2000-05-10,2000,11.0,27.93,0.08222461159236427,30.43228261814612,19.193881977114923,18.893333333333334,0.3003992161111111,27.0,16.0,24.294962730149294,25.0,-0.7050372698507061,0.0
2000-05-11,2000,14.0,18.23,0.4036500504623759,30.569299140772138,19.213386067521952,18.89388888888889,0.3194768061111111,30.0,16.0,26.540580002514588,24.0,2.540580002514588,0.0
2000-05-12,2000,7.0,15.91,0.481816141400252,30.703387872776432,19.23258143311824,18.894166666666667,0.3384078538888889,22.0,15.0,20.262116702640448,20.0,0.26211670264044784,0.0
2000-05-13,2000,8.0,23.91,0.224570332858389,30.83451796232797,19.25145879467404,18.894166666666667,0.35718214750000005,22.0,14.0,20.004680989236146,21.0,-0.9953190107638541,0.0
2000-05-14,2000,10.0,16.32,0.47291349285117523,30.96265940913564,19.27000880275388,18.894166666666667,0.3757891872222222,23.0,13.0,20.494615160636734,22.0,-1.5053848393632663,0.0
2000-05-15,2000,13.0,27.65,0.11058308808420558,31.087783051530014,19.288222048659975,18.89388888888889,0.3942181991666666,24.0,11.0,20.72868755804471,22.0,-1.2713124419552884,0.0
2000-05-16,2000,12.0,28.02,0.10220681853335811,31.2098605541048,19.306089076090895,18.89361111111111,0.4124581494444444,28.0,16.0,24.967393196338712,26.0,-1.032606803661288,0.0
2000-05-17,2000,17.0,26.75,0.14615481551164067,31.328864395984294,19.323600393507927,18.893055555555556,0.4304977572222223,32.0,15.0,27.685884793921062,30.0,-2.314115206078938,0.32154059412560937
2000-05-18,2000,12.0,28.98,0.07838403739431565,31.44476785977628,19.340746487197485,18.892222222222223,0.44832551055555553,35.0,23.0,31.942379354003208,31.0,0.9423793540032079,0.0
2000-05-19,2000,9.0,26.91,0.14727207132657993,31.557545021263238,19.357517835013972,18.891388888888887,0.46592968472222224,32.0,23.0,29.697732470948054,30.0,-0.30226752905194587,0.0
2000-05-20,2000,11.0,20.85,0.34158942801465897,31.667170739877196,19.373904920782916,18.890555555555554,0.4832983577777778,33.0,22.0,30.17532771807867,30.0,0.17532771807866965,0.0
2000-05-21,2000,15.0,23.77,0.25189514088307186,31.77362064999603,19.3898982493399,19.889444444444443,0.4995805705555556,35.0,20.0,31.133840903717207,29.0,2.133840903717207,0.050379028176614195
2000-05-22,2000,12.0,12.69,0.6019057222067008,31.87687115309146,19.405488362175912,19.888055555555557,0.48271936027777773,28.0,16.0,24.895915369120857,19.0,5.895915369120857,0.0
2000-05-23,2000,6.0,6.42,0.7992300655065534,31.97689941075096,19.420665853655056,19.886666666666667,0.46613040916666665,20.0,14.0,18.44253622186053,18.0,0.44253622186052866,0.0
2000-05-24,2000,13.0,28.33,0.11672134126495293,32.07368333858728,19.435421387765565,19.884999999999998,0.4498262347222222,26.0,13.0,22.61409482166219,22.0,0.6140948216621887,0.0
2000-05-25,2000,13.0,26.88,0.16436622826620717,32.16720160104197,19.449745715360166,19.883333333333333,0.4338194511111111,30.0,17.0,26.603046147831144,24.0,2.6030461478311437,0.0
2000-05-26,2000,7.0,17.48,0.4581094016058601,32.25743360708034,19.463629691836744,19.881666666666668,0.4181227469444444,26.0,19.0,24.165113972695025,20.0,4.165113972695025,0.0
2000-05-27,2000,12.0,19.64,0.3927843896277964,32.34435950676781,19.477064295205487,19.879722222222224,0.4027488636111111,26.0,14.0,22.844946380484746,22.0,0.8449463804847461,0.0
2000-05-28,2000,10.0,26.87,0.17139407339732826,32.42796018870928,19.490040644483663,19.8775,0.3877105708333333,23.0,13.0,20.3631257909409,20.0,0.3631257909408987,0.0
2000-05-29,2000,11.0,21.74,0.3312460103896677,32.50821727832592,19.502550018354576,19.875555555555557,0.37302064388888884,26.0,15.0,23.0913245480597,22.0,1.0913245480596991,0.0
2000-05-30,2000,10.0,18.42,0.434711184748948,32.58511313693593,19.514583874022723,19.873055555555556,0.35869183861111115,28.0,18.0,25.348663874581085,24.0,1.348663874581085,0.0
2000-05-31,2000,12.0,24.72,0.2430791080998299,32.658630861599086,19.526133866192886,19.870833333333334,0.34473686777777773,30.0,18.0,26.810246853638642,25.0,1.8102468536386418,0.0
2000-06-01,2000,8.0,20.67,0.36844525704893916,32.72875428567832,19.53719186609701,19.868333333333332,0.33116837583333336,26.0,18.0,23.86830297919115,23.0,0.8683029791911494,0.0
2000-06-02,2000,9.0,14.57,0.5557312977251512,32.79546798006537,19.54774998048912,19.865555555555556,0.31799891444444445,25.0,16.0,22.596267780854536,20.0,2.596267780854536,0.0
2000-06-03,2000,10.0,21.66,0.34081499699152185,32.858757255012094,19.55780057052538,19.86277777777778,0.30524091694444444,23.0,13.0,20.32329886512092,21.0,-0.6767011348790817,0.0
2000-06-04,2000,7.0,7.97,0.7578876980261222,32.9186081625043,19.56733627044394,19.860000000000003,0.29290667444444446,19.0,12.0,17.122403517619983,17.0,0.1224035176199827,0.0
2000-06-05,2000,10.0,19.73,0.4016680663216782,32.97500749911059,19.576350005956854,19.857222222222223,0.2810083102777778,24.0,14.0,21.31245088584393,20.0,1.3124508858439299,0.0
2000-06-06,2000,13.0,29.56,0.10500026687298813,33.02794280923552,19.58483501226523,19.854166666666668,0.26955775527777776,30.0,17.0,26.49974554449272,25.0,1.4997455444927184,0.0
2000-06-07,2000,14.0,30.16,0.08819925925319616,33.077402388703554,19.592784851607632,19.851111111111113,0.258566725,33.0,19.0,29.224002886439933,31.0,-1.7759971135600665,0.0
2000-06-08,2000,17.0,30.6,0.07618110372547826,33.12337528859868,19.600193430251807,19.848055555555554,0.248046695,36.0,19.0,31.407520479750346,27.0,4.407520479750346,0.1675984281960521
2000-06-09,2000,10.0,14.94,0.5495366648009565,33.16585131928341,19.607055014840363,19.845,0.23800887694444445,32.0,22.0,29.294545849592204,25.0,4.294545849592204,0.0
2000-06-10,2000,6.0,10.63,0.679865764596473,33.204821054520956,19.61336424800236,19.841666666666665,0.22846419666666665,23.0,17.0,21.374524834144797,20.0,1.3745248341447969,0.0
2000-06-11,2000,4.0,6.18,0.8140809651953437,33.24027583562532,19.61911616314477,19.83833333333333,0.21942327305555553,17.0,13.0,15.915012101080771,15.0,0.9150121010807712,0.0
2000-06-12,2000,7.0,8.78,0.736116098480007,33.272207775565235,19.62430619834084,19.834999999999997,0.21089639500000001,19.0,12.0,17.099160100688604,18.0,-0.9008398993113964,0.0
2000-06-13,2000,11.0,29.37,0.11803416787052612,33.30060976295105,19.628930209235804,19.831666666666667,0.20289350333333334,26.0,15.0,23.01001196848333,23.0,0.010011968483329525,0.0
2000-06-14,2000,12.0,30.2,0.09378637280181301,33.325475465836625,19.632984480895,19.828333333333333,0.19542416972222224,29.0,17.0,25.735370923910928,25.0,0.7353709239109278,0.0
2000-06-15,2000,9.0,28.89,0.13364998812819862,33.34679933527261,19.63646573852433,19.82472222222222,0.18849757944444442,29.0,20.0,26.549710380702678,25.0,1.5497103807026775,0.0
2000-06-16,2000,14.0,30.28,0.09245064442873219,33.36457660855248,19.639371156999037,19.82138888888889,0.18212251444444444,32.0,18.0,28.18607928434089,27.0,1.1860792843408916,0.0
2000-06-17,2000,11.0,24.53,0.26510247324807923,33.37880331209849,19.64169836914314,19.817777777777778,0.1763073363888889,31.0,20.0,28.001863777272582,26.0,2.0018637772725825,0.0
2000-06-18,2000,7.0,12.94,0.6124527411657931,33.38947626394061,19.643445472708866,19.814444444444444,0.17105997305555556,26.0,19.0,24.091386230134923,22.0,2.0913862301349226,0.0
2000-06-19,2000,14.0,31.08,0.06936614972953725,33.39659307574882,19.644611036013124,19.810833333333335,0.166387905,30.0,16.0,26.18182674989516,26.0,0.18182674989515846,0.0
