dtr_bin,model,n_points,n_days,mean_dtr,rmse,mae,bias,r2
<10,Official,11919,8,7.387,1.733,1.1978,0.0997,0.9256
<10,Diwopu-PL,11919,8,7.387,1.7036,1.204,0.2982,0.9292
10-<12,Official,8882,8,10.566,1.6915,1.1258,-0.1196,0.9252
10-<12,Diwopu-PL,8882,8,10.566,1.6369,1.1205,0.1688,0.9285
12-<13,Official,3588,8,12.0,1.7073,1.1136,-0.3516,0.935
12-<13,Diwopu-PL,3588,8,12.0,1.6052,1.08,-0.0281,0.9378
13-<14,Official,1938,8,13.0,1.9055,1.2689,-0.3408,0.9239
13-<14,Diwopu-PL,1938,8,13.0,1.756,1.2308,0.0062,0.9306
14-<14.5,Official,1343,8,14.0,1.8986,1.3352,-0.305,0.9201
14-<14.5,Diwopu-PL,1343,8,14.0,1.8263,1.3406,0.0498,0.9206
14.5-<16,Official,792,8,15.0,2.8085,1.8004,-0.1594,0.8404
14.5-<16,Diwopu-PL,792,8,15.0,2.6359,1.7833,0.2326,0.8517
16-<18,Official,528,6,16.318,3.5546,2.4115,-0.3865,0.731
16-<18,Diwopu-PL,528,6,16.318,3.2506,2.2769,0.0266,0.7561
18-<20,Official,23,1,19.0,6.624,5.9165,-1.116,0.169
18-<20,Diwopu-PL,23,1,19.0,5.8147,5.0663,-0.5075,0.2548
>=20,Official,95,3,20.253,5.1051,3.596,-0.9872,0.5442
>=20,Diwopu-PL,95,3,20.253,4.5086,2.9822,-0.4915,0.5953
