phase,dtr_bin,n_cal,n_val,mean_dtr_cal,p_opt_cal,cal_rmse_p1,cal_rmse_p,val_rmse_p1,val_rmse_p,val_bias_p,val_r2_p
day,<10,12941,6938,7.464,1.2787,1.7974,1.7606,1.7124,1.6668,0.3429,0.9346
day,10-<12,10251,5125,10.52,0.9903,1.4521,1.4519,1.631,1.6332,0.3769,0.9263
day,12-<13,5336,2092,12.0,0.9398,1.5452,1.538,1.4804,1.4792,0.2295,0.9405
day,13-<14,3685,1129,13.0,0.9509,1.5943,1.5889,1.5254,1.5251,0.2628,0.9422
day,14-<14.5,1864,804,14.0,0.91,1.9678,1.9506,1.7067,1.7256,0.4398,0.9237
day,14.5-<16,768,466,15.0,0.8656,2.088,2.0462,2.3051,2.3421,0.7699,0.8707
day,16-<18,547,317,16.199,0.8268,3.0646,3.0118,2.8863,2.9299,0.9315,0.7714
day,18-<20,109,14,18.367,0.7358,2.3563,2.1153,5.2925,5.0122,1.0928,0.1773
pre,<10,8266,4314,7.467,1.2707,1.817,1.7747,1.7236,1.6566,0.3484,0.9355
pre,10-<12,6546,3191,10.521,1.0147,1.421,1.4206,1.5905,1.5839,0.4951,0.9358
pre,12-<13,3446,1296,12.0,0.9605,1.5243,1.5204,1.3984,1.4093,0.4215,0.9515
pre,13-<14,2387,704,13.0,0.9712,1.5756,1.5733,1.5076,1.5132,0.3949,0.9481
pre,14-<14.5,1212,496,14.0,0.9244,1.9349,1.9194,1.5498,1.6076,0.7567,0.9468
pre,14.5-<16,497,290,15.0,0.8351,1.9815,1.8909,2.0337,2.1251,1.0563,0.9144
pre,16-<18,360,197,16.211,0.7636,2.8315,2.675,2.512,2.5498,0.976,0.8421
pre,18-<20,71,9,18.366,0.7187,2.4305,2.0614,4.3826,3.192,-1.7974,0.9357
post,<10,4675,2624,7.461,1.3025,1.7623,1.7351,1.6939,1.6856,0.3322,0.9277
post,10-<12,3705,1934,10.517,0.8812,1.5054,1.4945,1.6957,1.6818,0.219,0.8923
post,12-<13,1890,796,12.0,0.8365,1.5825,1.5571,1.6048,1.5314,-0.032,0.9096
post,13-<14,1298,425,13.0,0.8515,1.6281,1.6042,1.5543,1.5046,0.0914,0.9157
post,14-<14.5,652,308,14.0,0.8353,2.0276,2.0003,1.9328,1.8452,-0.0237,0.8573
post,14.5-<16,271,176,15.0,1.0332,2.2704,2.2693,2.6933,2.6958,0.1983,0.7166
post,16-<18,187,120,16.176,1.2525,3.4695,3.4273,3.4131,3.3432,0.5238,0.5599
