date,year,dtr,dtrplus,srad,clear_srad,clearness,rmse,bias,aft_rmse,aft_bias
2000-05-01,2000,10.0,0,25.1,26.58,0.9443190368698271,0.8452880448100295,0.017720590036541434,1.0642095793497108,-0.9498079743005174
2000-05-02,2000,7.0,0,18.97,26.39,0.7188328912466843,1.4497035822454643,-0.518535592823209,0.4990709220470766,-0.19484249487810187
2000-05-03,2000,9.0,0,15.46,26.07,0.5930187955504411,1.1802338699644417,-0.6317632514405622,0.614762178601711,-0.4127278196707002
2000-05-04,2000,13.0,0.1999999999999993,23.88,27.0,0.8844444444444444,1.4830580712714898,-0.8553060354561753,1.7722785411547934,-1.5154686484138977
2000-05-05,2000,16.0,3.1999999999999993,27.34,28.34,0.9647141848976711,2.1369946646540683,-0.4039289823612184,0.9630019030465234,-0.7549719072577551
2000-05-06,2000,9.0,0,7.43,26.24,0.28315548780487804,4.12671152296525,1.0895280211107143,2.6819325194405352,2.4341321348515943
2000-05-07,2000,14.0,1.1999999999999993,26.3,27.85,0.9443447037701974,2.004151979912186,-0.38201205837578794,1.887343829637793,-1.187960806183561
2000-05-08,2000,14.0,1.1999999999999993,18.96,27.67,0.6852186483556197,0.7833615289959662,-0.05515135215884761,0.7991347627087534,0.010482326569135836
2000-05-09,2000,19.0,6.199999999999999,22.18,28.31,0.7834687389614977,1.3493452559315027,0.2843855850254677,1.096204525219427,0.03831625341256739
2000-05-10,2000,11.0,0,27.93,28.75,0.9714782608695652,1.3786684843720727,0.2709585264281268,1.3167182230756311,-1.0948578867830694
2000-05-11,2000,14.0,1.1999999999999993,18.23,28.39,0.6421275096865093,2.558660749380268,0.6843979262714757,2.961275949419625,1.007689404208073
2000-05-12,2000,7.0,0,15.91,28.78,0.5528144544822794,1.7480244515320416,0.40765178396376706,2.4170339496426414,1.8408678715602644
2000-05-13,2000,8.0,0,23.91,29.03,0.8236307268343093,1.3521369084389132,0.43561006940409763,1.0400176508124277,-0.8442182399072511
2000-05-14,2000,10.0,0,16.32,28.5,0.5726315789473684,2.344951876627584,0.5998681530413282,1.4405916161902759,-1.2166499404358355
2000-05-15,2000,13.0,0.1999999999999993,27.65,29.52,0.9366531165311652,1.5265904598307123,-0.2300709619381949,1.7354660000497384,-1.0335047098100076
2000-05-16,2000,12.0,0,28.02,29.13,0.9618949536560247,1.0655902078339814,0.2953831599543717,1.396250610386881,-1.0804709012461113
2000-05-17,2000,17.0,4.199999999999999,26.75,29.04,0.9211432506887053,2.327324386572449,-0.7602606496745825,2.3109662376357623,-2.048487702907469
2000-05-18,2000,12.0,0,28.98,29.73,0.9747729566094854,1.6135702989753555,1.0719179919353046,1.468490548988527,0.1890540219151191
2000-05-19,2000,9.0,0,26.91,29.01,0.9276111685625645,0.8714525218300478,0.09664421561509062,0.5755843942809059,-0.33733507472874
2000-05-20,2000,11.0,0,20.85,29.16,0.7150205761316872,1.067920180034946,0.5689799493043761,0.7937868178771876,-0.03611956192818629
2000-05-21,2000,15.0,2.1999999999999993,23.77,30.09,0.7899634430043203,1.950271410233546,-0.6437853996715053,0.9747680366768885,-0.601792916217151
2000-05-22,2000,12.0,0,12.69,29.11,0.4359326691858468,5.569949361639233,2.8304423988634944,4.7697116531183,4.660940943382103
2000-05-23,2000,6.0,0,6.42,29.23,0.2196373588778652,0.8806128262432052,-0.18819729769494117,0.40635203065271336,0.06577481307576072
2000-05-24,2000,13.0,0.1999999999999993,28.33,31.06,0.912105602060528,1.2144275162461617,-0.4429979714073351,1.4211599105501067,-1.044865305946767
2000-05-25,2000,13.0,0.1999999999999993,26.88,29.85,0.900502512562814,1.1727074315425865,0.3046711667992709,0.399208182703025,0.2953669931140433
2000-05-26,2000,7.0,0,17.48,29.57,0.5911396685830234,1.7701287657730809,0.4072831200715556,2.0004782484802672,1.7267693599543612
2000-05-27,2000,12.0,0,19.64,29.67,0.661948095719582,2.049864128594865,-0.23162837457658125,1.0128642897439117,-0.6763734612853559
2000-05-28,2000,10.0,0,26.87,31.32,0.8579182630906769,1.103776210917409,0.1955399209165091,1.2149349682006803,-0.8083107482492379
2000-05-29,2000,11.0,0,21.74,30.72,0.7076822916666666,1.5212684946504278,-0.6451972919420232,1.4284174683464823,-1.1503274620950468
2000-05-30,2000,10.0,0,18.42,30.66,0.6007827788649707,0.8189732375175732,-0.3095006938564015,0.44592624660996866,0.20194007447138893
2000-05-31,2000,12.0,0,24.72,31.64,0.7812895069532237,0.947936651469606,0.035298748301572015,0.8983870159745935,-0.6517756005860207
2000-06-01,2000,8.0,0,20.67,30.46,0.6785948785292187,2.0062670669013447,0.34551344463106065,0.35310362005852436,-0.26386512815635044
2000-06-02,2000,9.0,0,14.57,31.06,0.4690920798454604,3.0684002976853626,0.6882664075329475,4.519509009322396,4.2285271538629905
2000-06-03,2000,10.0,0,21.66,30.57,0.7085377821393523,0.972241050636357,0.03146659655926887,1.3364971992512307,-1.1115527359098138
2000-06-04,2000,7.0,0,7.97,31.04,0.25676546391752575,1.2453594290916303,0.09473976103145176,0.6828308778738479,-0.5747626666804487
2000-06-05,2000,10.0,0,19.73,31.33,0.6297478455154805,0.5690026786310848,0.12214527284018248,0.690608808845574,-0.2688725989732023
2000-06-06,2000,13.0,0.1999999999999993,29.56,31.11,0.9501767920282868,1.4273703940522575,0.5628414812266821,1.0241338608991148,-0.7934828452318943
2000-06-07,2000,14.0,1.1999999999999993,30.16,31.99,0.9427946233197875,1.3393489159388077,-0.8667219111086947,1.6806274350602926,-0.9636036490743857
2000-06-08,2000,17.0,4.199999999999999,30.6,31.85,0.9607535321821036,1.3992347680247927,-0.2658345061406258,0.8200295149090145,0.34920143259796116
2000-06-09,2000,10.0,0,14.94,29.77,0.5018474974806852,2.6737739605461983,0.2536024873931451,2.4620419486572565,2.08215024899657
2000-06-10,2000,6.0,0,10.63,30.25,0.35140495867768595,1.5795459552305722,0.13653194724438164,1.3746199551185083,1.285167050931755
2000-06-11,2000,4.0,0,6.18,30.21,0.2045680238331678,2.2328171423213674,0.316285858165156,2.1312321254950244,1.8450956919812511
2000-06-12,2000,7.0,0,8.78,30.17,0.29101756711965526,1.4560091885963162,0.6474788437212956,1.0543599485001989,-0.383926829853299
2000-06-13,2000,11.0,0,29.37,31.95,0.9192488262910798,1.035470759012981,-0.18950130146572422,1.4680087672112485,-1.24203467905702
2000-06-14,2000,12.0,0,30.2,31.32,0.9642401021711366,1.0104002769560179,-0.38722443158655934,1.5196132282762393,-1.2445673966143918
2000-06-15,2000,9.0,0,28.89,31.98,0.9033771106941839,1.063742708583639,0.3770375571336822,1.038912359931887,-0.721812146444277
2000-06-16,2000,14.0,1.1999999999999993,30.28,31.54,0.9600507292327204,1.479644572212085,-0.44945678920413884,1.322605280512293,-0.9145290215795919
2000-06-17,2000,11.0,0,24.53,31.56,0.7772496831432193,1.3440024414763152,-0.38634987265442094,0.7014003222916061,0.6065224032435518
2000-06-18,2000,7.0,0,12.94,30.19,0.42861874792977805,2.8201361838950896,0.9009547515182398,1.3648758644700387,0.7971260625027785
2000-06-19,2000,14.0,1.1999999999999993,31.08,32.32,0.9616336633663366,1.9266512645551443,-0.9061013613830896,1.6372643954557893,-1.4015534328648858
2000-06-20,2000,12.0,0,21.08,31.07,0.6784679755391052,0.8172345664191597,0.19957376063440227,0.9562805803571738,0.44492652015222056
2000-06-21,2000,10.0,0,24.16,31.22,0.7738629083920564,0.6782693843893361,0.13845773046373866,0.6465873665758379,-0.21009421871772757
2000-06-22,2000,8.0,0,17.18,31.1,0.5524115755627009,1.4562998517211427,0.41052068480271303,0.6271477225440125,-0.03273274664123823
2000-06-23,2000,9.0,0,13.44,31.05,0.4328502415458937,1.4239512035959265,0.8781260877522437,0.8767229565732848,0.13177375005400785
2000-06-24,2000,11.0,0,28.84,31.92,0.9035087719298245,0.9770048136247009,-0.18670910490232093,1.3100816458408842,-1.040236032697002
