solar_hour,model,n,rmse,mae,bias,r2
0,Official,55,3.0567563499529813,2.0473816760071166,-0.4775003767335906,0.6216198327764533
0,Diwopu-PL,55,3.020776676399841,2.3900489844368646,0.24538891571242183,0.6227077971566399
1,Official,55,3.2408212333962063,1.955020032655237,-1.003694707151937,0.6301345941787875
1,Diwopu-PL,55,3.0948817094961534,2.161420268087155,-0.3569410070699349,0.631301779710789
2,Official,55,3.3754066117035273,2.0229584752960297,-1.2381826196654544,0.6084929867101716
2,Diwopu-PL,55,3.221036813504626,2.054187055142109,-0.7601898988199904,0.6101744354358924
3,Official,55,3.4346619703598105,2.110723998268936,-1.5107494088646465,0.6267273971141837
3,Diwopu-PL,55,3.332621699393822,2.0871794871618135,-1.2709392413297664,0.6270802079107477
4,Official,55,3.321678661667524,1.9282326949086201,-1.4018317541406051,0.6485749910685281
4,Diwopu-PL,55,3.332958521566618,1.9237104389350905,-1.4468590877866019,0.6501690124786116
5,Official,55,3.7016213841002465,2.5580920352312817,-2.4797297146245936,0.6945339615792236
5,Diwopu-PL,55,3.086889184398286,1.8311766240473952,-1.4978790542783067,0.7069103165098153
6,Official,55,3.8280851705051298,2.9097300799586234,-2.886785411424551,0.7211804252053995
6,Diwopu-PL,55,2.779766120286772,1.7795743548734477,-0.9817080345866334,0.7086819509268668
7,Official,55,3.7097184699064285,2.92714318483262,-2.9024891905433043,0.7694338245070469
7,Diwopu-PL,55,2.506771204710254,1.5736198183810062,-0.9363188579408748,0.7663034726829575
8,Official,55,2.7934288960909033,2.1694805643920865,-2.086624945032448,0.8454504950758885
8,Diwopu-PL,55,1.8289383234073797,1.448760577285941,-0.20192510538945738,0.8501850017386264
9,Official,55,1.9130168066949682,1.5602212283213355,-1.116672431922682,0.8877371427527636
9,Diwopu-PL,55,1.6207476593243095,1.3440926661373822,0.5985283831836474,0.8935681592852441
10,Official,55,1.5451553897335113,1.2997927191544456,-0.3647630837882556,0.8955121737764201
10,Diwopu-PL,55,1.847606168711552,1.4955498154444773,1.120309524558612,0.8998680491128034
11,Official,55,1.3299027040210494,1.0811462582539864,0.28199133518124614,0.917641917330599
11,Diwopu-PL,55,1.971030499708664,1.6616369323399227,1.482857575246481,0.9176957499881137
12,Official,55,1.3461482762526136,1.0950095153191708,0.6901364664626902,0.9394676547120537
12,Diwopu-PL,55,1.9573479964889675,1.6589007934959135,1.5547188484634504,0.9361669625837417
13,Official,55,1.754712120047259,1.0547584491300521,0.7697681765810883,0.8941016299742442
13,Diwopu-PL,55,2.053002022312619,1.3218408385510643,1.2621519186701677,0.8882080866722836
14,Official,55,2.241406310405167,1.0055273973942773,0.8976060541477006,0.8438837172628393
14,Diwopu-PL,55,2.2943900775024564,1.0005392731853788,0.9843729094859444,0.8407174066589745
15,Official,55,2.8214105192708545,1.2549980754939942,1.2251536443229203,0.7470546929992005
15,Diwopu-PL,55,2.6971898893055575,1.2477054071204645,0.885493514663086,0.7457606770975825
16,Official,55,3.298854817264289,1.67861839500467,1.4256957845542515,0.67506362880293
16,Diwopu-PL,55,3.0335674986189924,1.5514152304378357,0.6589230551711422,0.6780843005154531
17,Official,55,3.507358989627544,1.9063938110224965,1.4776581141832401,0.6088211716217605
17,Diwopu-PL,55,3.1756441093644296,2.097402735583304,0.292460909791233,0.6140096497890389
18,Official,55,4.1049059079303625,2.4747900743041784,1.7928190173049616,0.5098638416294312
18,Diwopu-PL,55,3.6928152663133695,2.7676759964069637,0.2268877440707018,0.5129045596047416
19,Official,55,4.250264867875514,2.67714826241956,2.018310704560977,0.4614529699578163
19,Diwopu-PL,55,3.8129737856800228,2.969749042422482,0.4128537011211398,0.445844671990639
20,Official,55,3.685402974453567,2.6543948089957903,1.4062269961086593,0.53344404817435
20,Diwopu-PL,55,3.509693977851704,2.715281302866232,0.7135956176227896,0.5213105802480166
21,Official,55,3.369147965517732,2.720927683322989,0.5537246921921631,0.5418418137105563
21,Diwopu-PL,55,3.3834647306944556,2.7267716871347845,0.5731677545584378,0.5355044068085092
22,Official,55,3.278828437707616,2.9059655400888724,-0.2418903513787024,0.5565604928425473
22,Diwopu-PL,55,3.2804590189254745,2.835085045046612,0.21149387787575924,0.5536432033416951
23,Official,55,3.3784563016515503,3.0776350942117596,-0.8343584625857886,0.5447599718009274
23,Diwopu-PL,55,3.286963082923399,2.893270413030937,-0.16049174586759057,0.540933559652817
