solar_hour,model,n,rmse,mae,bias,r2
0,Official,55,3.0568,2.0474,-0.4775,0.6216
0,Single_Diwopu_PL,55,3.0208,2.39,0.2454,0.6227
0,DTR_Regime_PL,55,3.0285,2.4347,0.3375,0.6229
1,Official,55,3.2408,1.955,-1.0037,0.6301
1,Single_Diwopu_PL,55,3.0949,2.1614,-0.3569,0.6313
1,DTR_Regime_PL,55,3.089,2.1797,-0.309,0.6314
2,Official,55,3.3754,2.023,-1.2382,0.6085
2,Single_Diwopu_PL,55,3.221,2.0542,-0.7602,0.6102
2,DTR_Regime_PL,55,3.2212,2.0569,-0.7644,0.6103
3,Official,55,3.4347,2.1107,-1.5107,0.6267
3,Single_Diwopu_PL,55,3.3326,2.0872,-1.2709,0.6271
3,DTR_Regime_PL,55,3.358,2.0905,-1.3346,0.6269
4,Official,55,3.3217,1.9282,-1.4018,0.6486
4,Single_Diwopu_PL,55,3.333,1.9237,-1.4469,0.6502
4,DTR_Regime_PL,55,3.3906,1.9176,-1.5754,0.6501
5,Official,55,3.7016,2.5581,-2.4797,0.6945
5,Single_Diwopu_PL,55,3.0869,1.8312,-1.4979,0.7069
5,DTR_Regime_PL,55,2.9075,1.7691,-1.0115,0.7012
6,Official,55,3.8281,2.9097,-2.8868,0.7212
6,Single_Diwopu_PL,55,2.7798,1.7796,-0.9817,0.7087
6,DTR_Regime_PL,55,2.6838,1.8116,-0.4943,0.7029
7,Official,55,3.7097,2.9271,-2.9025,0.7694
7,Single_Diwopu_PL,55,2.5068,1.5736,-0.9363,0.7663
7,DTR_Regime_PL,55,2.3661,1.5054,-0.4961,0.7675
8,Official,55,2.7934,2.1695,-2.0866,0.8455
8,Single_Diwopu_PL,55,1.8289,1.4488,-0.2019,0.8502
8,DTR_Regime_PL,55,1.8113,1.4509,0.1533,0.8518
9,Official,55,1.913,1.5602,-1.1167,0.8877
9,Single_Diwopu_PL,55,1.6207,1.3441,0.5985,0.8936
9,DTR_Regime_PL,55,1.7293,1.4088,0.8687,0.8949
10,Official,55,1.5452,1.2998,-0.3648,0.8955
10,Single_Diwopu_PL,55,1.8476,1.4955,1.1203,0.8999
10,DTR_Regime_PL,55,1.9643,1.5858,1.3101,0.9006
11,Official,55,1.3299,1.0811,0.282,0.9176
11,Single_Diwopu_PL,55,1.971,1.6616,1.4829,0.9177
11,DTR_Regime_PL,55,2.0627,1.7489,1.602,0.9176
12,Official,55,1.3461,1.095,0.6901,0.9395
12,Single_Diwopu_PL,55,1.9573,1.6589,1.5547,0.9362
12,DTR_Regime_PL,55,2.0086,1.7111,1.6157,0.9357
13,Official,55,1.7547,1.0548,0.7698,0.8941
13,Single_Diwopu_PL,55,2.053,1.3218,1.2622,0.8882
13,DTR_Regime_PL,55,2.0674,1.3327,1.2816,0.8878
14,Official,55,2.2414,1.0055,0.8976,0.8439
14,Single_Diwopu_PL,55,2.2944,1.0005,0.9844,0.8407
14,DTR_Regime_PL,55,2.293,1.0007,0.9801,0.8406
15,Official,55,2.8214,1.255,1.2252,0.7471
15,Single_Diwopu_PL,55,2.6972,1.2477,0.8855,0.7458
15,DTR_Regime_PL,55,2.6941,1.2472,0.8766,0.7458
16,Official,55,3.2989,1.6786,1.4257,0.6751
16,Single_Diwopu_PL,55,3.0336,1.5514,0.6589,0.6781
16,DTR_Regime_PL,55,3.0348,1.5497,0.6642,0.6781
17,Official,55,3.5074,1.9064,1.4777,0.6088
17,Single_Diwopu_PL,55,3.1756,2.0974,0.2925,0.614
17,DTR_Regime_PL,55,3.18,2.0831,0.3291,0.6138
18,Official,55,4.1049,2.4748,1.7928,0.5099
18,Single_Diwopu_PL,55,3.6928,2.7677,0.2269,0.5129
18,DTR_Regime_PL,55,3.7002,2.744,0.309,0.5124
19,Official,55,4.2503,2.6771,2.0183,0.4615
19,Single_Diwopu_PL,55,3.813,2.9697,0.4129,0.4458
19,DTR_Regime_PL,55,3.829,2.9338,0.5443,0.4456
20,Official,55,3.6854,2.6544,1.4062,0.5334
20,Single_Diwopu_PL,55,3.5097,2.7153,0.7136,0.5213
20,DTR_Regime_PL,55,3.5451,2.7056,0.8695,0.5211
21,Official,55,3.3691,2.7209,0.5537,0.5418
21,Single_Diwopu_PL,55,3.3835,2.7268,0.5732,0.5355
21,DTR_Regime_PL,55,3.4149,2.6837,0.7337,0.5353
22,Official,55,3.2788,2.906,-0.2419,0.5566
22,Single_Diwopu_PL,55,3.2805,2.8351,0.2115,0.5536
22,DTR_Regime_PL,55,3.2942,2.8166,0.3618,0.5534
23,Official,55,3.3785,3.0776,-0.8344,0.5448
23,Single_Diwopu_PL,55,3.287,2.8933,-0.1605,0.5409
23,DTR_Regime_PL,55,3.2846,2.8607,-0.034,0.5405
