year,status,bytes,valid_temp,error
2000,OK,2886202,8480,
2001,OK,2864554,8379,
2002,OK,2814304,7598,
2003,OK,2787868,7674,
2004,OK,2800534,7691,
2005,OK,2756053,8718,
2006,OK,2687941,8712,
2007,OK,2684930,8660,
2008,OK,4120741,13401,
2009,OK,5410187,17347,
2010,OK,5449850,17394,
2011,OK,5467664,17383,
2012,OK,5402438,17389,
2013,OK,5402631,17441,
2014,OK,5454365,17441,
2015,OK,5534519,17494,
2016,OK,5609752,17470,
2017,OK,5554736,17455,
2018,OK,5384281,17367,
2019,OK,5575050,17457,
2020,OK,5370271,17484,
2021,OK,5419049,17261,
2022,OK,5430503,17397,
2023,OK,5383635,17309,
2024,OK,5454159,17049,
