year,days_with_temp,median_distinct_hours,days_ge20h,days_12_19h,days_8_11h,max_hours_day
2000,365,24,355,9,0,24
2001,365,23,353,12,0,24
2002,363,23,272,64,19,24
2003,364,23.0,278,60,19,24
2004,365,23,285,51,14,24
2005,365,24,363,2,0,24
2006,365,24,364,1,0,24
2007,365,24,360,4,1,24
2008,366,24.0,366,0,0,24
2009,365,24,363,2,0,24
2010,365,24,365,0,0,24
2011,365,24,365,0,0,24
2012,366,24.0,365,0,1,24
2013,365,24,365,0,0,24
2014,365,24,364,1,0,24
2015,365,24,365,0,0,24
2016,366,24.0,365,1,0,24
2017,365,24,363,2,0,24
2018,365,24,361,3,1,24
2019,365,24,363,2,0,24
2020,366,24.0,364,2,0,24
2021,362,24.0,359,1,0,24
2022,365,24,363,2,0,24
2023,365,24,363,2,0,24
2024,359,24,344,9,1,24
