replicate,beta,year_blocks,n_anchor_observations
1,1.1274637463276505,17,2579
2,1.2397383308727274,17,2582
3,1.0715195125480443,17,2559
4,1.1044968795060375,17,2568
5,1.2375315160120086,17,2542
6,1.0837149158602515,17,2540
7,1.0039480653242006,17,2550
8,0.9901611355343345,17,2537
9,1.051113298516055,17,2532
10,1.156874266117605,17,2558
11,1.1627610049353372,17,2579
12,1.134501937714873,17,2562
13,1.1337078779117125,17,2560
14,1.038805286438135,17,2552
15,1.1319974141737141,17,2585
16,1.1987561329826493,17,2574
17,1.0864501304650114,17,2562
18,1.0914504172904116,17,2538
19,0.9696998442833795,17,2585
20,1.1230919036154978,17,2557
21,1.1918023367049837,17,2559
22,1.2447991017430253,17,2570
23,1.1472693153093254,17,2559
24,1.0513489991915503,17,2531
25,1.1178419201278134,17,2545
26,1.129639542411305,17,2578
27,1.0758613116840443,17,2579
28,1.2091247773576943,17,2560
29,1.0377712690804006,17,2581
30,1.054670221346963,17,2570
31,1.1763793826626596,17,2577
32,1.1188938439365455,17,2581
33,1.056544955476741,17,2568
34,1.088398580670647,17,2547
35,1.1887771031724537,17,2584
36,1.1064381144831652,17,2586
37,1.0739818003048827,17,2556
38,1.0754998408959906,17,2547
39,1.3517131234293882,17,2572
40,1.0727307092519653,17,2573
41,1.1790064104127491,17,2560
42,1.0174852174958728,17,2576
43,1.1248380535107523,17,2574
44,1.0766564959201168,17,2563
45,1.0604945265892027,17,2566
46,1.078077099110143,17,2551
47,1.0147020438135594,17,2532
48,1.1081632285157372,17,2561
49,1.1550144368092976,17,2557
50,1.0936520223849688,17,2570
51,1.0891886653192335,17,2565
52,1.1530104493618167,17,2555
53,1.0578633136156808,17,2548
54,1.073269114627795,17,2555
55,1.0701090458503857,17,2573
56,1.0443541739408158,17,2545
57,1.106047937691171,17,2566
58,1.0429949678094914,17,2565
59,1.243890904430774,17,2572
60,1.060764115662466,17,2553
61,1.094779081722295,17,2583
62,1.0481779725045006,17,2569
63,1.0213053718419531,17,2577
64,1.0567770680125663,17,2566
65,1.1306249415021892,17,2566
66,1.2591378533280526,17,2579
67,1.085956924430507,17,2552
68,1.112430985026877,17,2580
69,1.149619271282527,17,2555
70,1.1014625643789255,17,2578
71,1.061914143994472,17,2547
72,1.1087671822822782,17,2564
