model,split,group,days,n,RMSE_C,MAE_C,Bias_C
HTEMP_ORIGINAL,calibration_2000_2016,MaySep,2119,16803,2.4388795931988603,1.4735367146882044,0.44857363477816625
HTEMP_ORIGINAL,calibration_2000_2016,DTR_GE15,87,689,5.735873067172506,3.6601290578340375,1.5536315184627183
HTEMP_ORIGINAL,calibration_2000_2016,Day,2119,10240,2.6075188065542863,1.4975518499793385,0.7862350230340296
HTEMP_ORIGINAL,calibration_2000_2016,Night,2119,6563,2.149492594695251,1.4360668098609586,-0.07826662360063016
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,MaySep,748,5917,2.946890233317634,1.9135321758142145,0.33682363261987763
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,DTR_GE15,122,967,5.14093113938342,3.7827939150883156,1.2352363070699295
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,Day,748,3611,3.2715960648451827,2.044020281756721,0.8423488970008238
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,Night,748,2306,2.3499573876534874,1.709198892831391,-0.45478596394542903
M15_13P5,calibration_2000_2016,MaySep,2119,16803,2.3845901630392476,1.4576128530267332,0.3959460095794758
M15_13P5,calibration_2000_2016,DTR_GE15,87,689,5.204265769563824,3.3052965133454295,0.5553146912792876
M15_13P5,calibration_2000_2016,Day,2119,10240,2.5387639387723757,1.4770693592576247,0.7596338503969224
M15_13P5,calibration_2000_2016,Night,2119,6563,2.12177992607419,1.4272556042374103,-0.17150233568498463
M15_13P5,legacy_benchmark_2017_2024,MaySep,748,5917,2.7962235463186444,1.8405880001994794,0.122533744673019
M15_13P5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.651515990124515,3.3803513935723064,0.09319948162440535
M15_13P5,legacy_benchmark_2017_2024,Day,748,3611,3.0903645195461125,1.9694636986999823,0.7388926188749214
M15_13P5,legacy_benchmark_2017_2024,Night,748,2306,2.259978993444472,1.638779610223193,-0.8426318644957018
M15_13P8,calibration_2000_2016,MaySep,2119,16803,2.3870267432694416,1.4580689670921725,0.40209769484871244
M15_13P8,calibration_2000_2016,DTR_GE15,87,689,5.209218825687424,3.303314061747912,0.5936963136266017
M15_13P8,calibration_2000_2016,Day,2119,10240,2.542859539273266,1.4787847224728872,0.7627977149166434
M15_13P8,calibration_2000_2016,Night,2119,6563,2.1211421720440673,1.4257469596110635,-0.16068886701257257
M15_13P8,legacy_benchmark_2017_2024,MaySep,748,5917,2.8015486281146225,1.8415830966961764,0.13969398072754502
M15_13P8,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.652874235739766,3.376177320800169,0.1401438141172173
M15_13P8,legacy_benchmark_2017_2024,Day,748,3611,3.0997369538560844,1.9742801434484838,0.7472742572730536
M15_13P8,legacy_benchmark_2017_2024,Night,748,2306,2.256799225922754,1.6337908001555936,-0.811725090653995
REG_POOLED_Q0,calibration_2000_2016,MaySep,2119,16803,2.3630535181171193,1.4604724671840417,0.3070081518033531
REG_POOLED_Q0,calibration_2000_2016,DTR_GE15,87,689,5.2212563198603785,3.3256776203980913,0.4896226281020789
REG_POOLED_Q0,calibration_2000_2016,Day,2119,10240,2.499387121504201,1.4592333562292255,0.7148485552269637
REG_POOLED_Q0,calibration_2000_2016,Night,2119,6563,2.133003111203411,1.462405805013894,-0.3293297624215093
REG_POOLED_Q0,legacy_benchmark_2017_2024,MaySep,748,5917,2.7686742709655796,1.83851936759645,-0.02700239044831119
REG_POOLED_Q0,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.668021529159709,3.3879531870035207,0.05295522097436889
REG_POOLED_Q0,legacy_benchmark_2017_2024,Day,748,3611,3.040536061604647,1.9418113126546312,0.6665269110947613
REG_POOLED_Q0,legacy_benchmark_2017_2024,Night,748,2306,2.278706653873279,1.676772961002741,-1.1130103296816305
REG_POOLED_Q0.5,calibration_2000_2016,MaySep,2119,16803,2.3731011204939443,1.4592746686269096,0.34792908116698024
REG_POOLED_Q0.5,calibration_2000_2016,DTR_GE15,87,689,5.221058272372859,3.3319482384600754,0.46642298968962365
REG_POOLED_Q0.5,calibration_2000_2016,Day,2119,10240,2.515897818414329,1.4675665559292876,0.7347891066831039
REG_POOLED_Q0.5,calibration_2000_2016,Night,2119,6563,2.131276292160295,1.4463371513365921,-0.2556739450839883
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,MaySep,748,5917,2.7805048523550044,1.8403551982270876,0.03208648609090442
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.673576735861317,3.398035002916446,0.009713922851055943
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,Day,748,3611,3.059424615853334,1.9549987857692928,0.6946792670854363
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,Night,748,2306,2.276078321715057,1.660833084343782,-1.0054774914334903
REG_POOLED_Q1,calibration_2000_2016,MaySep,2119,16803,2.383412512670358,1.4576117998659088,0.3893295164531107
REG_POOLED_Q1,calibration_2000_2016,DTR_GE15,87,689,5.2185687972458314,3.3072163886130013,0.5638131755401031
REG_POOLED_Q1,calibration_2000_2016,Day,2119,10240,2.537669585978478,1.4767449860575594,0.7561145917684179
REG_POOLED_Q1,calibration_2000_2016,Night,2119,6563,2.120434383505217,1.427759015071988,-0.182951326336581
REG_POOLED_Q1,legacy_benchmark_2017_2024,MaySep,748,5917,2.7959879403666545,1.8400166524736132,0.1134498435696836
REG_POOLED_Q1,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.6666531767454495,3.3807464641785043,0.11364200841845516
REG_POOLED_Q1,legacy_benchmark_2017_2024,Day,748,3611,3.0933669525687244,1.9720899977283473,0.733472478878197
REG_POOLED_Q1,legacy_benchmark_2017_2024,Night,748,2306,2.252787418964899,1.633201019466308,-0.8574529040881835
REG_SEASONAL_Q0,calibration_2000_2016,MaySep,2119,16803,2.362984131159553,1.4603641386754962,0.30617682262339807
REG_SEASONAL_Q0,calibration_2000_2016,DTR_GE15,87,689,5.219397296867394,3.320249883733291,0.4915785749876005
REG_SEASONAL_Q0,calibration_2000_2016,Day,2119,10240,2.4998234251301232,1.4591005679785085,0.715370808333137
