arm,DTRc_C,alpha,split,n_days,raw_sunset_RMSE_C,corrected_sunset_RMSE_C,corrected_sunset_bias_C
T13P0,13.0,5.603868885111006,dense_cal_2000_2016,241,3.5135447006346494,2.5574767625886423,0.32829802935642327
T13P0,13.0,5.603868885111006,dense_val_2017_2024,115,3.6056797417977777,2.6467450368015033,-0.22001477984573836
T13P5,13.5,6.407985379809223,dense_cal_2000_2016,241,3.5135447006346494,2.6729439812406084,0.5808182089972941
T13P5,13.5,6.407985379809223,dense_val_2017_2024,115,3.6056797417977777,2.7101492615939726,-0.0022562318210466374
T13P8,13.8,6.749813473189908,dense_cal_2000_2016,241,3.5135447006346494,2.788422581535587,0.8109353352063059
T13P8,13.8,6.749813473189908,dense_val_2017_2024,115,3.6056797417977777,2.7735612205785913,0.21160728821861283
T14P0,14.0,6.805081570269362,dense_cal_2000_2016,106,4.233451854692685,2.972392942909859,0.5039800282505863
T14P0,14.0,6.805081570269362,dense_val_2017_2024,59,4.536053544654327,3.295704332161543,0.22088522134397062
T14P8,14.8,7.809408336409373,dense_cal_2000_2016,106,4.233451854692685,3.3813489293483507,1.1683674794857644
T14P8,14.8,7.809408336409373,dense_val_2017_2024,59,4.536053544654327,3.72519358574638,0.9139993949340726
