scenario,arm,DTRc_C,ALL8_RRMSE_pct,relative_improvement_vs_H0TT_pct,RRMSE_change_vs_T14P8_pp,abs_error_wins_vs_H0TT,abs_error_wins_vs_T14P8
RAW_N_OFF,T13P0,13.0,44.84559786167699,-11.301000270304769,2.578057771522616,0,0
RAW_N_OFF,T13P5,13.5,44.82612895377633,-11.25268094740941,2.5585888636219565,0,0
RAW_N_OFF,T13P8,13.8,44.81071960130575,-11.214436918446216,2.543179511151372,0,0
RAW_N_OFF,T14P0,14.0,44.79928734407625,-11.186063527842403,2.5317472539218713,0,0
RAW_N_OFF,T14P8,14.8,42.26754009015438,-4.902592792046883,0.0,0,0
SRAD19P8_N_OFF,T13P0,13.0,25.53227648069218,5.13636981209477,0.49461441010140916,6,2
SRAD19P8_N_OFF,T13P5,13.5,25.497365140494637,5.2660807866868025,0.4597030699038669,6,2
SRAD19P8_N_OFF,T13P8,13.8,24.012204181427922,10.784106572478386,-1.0254578891628476,6,6
SRAD19P8_N_OFF,T14P0,14.0,24.28811027563458,9.758994154194715,-0.7495517949561901,6,6
SRAD19P8_N_OFF,T14P8,14.8,25.03766207059077,6.974079760165839,0.0,6,0
