scenario,arm,period,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM
RAW_N_OFF,H0TT,2019,1945.3069809158656,17.48787037569044,1485.25,1485.25,12609.0
RAW_N_OFF,H0TT,2020,5995.559565211574,54.50508695646886,5925.5,5925.5,16925.5
RAW_N_OFF,H0TT,ALL8,4457.070436396535,40.29217864418587,3705.375,3705.375,14767.25
RAW_N_OFF,T13P0,2019,2070.4191604600264,18.61260061094529,1646.0,1646.0,12769.75
RAW_N_OFF,T13P0,2020,6703.112933555573,60.93739030505067,6620.5,6620.5,17620.5
RAW_N_OFF,T13P0,ALL8,4960.763978461382,44.84559786167699,4133.25,4133.25,15195.125
RAW_N_OFF,T13P5,2019,2070.4191604600264,18.61260061094529,1646.0,1646.0,12769.75
RAW_N_OFF,T13P5,2020,6699.925204806394,60.90841095278539,6617.25,6617.25,17617.25
RAW_N_OFF,T13P5,ALL8,4958.6103522055455,44.82612895377633,4131.625,4131.625,15193.5
RAW_N_OFF,T13P8,2019,2070.0481274598424,18.60926510807814,1645.25,1645.25,12769.0
RAW_N_OFF,T13P8,2020,6697.516759964099,60.886515999673634,6614.75,6614.75,17614.75
RAW_N_OFF,T13P8,ALL8,4956.90578889694,44.81071960130575,4130.0,4130.0,15191.875
RAW_N_OFF,T14P0,2019,2070.0481274598424,18.60926510807814,1645.25,1645.25,12769.0
RAW_N_OFF,T14P0,2020,6695.644815848583,60.8694983258962,6613.0,6613.0,17613.0
RAW_N_OFF,T14P0,ALL8,4955.641166892535,44.79928734407625,4129.125,4129.125,15191.0
RAW_N_OFF,T14P8,2019,2070.0481274598424,18.60926510807814,1645.25,1645.25,12769.0
RAW_N_OFF,T14P8,2020,6279.891977574137,57.08992706885579,6191.75,6191.75,17191.75
RAW_N_OFF,T14P8,ALL8,4675.582450347764,42.26754009015438,3918.5,3918.5,14980.375
SRAD19P8_N_OFF,H0TT,2019,1280.2674525270102,11.50931522667275,1136.25,-222.75,10901.0
SRAD19P8_N_OFF,H0TT,2020,4011.1363726505238,36.464876115004756,3871.5,3871.5,14871.5
SRAD19P8_N_OFF,H0TT,ALL8,2977.2722205065497,26.914715819032036,2503.875,1824.375,12886.25
SRAD19P8_N_OFF,T13P0,2019,1276.939603113632,11.479398612101424,1136.25,-202.75,10921.0
SRAD19P8_N_OFF,T13P0,2020,3784.615469238586,34.405595174896234,3636.25,3636.25,14636.25
SRAD19P8_N_OFF,T13P0,ALL8,2824.348508948568,25.53227648069218,2386.25,1716.75,12778.625
SRAD19P8_N_OFF,T13P5,2019,1276.939603113632,11.479398612101424,1136.25,-202.75,10921.0
SRAD19P8_N_OFF,T13P5,2020,3778.8510489300843,34.35319135390986,3630.25,3630.25,14630.25
SRAD19P8_N_OFF,T13P5,ALL8,2820.486660135091,25.497365140494637,2383.25,1713.75,12775.625
SRAD19P8_N_OFF,T13P8,2019,1277.0987628214193,11.480829421925334,1136.25,-203.75,10920.0
SRAD19P8_N_OFF,T13P8,2020,3532.678268679445,32.115256987994954,3373.25,3373.25,14373.25
SRAD19P8_N_OFF,T13P8,ALL8,2656.20001129433,24.012204181427922,2254.75,1584.75,12646.625
SRAD19P8_N_OFF,T14P0,2019,1277.0987628214193,11.480829421925334,1136.25,-203.75,10920.0
SRAD19P8_N_OFF,T14P0,2020,3578.5404496805677,32.53218590618698,3421.25,3421.25,14421.25
SRAD19P8_N_OFF,T14P0,ALL8,2686.7203985528527,24.28811027563458,2278.75,1608.75,12670.625
SRAD19P8_N_OFF,T14P8,2019,1263.5193904329287,11.358753931299505,1136.25,-83.75,11040.0
SRAD19P8_N_OFF,T14P8,2020,3707.4618676393693,33.70419879672154,3556.0,3556.0,14556.0
SRAD19P8_N_OFF,T14P8,ALL8,2769.6348811711628,25.03766207059077,2346.125,1736.125,12798.0
