mode,arm,DTRc_C,split,total_days,active_days,active_pct
FIXED_ALPHA,T13P0,13.0,primary_cal_2000_2016,2119,363,17.1307220386975
FIXED_ALPHA,T13P5,13.5,primary_cal_2000_2016,2119,272,12.836243511090137
FIXED_ALPHA,T13P8,13.8,primary_cal_2000_2016,2119,213,10.051911278905145
FIXED_ALPHA,T14P0,14.0,primary_cal_2000_2016,2119,187,8.82491741387447
FIXED_ALPHA,T14P8,14.8,primary_cal_2000_2016,2119,93,4.38886267107126
REFIT_ALPHA,T13P0,13.0,primary_cal_2000_2016,2119,363,17.1307220386975
REFIT_ALPHA,T13P5,13.5,primary_cal_2000_2016,2119,272,12.836243511090137
REFIT_ALPHA,T13P8,13.8,primary_cal_2000_2016,2119,213,10.051911278905145
REFIT_ALPHA,T14P0,14.0,primary_cal_2000_2016,2119,187,8.82491741387447
REFIT_ALPHA,T14P8,14.8,primary_cal_2000_2016,2119,93,4.38886267107126
FIXED_ALPHA,T13P0,13.0,primary_val_2017_2024,748,270,36.096256684491976
FIXED_ALPHA,T13P5,13.5,primary_val_2017_2024,748,228,30.481283422459892
FIXED_ALPHA,T13P8,13.8,primary_val_2017_2024,748,199,26.60427807486631
FIXED_ALPHA,T14P0,14.0,primary_val_2017_2024,748,180,24.06417112299465
FIXED_ALPHA,T14P8,14.8,primary_val_2017_2024,748,130,17.379679144385026
REFIT_ALPHA,T13P0,13.0,primary_val_2017_2024,748,270,36.096256684491976
REFIT_ALPHA,T13P5,13.5,primary_val_2017_2024,748,228,30.481283422459892
REFIT_ALPHA,T13P8,13.8,primary_val_2017_2024,748,199,26.60427807486631
REFIT_ALPHA,T14P0,14.0,primary_val_2017_2024,748,180,24.06417112299465
REFIT_ALPHA,T14P8,14.8,primary_val_2017_2024,748,130,17.379679144385026
