mode,arm,DTRc_C,alpha,split,group,n,rmse,mae,mbe,r2
OFFICIAL,M0,,,primary_cal_2000_2016,May-Sep,16803,2.4388791940636025,1.473536808903172,0.4485734095102065,0.8528407882528701
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.377947131110505,1.4580953734989233,0.37093751637485645,0.8590603342319935
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.203569694650223,3.3319245090995415,0.3712616171985492,0.5977533467004494
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.383881503371016,1.4582721454563243,0.38971091415238374,0.858731085625033
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.2017871287904445,3.3189972989816687,0.4656154339855567,0.5985228219448806
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.3863580070677544,1.45836050864375,0.3982774638416835,0.858620194220678
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.20457444262937,3.3116117030468875,0.5277666532765635,0.5985524271179702
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.3880438265471806,1.458597474833158,0.4030999425996612,0.8585181562173756
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.209483720712229,3.307130618357016,0.5741997033356516,0.5981599395101895
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.394241666892332,1.4594424688834848,0.41741772895507234,0.8580295422551992
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.257031185876244,3.3157574706653805,0.7952142044557837,0.5936639935627489
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_cal_2000_2016,May-Sep,16803,2.379108990604199,1.456534403356007,0.38556430690936405,0.8591525554376247
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_cal_2000_2016,DTR>=15,689,5.200702296031192,3.307034246860492,0.5271765248883623,0.5986003394873185
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_cal_2000_2016,May-Sep,16803,2.384590175298202,1.457612848126204,0.3959460796553076,0.8587398455026483
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_cal_2000_2016,DTR>=15,689,5.204265837549797,3.3052963921715794,0.5553157496921548,0.5984197943283083
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_cal_2000_2016,May-Sep,16803,2.387026732186977,1.458068970018205,0.4020976438671369,0.8585906572110998
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_cal_2000_2016,DTR>=15,689,5.20921874173601,3.3033141509609716,0.5936954166289021,0.5980569886146296
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_cal_2000_2016,May-Sep,16803,2.3887336924818716,1.458418319526736,0.4062512966929717,0.8584748917926942
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_cal_2000_2016,DTR>=15,689,5.21543027913096,3.3023853892004085,0.634391551072753,0.5975312161141445
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.394241666892332,1.4594424688834848,0.41741772895507234,0.8580295422551992
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.257031185876244,3.3157574706653805,0.7952142044557837,0.5936639935627489
OFFICIAL,M0,,,primary_val_2017_2024,May-Sep,5917,2.9468911750816673,1.9135334291025858,0.3368242859557208,0.8028957874870036
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.7971275473497803,1.849923524616888,0.042174266481730276,0.8219061039773884
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.676413332556783,3.4284655273459284,-0.19368866857519126,0.6294426164804248
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.800145429294283,1.8463929837957027,0.091049958989952,0.8215097144026858
