split,active_days,shape_violations,ts_caps,arm,DTRc_C,alpha
primary_cal_2000_2016,363,0,17,T13P0,13.0,5.603868885111006
primary_cal_2000_2016,272,0,17,T13P5,13.5,6.407985379809223
primary_cal_2000_2016,213,0,16,T13P8,13.8,6.749813473189908
primary_cal_2000_2016,187,0,15,T14P0,14.0,6.805081570269362
primary_cal_2000_2016,93,0,11,T14P8,14.8,7.809408336409373
primary_val_2017_2024,270,0,14,T13P0,13.0,5.603868885111006
primary_val_2017_2024,228,0,15,T13P5,13.5,6.407985379809223
primary_val_2017_2024,199,0,15,T13P8,13.8,6.749813473189908
primary_val_2017_2024,180,0,11,T14P0,14.0,6.805081570269362
primary_val_2017_2024,130,0,10,T14P8,14.8,7.809408336409373
