mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.589381663625344,1.5554477055969949,0.022703716302195708,0.8460789752632787
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,2.93029142872074,1.7461990470204802,0.20913059300433567,0.8043228195697378
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.1858685286337853,1.333711992285819,-0.41807615011770716,0.8705354692894619
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.5253213024487944,1.601210698794543,-0.533379182138,0.8674740732156205
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.211022430419303,1.4974697905056362,-0.6782640236513049,0.9104142084376732
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.2604987170818145,2.6995279434527535,-0.04077345330477475,0.7051733988290472
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.012573904890397,6.491002158278352,2.6585306772577777,0.10129956200204236
FIXED_ALPHA,T13P0,13.0,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.6491694974598454,1.5714629158859597,0.11679923893077139,0.8393820908317521
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,2.9831222542469,1.7682944256881639,0.37695059678371995,0.798703857763729
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.1901279528452764,1.3247975426063514,-0.328698344345032,0.8679588900746382
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.4981164246645133,1.5615865516926617,-0.42694109426081406,0.8676104136805451
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.1802179628189267,1.4637381127811884,-0.5674611947575148,0.9098690727119271
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.2585467952543485,2.6853299969960283,0.06660460143117836,0.704660102833727
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.010022580571244,6.484336417772439,2.6758153991323135,0.10230348289819502
FIXED_ALPHA,T13P5,13.5,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T13P8,13.8,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.6590609787093595,1.57364225572147,0.1383791717301131,0.8384144209085941
