year,arm,DTRc_C,alpha,group,n,rmse,mae,mbe,r2
2018,T13P0,13.0,5.603868885111006,May-Sep,70,1.055166924998169,0.8262316222106738,-0.18379450238326292,0.9683012350772595
2018,T13P0,13.0,5.603868885111006,DTR>=15,0,nan,nan,nan,nan
2018,T13P5,13.5,6.407985379809223,May-Sep,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,T13P5,13.5,6.407985379809223,DTR>=15,0,nan,nan,nan,nan
2018,T13P8,13.8,6.749813473189908,May-Sep,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,T13P8,13.8,6.749813473189908,DTR>=15,0,nan,nan,nan,nan
2018,T14P0,14.0,6.805081570269362,May-Sep,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,T14P0,14.0,6.805081570269362,DTR>=15,0,nan,nan,nan,nan
2018,T14P8,14.8,7.809408336409373,May-Sep,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,T14P8,14.8,7.809408336409373,DTR>=15,0,nan,nan,nan,nan
2020,T13P0,13.0,5.603868885111006,May-Sep,1205,2.7999185245392604,1.8370268120051474,0.11732325544783782,0.802299964478351
2020,T13P0,13.0,5.603868885111006,DTR>=15,199,4.69774902279339,3.3912331888399034,0.1247109736042397,0.5599950868975045
2020,T13P5,13.5,6.407985379809223,May-Sep,1205,2.8068071696516523,1.8382865383301081,0.13560743286768515,0.8014900137884252
2020,T13P5,13.5,6.407985379809223,DTR>=15,199,4.692291007933078,3.3773590780172476,0.1439997332938482,0.5616435356294185
2020,T13P8,13.8,6.749813473189908,May-Sep,1205,2.809389530502195,1.8377791055396533,0.1505567336480399,0.8011508798800684
2020,T13P8,13.8,6.749813473189908,DTR>=15,199,4.691905029229511,3.366442381660511,0.18845404245147324,0.561569454761879
2020,T14P0,14.0,6.805081570269362,May-Sep,1205,2.8124963819881277,1.8384696726149343,0.16402649447288642,0.8006918665621794
2020,T14P0,14.0,6.805081570269362,DTR>=15,199,4.695979860670305,3.3617703359831332,0.24130283000416566,0.560451441366206
2020,T14P8,14.8,7.809408336409373,May-Sep,1205,2.8293029564712833,1.8460105984474113,0.20194979620678435,0.7984638238168141
2020,T14P8,14.8,7.809408336409373,DTR>=15,199,4.721505992336168,3.372892352961822,0.40670563487689676,0.5574301408718183
2021,T13P0,13.0,5.603868885111006,May-Sep,1214,2.9151053407050798,1.9120343090210024,0.20200590157145998,0.8046179257439395
2021,T13P0,13.0,5.603868885111006,DTR>=15,264,4.497584659589967,3.2203046851123034,0.14694569216535436,0.6152135596817772
2021,T13P5,13.5,6.407985379809223,May-Sep,1214,2.930540786676515,1.917268259049869,0.2284848157921146,0.8032645095670731
2021,T13P5,13.5,6.407985379809223,DTR>=15,264,4.497976881508202,3.216447073512424,0.1554612458301233,0.616030102175829
2021,T13P8,13.8,6.749813473189908,May-Sep,1214,2.941364910511064,1.921169491271486,0.2509300651659351,0.802162492116083
2021,T13P8,13.8,6.749813473189908,DTR>=15,264,4.504363775209725,3.2159555820097516,0.19854397309752148,0.6148502133693644
2021,T14P0,14.0,6.805081570269362,May-Sep,1214,2.9489706482967506,1.9252196166663464,0.2706713777584874,0.8013435054108208
2021,T14P0,14.0,6.805081570269362,DTR>=15,264,4.513424069151993,3.2224444411387587,0.25282200981163616,0.6130406275241627
2021,T14P8,14.8,7.809408336409373,May-Sep,1214,2.9727532686194205,1.9414321669975507,0.32244775552408117,0.7990970860234528
2021,T14P8,14.8,7.809408336409373,DTR>=15,264,4.564037889919542,3.2804095168867793,0.41585986346116827,0.6060692239476813
2022,T13P0,13.0,5.603868885111006,May-Sep,1180,2.573157637301444,1.7277748204637717,0.08902890821998619,0.8032089550572336
2022,T13P0,13.0,5.603868885111006,DTR>=15,149,4.444327220314769,3.3018691306494166,-3.1202841314190694e-05,0.5743531169031195
2022,T13P5,13.5,6.407985379809223,May-Sep,1180,2.580742561508836,1.7292289682227657,0.10681659552235627,0.8022772924563073
2022,T13P5,13.5,6.407985379809223,DTR>=15,149,4.452211631186203,3.3081745470331483,0.03290354357725985,0.5729948269983517
2022,T13P8,13.8,6.749813473189908,May-Sep,1180,2.5875182431507873,1.7306284162868708,0.12259719298490619,0.8014370460904976
2022,T13P8,13.8,6.749813473189908,DTR>=15,149,4.455786323260954,3.308749082263666,0.09033384402768861,0.5706417298968248
2022,T14P0,14.0,6.805081570269362,May-Sep,1180,2.5887987856527244,1.7314501264854691,0.13403569925014744,0.8014270594584669
2022,T14P0,14.0,6.805081570269362,DTR>=15,149,4.458893310602205,3.313830507617643,0.15431738801072578,0.5678535223647121
2022,T14P8,14.8,7.809408336409373,May-Sep,1180,2.6018865358187826,1.7387528809954655,0.16828217603251283,0.8003884470728264
2022,T14P8,14.8,7.809408336409373,DTR>=15,149,4.507153887223483,3.353937683793837,0.3647305260294691,0.556052302812977
2023,T13P0,13.0,5.603868885111006,May-Sep,1069,2.84770969335453,1.8961148062228728,0.03246451542210895,0.8505395134515408
2023,T13P0,13.0,5.603868885111006,DTR>=15,173,4.552745051989145,3.3229746492569694,0.078407687560858,0.648638373341412
2023,T13P5,13.5,6.407985379809223,May-Sep,1069,2.8508470907491623,1.8963541850715497,0.05726381065739711,0.8502874098157167
2023,T13P5,13.5,6.407985379809223,DTR>=15,173,4.553275091157066,3.324015001935583,0.11836455950630932,0.6477891185728701
2023,T13P8,13.8,6.749813473189908,May-Sep,1069,2.855592426274377,1.8971747381586477,0.07689527591428447,0.8498634786244059
2023,T13P8,13.8,6.749813473189908,DTR>=15,173,4.554458793196501,3.3214292888125043,0.1696319038994571,0.6469107702841341
2023,T14P0,14.0,6.805081570269362,May-Sep,1069,2.8612507662084887,1.900203555465148,0.09571299449618854,0.8492933930446962
2023,T14P0,14.0,6.805081570269362,DTR>=15,173,4.559201882345002,3.325316782956863,0.2347107502518847,0.6447271774969217
2023,T14P8,14.8,7.809408336409373,May-Sep,1069,2.8873531588081427,1.917217430318014,0.15839085891301835,0.8466577892252044
2023,T14P8,14.8,7.809408336409373,DTR>=15,173,4.626126817738641,3.3966102185430382,0.5000410956723145,0.6304582670867934
2024,T13P0,13.0,5.603868885111006,May-Sep,1179,2.86444392157525,1.882629177809994,0.07556906154431918,0.8282100675190114
2024,T13P0,13.0,5.603868885111006,DTR>=15,190,4.960245531034865,3.623155702794589,-0.08940402350098489,0.597132064396181
2024,T13P5,13.5,6.407985379809223,May-Sep,1179,2.87129553593971,1.8851357496715726,0.09313795832061857,0.8274473667022929
2024,T13P5,13.5,6.407985379809223,DTR>=15,190,4.96202970677782,3.6274332939074836,-0.07146432117782799,0.5963827516749114
2024,T13P8,13.8,6.749813473189908,May-Sep,1179,2.8729894738780777,1.884487129992296,0.1072717385849081,0.8272405364253067
2024,T13P8,13.8,6.749813473189908,DTR>=15,190,4.957223941969091,3.61986394562945,-0.03035064311630732,0.5960496590625859
2024,T14P0,14.0,6.805081570269362,May-Sep,1179,2.8741864786098588,1.8836894794596934,0.1190420242035829,0.8270006367446799
2024,T14P0,14.0,6.805081570269362,DTR>=15,190,4.9514113421074875,3.6067965811492617,0.01852581052836724,0.5958250483892474
2024,T14P8,14.8,7.809408336409373,May-Sep,1179,2.8801335279052216,1.8859272334474513,0.1546458102237248,0.8260125576177135
2024,T14P8,14.8,7.809408336409373,DTR>=15,190,4.960157070156847,3.6097840542395847,0.19283117941431616,0.5915878910585617
