mode,arm,DTRc_C,split,total_days,active_days,active_pct
FIXED_ALPHA,T14P0,14.0,primary_cal_2000_2016,2119,187,8.82491741387447
FIXED_ALPHA,T14P3,14.3,primary_cal_2000_2016,2119,151,7.126002831524304
FIXED_ALPHA,T14P5,14.5,primary_cal_2000_2016,2119,124,5.85181689476168
FIXED_ALPHA,T14P8,14.8,primary_cal_2000_2016,2119,93,4.38886267107126
REFIT_ALPHA,T14P0,14.0,primary_cal_2000_2016,2119,187,8.82491741387447
REFIT_ALPHA,T14P3,14.3,primary_cal_2000_2016,2119,151,7.126002831524304
REFIT_ALPHA,T14P5,14.5,primary_cal_2000_2016,2119,124,5.85181689476168
REFIT_ALPHA,T14P8,14.8,primary_cal_2000_2016,2119,93,4.38886267107126
FIXED_ALPHA,T14P0,14.0,primary_val_2017_2024,748,180,24.06417112299465
FIXED_ALPHA,T14P3,14.3,primary_val_2017_2024,748,157,20.989304812834224
FIXED_ALPHA,T14P5,14.5,primary_val_2017_2024,748,146,19.518716577540108
FIXED_ALPHA,T14P8,14.8,primary_val_2017_2024,748,130,17.379679144385026
REFIT_ALPHA,T14P0,14.0,primary_val_2017_2024,748,180,24.06417112299465
REFIT_ALPHA,T14P3,14.3,primary_val_2017_2024,748,157,20.989304812834224
REFIT_ALPHA,T14P5,14.5,primary_val_2017_2024,748,146,19.518716577540108
REFIT_ALPHA,T14P8,14.8,primary_val_2017_2024,748,130,17.379679144385026
