mode,arm,DTRc_C,alpha,split,group,n,rmse,mae,mbe,r2
OFFICIAL,M0,,,primary_cal_2000_2016,May-Sep,16803,2.4388791940636025,1.473536808903172,0.4485734095102065,0.8528407882528701
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.3880438265471806,1.458597474833158,0.4030999425996612,0.8585181562173756
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.209483720712229,3.307130618357016,0.5741997033356516,0.5981599395101895
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.390175914763026,1.4589179079543049,0.40922270618781315,0.8583781101377436
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.220770090534628,3.3059557512401083,0.6501828632333065,0.5972023627864309
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.3915944127652597,1.4590614156112207,0.41270198220134235,0.8582715951072306
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.232352480584894,3.3083869639481813,0.7044316708254164,0.5961335360701621
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.394241666892332,1.4594424688834848,0.41741772895507234,0.8580295422551992
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.257031185876244,3.3157574706653805,0.7952142044557837,0.5936639935627489
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_cal_2000_2016,May-Sep,16803,2.3887336924818716,1.458418319526736,0.4062512966929717,0.8584748917926942
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_cal_2000_2016,DTR>=15,689,5.21543027913096,3.3023853892004085,0.634391551072753,0.5975312161141445
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_cal_2000_2016,May-Sep,16803,2.3905738698838856,1.458900616199943,0.4104786238857535,0.8583446267380497
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_cal_2000_2016,DTR>=15,689,5.224808872123073,3.3054307474484683,0.6772115399732963,0.5967511269769127
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_cal_2000_2016,May-Sep,16803,2.3917766594659438,1.4590375007449712,0.41320141257126475,0.8582540227214303
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_cal_2000_2016,DTR>=15,689,5.234279552744344,3.307776739702674,0.7158998879613528,0.5958893250612601
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,May-Sep,16803,2.394241666892332,1.4594424688834848,0.41741772895507234,0.8580295422551992
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,DTR>=15,689,5.257031185876244,3.3157574706653805,0.7952142044557837,0.5936639935627489
OFFICIAL,M0,,,primary_val_2017_2024,May-Sep,5917,2.9468911750816673,1.9135334291025858,0.3368242859557208,0.8028957874870036
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.80535239125547,1.8448837073242725,0.1357269404507601,0.8208684264642111
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.641473450760945,3.371236278630539,0.08379019354173114,0.6293463169047644
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.8096302763038428,1.84592840730271,0.1601414718623134,0.8203724420745768
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.644943436165125,3.366696491782187,0.18741981001184482,0.6273476672023448
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.8135722038681314,1.8475297706650744,0.1758464450129952,0.8198926130841993
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.653916970452358,3.3712153032537935,0.262269566287925,0.6252195405498916
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.8223467919574823,1.8529449924573076,0.19810711956851484,0.8188136051199978
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.678296903906344,3.3953260960987293,0.37765262288479207,0.6209646038734193
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,May-Sep,5917,2.805344949799252,1.8431068572162574,0.1545133314023314,0.8206879010428062
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,DTR>=15,975,4.639062437870562,3.357999516744822,0.18654608037811785,0.627450262008677
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,May-Sep,5917,2.8103633019831227,1.845576192300319,0.16848949561658177,0.8201986057039067
REFIT_ALPHA,T14P3,14.3,7.309359264083529,primary_val_2017_2024,DTR>=15,975,4.646881457334485,3.3638027591037685,0.23533025847027683,0.6261258922353459
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,May-Sep,5917,2.8140889768547845,1.8477056247291177,0.17912042167388098,0.819796132858481
REFIT_ALPHA,T14P5,14.5,7.592491569441278,primary_val_2017_2024,DTR>=15,975,4.655581186664266,3.372023365482313,0.2815131794258667,0.6246333960459286
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,May-Sep,5917,2.8223467919574823,1.8529449924573076,0.19810711956851484,0.8188136051199978
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,DTR>=15,975,4.678296903906344,3.3953260960987293,0.37765262288479207,0.6209646038734193
