year,rank,date,DTR_C,TMAX_C,TMIN_C
2019,1,2019-05-21,18.279999999999998,33.26,14.98
2019,2,2019-08-09,18.179999999999996,42.12,23.94
2019,3,2019-05-15,18.08,26.84,8.76
2019,4,2019-08-08,17.95,39.69,21.74
2019,5,2019-07-07,17.73,39.57,21.84
2019,6,2019-07-03,17.599999999999998,38.91,21.31
2019,7,2019-05-12,17.51,25.35,7.84
2019,8,2019-07-17,17.220000000000002,38.96,21.74
2019,9,2019-05-25,17.11,25.63,8.52
2019,10,2019-05-13,16.990000000000002,27.36,10.37
2020,1,2020-06-05,22.33,38.01,15.68
2020,2,2020-05-08,18.799999999999997,26.93,8.13
2020,3,2020-09-17,18.33,32.71,14.38
2020,4,2020-09-06,18.020000000000003,32.31,14.29
2020,5,2020-05-15,17.919999999999998,34.8,16.88
2020,6,2020-05-30,17.779999999999998,34.04,16.26
2020,7,2020-07-01,17.29,30.73,13.44
2020,8,2020-08-08,17.019999999999996,37.62,20.6
2020,9,2020-06-23,17.0,31.84,14.84
2020,10,2020-07-27,16.72,36.37,19.65
