event,stage,date_2019,date_2020,W1_m3_ha,W2_m3_ha,W3_m3_ha,W4_m3_ha,W1_mm,W2_mm,W3_mm,W4_mm
1,seedling,2019-05-03,2020-05-05,487.5,525,562.5,600,48.75,52.5,56.25,60
2,jointing,2019-06-14,2020-06-15,325,350,375,400,32.5,35,37.5,40
3,jointing,2019-06-22,2020-06-23,325,350,375,400,32.5,35,37.5,40
4,jointing,2019-07-01,2020-07-02,325,350,375,400,32.5,35,37.5,40
5,tasseling,2019-07-08,2020-07-09,731.25,787.5,843.75,900,73.125,78.75,84.375,90
6,tasseling,2019-07-15,2020-07-16,731.25,787.5,843.75,900,73.125,78.75,84.375,90
7,tasseling,2019-07-22,2020-07-23,731.25,787.5,843.75,900,73.125,78.75,84.375,90
8,filling,2019-07-29,2020-07-30,365.63,393.75,421.88,450,36.563,39.375,42.188,45
9,filling,2019-08-09,2020-08-10,365.63,393.75,421.88,450,36.563,39.375,42.188,45
10,maturity_stage,2019-08-23,2020-08-24,487.5,525,562.5,600,48.75,52.5,56.25,60
TOTAL,total,,,4875,5250,5625,6000,487.5,525,562.5,600
