arm,mode,KRT,period,RMSE_kg_ha,MAE_kg_ha,Bias_kg_ha,improvement_vs_M15_13p8_pct,improvement_vs_H0TT_pct
BASE13P8,m15_13p8,0.0,2019,1277.0987628214193,1136.25,-203.75,51.920082923307184,57.10507242081696
BASE13P8,m15_13p8,0.0,2020,3532.678268679445,3373.25,3373.25,-32.99744950147858,-18.65486280856102
BASE13P8,m15_13p8,0.0,ALL8,2656.20001129433,2254.75,1584.75,0.0,10.784106572478372
BOTH13P8,both,0.0,2019,1277.0987628214193,1136.25,-203.75,51.920082923307184,57.10507242081696
BOTH13P8,both,0.0,2020,3532.678268679445,3373.25,3373.25,-32.99744950147858,-18.65486280856102
BOTH13P8,both,0.0,ALL8,2656.20001129433,2254.75,1584.75,0.0,10.784106572478372
BOTH13P8,both,0.1,2019,1308.3547875098711,1136.25,-349.75,50.743363378259765,56.05525156556665
BOTH13P8,both,0.1,2020,3431.6064386814523,3267.25,3267.25,-29.192320762368993,-15.260083207897017
BOTH13P8,both,0.1,ALL8,2596.893817621352,2201.75,1458.75,2.2327457804685094,12.776070668488645
BOTH13P8,both,0.2,2019,1354.3429218628494,1184.25,-494.75,49.0120127963219,54.510611675528175
BOTH13P8,both,0.2,2020,3360.2768115141944,3192.25,3192.25,-26.506919555232482,-12.86427852883673
BOTH13P8,both,0.2,ALL8,2561.806491521169,2188.25,1348.75,3.5537052696255547,13.954576478555726
BOTH13P8,both,0.3,2019,1413.7705789837332,1256.75,-639.75,46.77469418822786,52.5145678904969
BOTH13P8,both,0.3,2020,3333.8810716640746,3164.5,3164.5,-25.513178882923043,-11.977703909683203
BOTH13P8,both,0.3,ALL8,2560.616161200269,2210.625,1262.375,3.598518548589441,13.994557045757524
BOTH13P8,both,0.4,2019,1483.9692550723548,1328.25,-782.75,44.13187076415843,50.15674936100152
BOTH13P8,both,0.4,2020,3285.3197332984196,3113.25,3113.25,-23.684952915030216,-10.346635778553665
BOTH13P8,both,0.4,ALL8,2549.0675255865626,2220.75,1165.25,4.033298895122107,14.382450216363917
