arm,mode,KRT,year,treatment,obs,HWAM,error,abs_error,SRADA
BASE13P8,m15_13p8,0.0,2019,W1,9250,10920.0,1670.0,1670.0,19.8
BASE13P8,m15_13p8,0.0,2019,W2,10725,10920.0,195.0,195.0,19.8
BASE13P8,m15_13p8,0.0,2019,W3,12490,10920.0,-1570.0,1570.0,19.8
BASE13P8,m15_13p8,0.0,2019,W4,12030,10920.0,-1110.0,1110.0,19.8
BASE13P8,m15_13p8,0.0,2020,W1,9275,14374.0,5099.0,5099.0,19.8
BASE13P8,m15_13p8,0.0,2020,W2,11100,14373.0,3273.0,3273.0,19.8
BASE13P8,m15_13p8,0.0,2020,W3,12030,14373.0,2343.0,2343.0,19.8
BASE13P8,m15_13p8,0.0,2020,W4,11595,14373.0,2778.0,2778.0,19.8
PRFT13P8,prft,0.0,2019,W1,9250,10920.0,1670.0,1670.0,19.8
PRFT13P8,prft,0.0,2019,W2,10725,10920.0,195.0,195.0,19.8
PRFT13P8,prft,0.0,2019,W3,12490,10920.0,-1570.0,1570.0,19.8
PRFT13P8,prft,0.0,2019,W4,12030,10920.0,-1110.0,1110.0,19.8
PRFT13P8,prft,0.0,2020,W1,9275,14374.0,5099.0,5099.0,19.8
PRFT13P8,prft,0.0,2020,W2,11100,14373.0,3273.0,3273.0,19.8
PRFT13P8,prft,0.0,2020,W3,12030,14373.0,2343.0,2343.0,19.8
PRFT13P8,prft,0.0,2020,W4,11595,14373.0,2778.0,2778.0,19.8
PRFT13P8,prft,0.1,2019,W1,9250,10833.0,1583.0,1583.0,19.8
PRFT13P8,prft,0.1,2019,W2,10725,10833.0,108.0,108.0,19.8
PRFT13P8,prft,0.1,2019,W3,12490,10833.0,-1657.0,1657.0,19.8
PRFT13P8,prft,0.1,2019,W4,12030,10833.0,-1197.0,1197.0,19.8
PRFT13P8,prft,0.1,2020,W1,9275,14337.0,5062.0,5062.0,19.8
PRFT13P8,prft,0.1,2020,W2,11100,14336.0,3236.0,3236.0,19.8
PRFT13P8,prft,0.1,2020,W3,12030,14337.0,2307.0,2307.0,19.8
PRFT13P8,prft,0.1,2020,W4,11595,14337.0,2742.0,2742.0,19.8
PRFT13P8,prft,0.2,2019,W1,9250,10745.0,1495.0,1495.0,19.8
PRFT13P8,prft,0.2,2019,W2,10725,10745.0,20.0,20.0,19.8
PRFT13P8,prft,0.2,2019,W3,12490,10745.0,-1745.0,1745.0,19.8
PRFT13P8,prft,0.2,2019,W4,12030,10745.0,-1285.0,1285.0,19.8
PRFT13P8,prft,0.2,2020,W1,9275,14301.0,5026.0,5026.0,19.8
PRFT13P8,prft,0.2,2020,W2,11100,14300.0,3200.0,3200.0,19.8
PRFT13P8,prft,0.2,2020,W3,12030,14300.0,2270.0,2270.0,19.8
PRFT13P8,prft,0.2,2020,W4,11595,14301.0,2706.0,2706.0,19.8
PRFT13P8,prft,0.3,2019,W1,9250,10657.0,1407.0,1407.0,19.8
PRFT13P8,prft,0.3,2019,W2,10725,10657.0,-68.0,68.0,19.8
PRFT13P8,prft,0.3,2019,W3,12490,10657.0,-1833.0,1833.0,19.8
PRFT13P8,prft,0.3,2019,W4,12030,10657.0,-1373.0,1373.0,19.8
PRFT13P8,prft,0.3,2020,W1,9275,14264.0,4989.0,4989.0,19.8
PRFT13P8,prft,0.3,2020,W2,11100,14264.0,3164.0,3164.0,19.8
PRFT13P8,prft,0.3,2020,W3,12030,14264.0,2234.0,2234.0,19.8
PRFT13P8,prft,0.3,2020,W4,11595,14264.0,2669.0,2669.0,19.8
PRFT13P8,prft,0.4,2019,W1,9250,10570.0,1320.0,1320.0,19.8
PRFT13P8,prft,0.4,2019,W2,10725,10570.0,-155.0,155.0,19.8
PRFT13P8,prft,0.4,2019,W3,12490,10570.0,-1920.0,1920.0,19.8
PRFT13P8,prft,0.4,2019,W4,12030,10570.0,-1460.0,1460.0,19.8
PRFT13P8,prft,0.4,2020,W1,9275,14227.0,4952.0,4952.0,19.8
PRFT13P8,prft,0.4,2020,W2,11100,14226.0,3126.0,3126.0,19.8
PRFT13P8,prft,0.4,2020,W3,12030,14226.0,2196.0,2196.0,19.8
PRFT13P8,prft,0.4,2020,W4,11595,14227.0,2632.0,2632.0,19.8
PRFT13P8,prft,0.5,2019,W1,9250,10482.0,1232.0,1232.0,19.8
PRFT13P8,prft,0.5,2019,W2,10725,10482.0,-243.0,243.0,19.8
PRFT13P8,prft,0.5,2019,W3,12490,10482.0,-2008.0,2008.0,19.8
PRFT13P8,prft,0.5,2019,W4,12030,10482.0,-1548.0,1548.0,19.8
PRFT13P8,prft,0.5,2020,W1,9275,14170.0,4895.0,4895.0,19.8
PRFT13P8,prft,0.5,2020,W2,11100,14169.0,3069.0,3069.0,19.8
PRFT13P8,prft,0.5,2020,W3,12030,14170.0,2140.0,2140.0,19.8
PRFT13P8,prft,0.5,2020,W4,11595,14170.0,2575.0,2575.0,19.8
PRFT13P8,prft,0.6,2019,W1,9250,10394.0,1144.0,1144.0,19.8
PRFT13P8,prft,0.6,2019,W2,10725,10394.0,-331.0,331.0,19.8
PRFT13P8,prft,0.6,2019,W3,12490,10394.0,-2096.0,2096.0,19.8
PRFT13P8,prft,0.6,2019,W4,12030,10394.0,-1636.0,1636.0,19.8
PRFT13P8,prft,0.6,2020,W1,9275,13872.0,4597.0,4597.0,19.8
PRFT13P8,prft,0.6,2020,W2,11100,13871.0,2771.0,2771.0,19.8
PRFT13P8,prft,0.6,2020,W3,12030,13871.0,1841.0,1841.0,19.8
PRFT13P8,prft,0.6,2020,W4,11595,13871.0,2276.0,2276.0,19.8
PRFT13P8,prft,0.7,2019,W1,9250,10307.0,1057.0,1057.0,19.8
PRFT13P8,prft,0.7,2019,W2,10725,10307.0,-418.0,418.0,19.8
PRFT13P8,prft,0.7,2019,W3,12490,10307.0,-2183.0,2183.0,19.8
PRFT13P8,prft,0.7,2019,W4,12030,10307.0,-1723.0,1723.0,19.8
PRFT13P8,prft,0.7,2020,W1,9275,13762.0,4487.0,4487.0,19.8
