scenario,total_N_nominal,mode,treatment,obs,HWAM,error,ARE_pct
N129_EQUAL10,128.8,EQUAL10,W1,9275,8078.0,-1197.0,12.90566037735849
N129_EQUAL10,128.8,EQUAL10,W2,11100,8339.0,-2761.0,24.873873873873876
N129_EQUAL10,128.8,EQUAL10,W3,12030,8515.0,-3515.0,29.218620116375725
N129_EQUAL10,128.8,EQUAL10,W4,11595,8667.0,-2928.0,25.252263906856403
N129_WANG2018,128.8,WANG2018,W1,9275,8143.0,-1132.0,12.204851752021563
N129_WANG2018,128.8,WANG2018,W2,11100,8372.0,-2728.0,24.576576576576574
N129_WANG2018,128.8,WANG2018,W3,12030,8454.0,-3576.0,29.72568578553616
N129_WANG2018,128.8,WANG2018,W4,11595,8604.0,-2991.0,25.795601552393272
N193_EQUAL10,193.2,EQUAL10,W1,9275,9226.0,-49.0,0.5283018867924528
N193_EQUAL10,193.2,EQUAL10,W2,11100,9364.0,-1736.0,15.639639639639642
N193_EQUAL10,193.2,EQUAL10,W3,12030,9405.0,-2625.0,21.820448877805486
N193_EQUAL10,193.2,EQUAL10,W4,11595,9612.0,-1983.0,17.102199223803364
N193_WANG2018,193.2,WANG2018,W1,9275,9204.0,-71.0,0.7654986522911051
N193_WANG2018,193.2,WANG2018,W2,11100,9463.0,-1637.0,14.747747747747747
N193_WANG2018,193.2,WANG2018,W3,12030,9442.0,-2588.0,21.512884455527846
N193_WANG2018,193.2,WANG2018,W4,11595,9558.0,-2037.0,17.56791720569211
